WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,RelativeHumidity,Date,Time,WindDirection,DewPoint,VaporPressure,Rainfall24Hr,StationPressure,MeanSeaLevelPressure,WindSpeed,AirTemperature,LandVisibility,Rainfall
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,78,07-15-2019,10:00:00,100,23.3,28.53,7.70,975.09,1005.81,1.9,27.5,10.00,0.00
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,82,07-15-2019,10:00:00,280,17.9,20.46,1.50,842.65,1001.99,18.5,21.1,8.00,0.00
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,56,07-15-2019,10:00:00,200,21.5,25.59,0.00,960.63,1003.29,9.3,31.4,15.00,0.00
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,61,07-15-2019,10:00:00,000,21.3,25.30,0.00,958.76,1003.56,0.0,29.5,15.00,0.00
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,68,07-15-2019,10:00:00,250,22.9,27.96,8.80,967.26,1004.34,9.3,29.5,12.00,0.00
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,66,07-15-2019,10:00:00,170,23.8,29.48,0.00,959.64,1003.80,9.3,31.0,12.00,0.00
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,55,07-15-2019,10:00:00,150,21.8,26.07,0.00,978.42,1004.59,20.4,31.8,12.00,0.00
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,54,07-15-2019,10:00:00,240,20.9,24.69,0.00,983.73,1005.10,7.4,31.2,12.00,0.00
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,80,07-15-2019,10:00:00,000,23.8,29.52,10.40,982.28,1006.26,0.0,27.6,8.00,0.00
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,62,07-15-2019,10:00:00,000,21.6,25.75,9.50,970.65,1004.68,0.0,29.6,10.00,0.00
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,54,07-15-2019,10:00:00,000,21.7,25.91,0.00,977.52,1004.47,0.0,32.0,10.00,0.00
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,55,07-15-2019,10:00:00,000,21.0,24.86,0.00,971.36,1004.30,0.0,31.0,15.00,0.00
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,65,07-15-2019,10:00:00,300,22.7,27.55,0.40,986.40,1004.65,1.9,30.0,15.00,0.00
48331,NAN,น่าน,น่าน,18.77972,100.77778,63,07-15-2019,10:00:00,000,23.2,28.48,1.90,981.96,1004.36,0.0,31.2,10.00,0.00
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,63,07-15-2019,10:00:00,000,22.8,27.68,30.00,975.19,1004.60,0.0,30.5,12.00,0.00
