WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall,Date,Time,WindSpeed,DewPoint,StationPressure,LandVisibility,VaporPressure,MeanSeaLevelPressure,WindDirection,AirTemperature,Rainfall24Hr,RelativeHumidity
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,0.00,08-17-2019,13:00:00,0.0,25.2,974.78,10.00,32.02,1005.38,000,28.6,21.00,82
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,0.00,08-17-2019,13:00:00,14.8,20.1,843.04,9.00,23.58,1000.79,300,24.0,6.40,79
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,0.00,08-17-2019,13:00:00,9.3,24.6,960.24,12.00,30.94,1002.79,150,32.0,0.10,65
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,0.20,08-17-2019,13:00:00,5.6,24.9,958.14,8.00,31.53,1002.96,220,29.2,1.80,78
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,0.90,08-17-2019,13:00:00,0.0,24.7,968.03,10.00,31.03,1005.56,000,26.1,101.90,92
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,0.00,08-17-2019,13:00:00,9.3,23.8,959.82,12.00,29.41,1004.22,180,29.4,9.80,72
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,3.80,08-17-2019,13:00:00,9.3,24.9,979.29,6.00,31.41,1005.97,180,26.3,134.20,92
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,0.70,08-17-2019,13:00:00,1.9,23.6,984.33,12.00,29.19,1005.80,320,30.0,4.00,69
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,2.20,08-17-2019,13:00:00,0.0,26.1,982.38,8.00,33.90,1006.35,000,27.7,10.00,91
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,2.70,08-17-2019,13:00:00,3.7,24.3,971.59,10.00,30.42,1005.90,180,27.5,16.00,83
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,5.90,08-17-2019,13:00:00,0.0,25.2,979.27,5.00,32.07,1006.77,000,26.5,60.20,93
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,1.20,08-17-2019,13:00:00,0.0,24.5,972.60,10.00,30.81,1005.95,000,27.7,14.50,83
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,6.20,08-17-2019,13:00:00,5.6,23.7,987.65,3.00,29.26,1006.23,270,25.0,29.20,92
48331,NAN,น่าน,น่าน,18.77972,100.77778,1.00,08-17-2019,13:00:00,3.7,26.0,982.80,10.00,33.58,1005.51,190,27.4,58.30,92
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,1.00,08-17-2019,13:00:00,0.0,24.4,975.64,10.00,30.56,1005.40,000,27.0,68.30,86
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,10.40,08-17-2019,13:00:00,0.0,25.1,970.93,6.00,31.93,1006.43,000,26.0,23.30,95
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,0.00,08-17-2019,13:00:00,3.7,25.3,975.38,12.00,32.26,1004.76,250,29.0,15.70,81
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,0.20,08-17-2019,13:00:00,5.6,25.8,998.62,7.00,33.17,1005.83,340,30.7,7.10,75
