WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,MeanSeaLevelPressure,Date,Time,VaporPressure,WindSpeed,RelativeHumidity,StationPressure,Rainfall24Hr,AirTemperature,Rainfall,LandVisibility,WindDirection,DewPoint
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,1005.81,08-17-2019,04:00:00,31.17,0.0,95,989.32,4.20,25.6,0.00,8.00,000,24.7
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,1004.97,08-17-2019,04:00:00,27.16,3.7,96,982.42,21.60,23.2,15.50,7.00,090,22.4
48376,TAK,ตาก,ตาก,16.87833,99.14333,1005.27,08-17-2019,04:00:00,26.26,11.1,71,990.94,0.00,27.7,0.00,6.00,260,21.9
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,1004.19,08-17-2019,04:00:00,29.19,11.1,77,987.91,0.00,28.0,0.00,7.00,120,23.6
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,1004.78,08-17-2019,04:00:00,32.66,5.6,93,999.57,0.01,26.8,0.00,10.00,160,25.5
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,1002.76,08-17-2019,04:00:00,29.76,0.0,89,989.58,0.00,26.0,0.00,10.00,000,24.0
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,1004.53,08-17-2019,04:00:00,33.22,0.0,94,995.22,1.40,26.8,0.00,10.00,000,25.8
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,1005.07,08-17-2019,04:00:00,28.84,7.4,82,983.42,0.40,26.8,0.00,8.00,200,23.4
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,1005.92,08-17-2019,04:00:00,31.69,5.6,87,988.46,0.00,27.3,0.00,10.00,180,25.0
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,1005.17,08-17-2019,04:00:00,31.87,0.0,98,989.28,12.00,25.4,1.30,10.00,000,25.1
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,1004.50,08-17-2019,04:00:00,28.45,0.0,77,985.70,0.00,27.6,0.00,8.00,000,23.2
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,1007.74,08-17-2019,04:00:00,27.16,0.0,94,956.12,0.00,23.5,0.00,6.00,000,22.4
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,1004.68,08-17-2019,04:00:00,32.91,14.8,95,1000.73,0.00,26.5,0.00,6.00,140,25.6
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,1006.54,08-17-2019,04:00:00,23.20,7.4,98,911.10,0.70,20.2,0.50,2.00,230,19.9
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,1005.50,08-17-2019,04:00:00,31.91,11.1,91,989.52,0.00,26.7,0.00,7.00,190,25.1
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,1005.11,08-17-2019,04:00:00,31.22,7.4,87,1001.08,0.00,27.2,0.00,9.00,120,24.8
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,1006.58,08-17-2019,04:00:00,32.04,0.0,94,995.88,3.80,26.2,0.00,7.00,000,25.2
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,1005.77,08-17-2019,04:00:00,31.05,0.0,90,1003.84,0.80,26.4,0.00,7.00,000,24.7
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,1006.04,08-17-2019,04:00:00,29.27,0.0,84,985.18,0.00,26.6,0.00,10.00,000,23.7
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,1005.41,08-17-2019,04:00:00,31.05,11.1,90,987.74,0.00,26.4,0.00,10.00,180,24.7
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,1005.69,08-17-2019,04:00:00,31.79,0.0,92,989.52,0.01,26.5,0.00,10.00,000,25.1
