WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Date,Time,VaporPressure,AirTemperature,StationPressure,Rainfall24Hr,WindSpeed,Rainfall,DewPoint,RelativeHumidity,WindDirection,LandVisibility,MeanSeaLevelPressure
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,09-06-2019,13:00:00,30.24,31.8,974.42,0.00,0.0,0.00,24.2,64,000,15.00,1004.68
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,09-06-2019,13:00:00,22.92,24.8,843.42,0.30,5.6,0.00,19.7,73,290,12.00,1000.80
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,09-06-2019,13:00:00,27.38,32.2,960.63,0.00,13.0,0.00,22.6,57,150,12.00,1003.17
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,09-06-2019,13:00:00,27.02,32.3,958.85,0.00,0.0,0.00,22.4,56,000,15.00,1003.24
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,09-06-2019,13:00:00,30.05,31.0,967.54,0.00,0.0,0.00,24.1,67,000,12.00,1004.44
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,09-06-2019,13:00:00,29.58,32.6,959.71,0.00,9.3,0.00,23.9,60,160,10.00,1003.64
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,09-06-2019,13:00:00,30.90,31.0,979.07,0.60,9.3,0.00,24.6,69,180,12.00,1005.32
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,09-06-2019,13:00:00,28.63,31.7,983.85,0.01,11.1,0.00,23.3,61,240,15.00,1005.19
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,09-06-2019,13:00:00,29.41,29.4,982.97,4.10,0.0,0.00,23.8,72,000,10.00,1006.82
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,09-06-2019,13:00:00,26.72,33.0,970.77,0.00,3.7,0.00,22.2,53,170,10.00,1004.42
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,09-06-2019,13:00:00,28.24,33.2,977.74,0.00,0.0,0.00,23.1,56,000,10.00,1004.58
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,09-06-2019,13:00:00,26.25,32.9,970.37,0.00,5.6,0.00,21.9,52,220,15.00,1003.07
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,09-06-2019,13:00:00,29.99,32.8,986.58,0.00,9.3,0.00,24.1,60,250,15.00,1004.66
48331,NAN,น่าน,น่าน,18.77972,100.77778,09-06-2019,13:00:00,30.90,31.0,982.62,0.00,0.0,0.00,24.6,69,000,10.00,1005.06
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,09-06-2019,13:00:00,30.47,29.8,975.92,0.00,0.0,0.00,24.4,73,000,12.00,1005.41
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,09-06-2019,13:00:00,32.41,32.7,969.64,4.60,0.0,0.00,25.4,66,000,7.00,1004.30
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,09-06-2019,13:00:00,33.22,32.8,974.72,9.50,5.6,0.00,25.8,67,050,15.00,1003.72
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,09-06-2019,13:00:00,32.35,33.5,997.89,5.70,0.0,0.00,25.4,63,000,10.00,1005.02
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,09-06-2019,13:00:00,36.14,30.0,984.13,5.20,7.4,0.00,27.2,85,250,15.00,1003.76
48353,LOEI,เลย,เลย,17.45000,101.73333,09-06-2019,13:00:00,30.69,33.0,976.00,24.60,5.6,0.00,24.5,61,340,15.00,1003.98
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,09-06-2019,13:00:00,29.66,32.5,984.47,0.01,13.0,0.00,23.9,61,260,15.00,1004.21
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,09-06-2019,13:00:00,30.90,31.0,983.25,1.00,3.7,0.00,24.6,69,300,15.00,1004.63
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,09-06-2019,13:00:00,31.39,30.4,984.82,0.60,5.6,0.00,24.9,72,330,15.00,1004.03
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,09-06-2019,13:00:00,31.81,29.2,988.39,5.60,3.7,0.00,25.1,79,350,12.00,1004.97
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,09-06-2019,13:00:00,33.19,31.4,987.75,0.80,7.4,0.01,25.8,72,080,12.00,1004.86
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,09-06-2019,13:00:00,29.66,32.5,977.61,0.00,7.4,0.00,23.9,61,220,15.00,1002.81
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,09-06-2019,13:00:00,31.53,32.7,999.43,0.00,5.6,0.00,24.9,64,240,10.00,1005.10
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,09-06-2019,13:00:00,31.11,32.5,999.56,0.00,7.4,0.00,24.7,64,270,12.00,1005.63
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,09-06-2019,13:00:00,30.21,30.8,990.06,0.00,5.6,0.00,24.2,68,160,10.00,1006.28
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,09-06-2019,13:00:00,30.18,26.8,983.87,14.10,9.3,5.10,24.2,86,270,8.00,1006.18
48376,TAK,ตาก,ตาก,16.87833,99.14333,09-06-2019,13:00:00,27.82,30.0,992.74,0.00,11.1,0.00,22.8,66,260,8.00,1006.98
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,09-06-2019,13:00:00,29.30,32.6,989.59,0.00,5.6,0.00,23.7,60,120,7.00,1005.65
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,09-06-2019,13:00:00,30.36,32.0,1001.02,0.60,0.0,0.00,24.3,64,000,10.00,1006.16
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,09-06-2019,13:00:00,30.98,30.9,991.53,0.00,3.7,0.00,24.6,69,180,12.00,1004.52
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,09-06-2019,13:00:00,29.01,32.6,996.78,26.00,5.6,0.00,23.5,59,220,12.00,1005.93
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,09-06-2019,13:00:00,30.01,30.7,983.59,1.80,7.4,0.00,24.1,68,230,10.00,1004.97
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,09-06-2019,13:00:00,30.94,32.0,987.72,3.20,14.8,0.01,24.6,65,330,12.00,1004.90
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,09-06-2019,13:00:00,34.87,29.0,988.42,9.90,3.7,5.40,26.6,87,030,10.00,1004.10
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,09-06-2019,13:00:00,30.50,30.1,985.56,1.40,11.1,0.10,24.4,72,170,10.00,1004.20
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,09-06-2019,13:00:00,27.82,25.8,955.72,15.50,0.0,4.80,22.8,84,000,9.00,1006.92
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,09-06-2019,13:00:00,32.52,31.5,1002.20,0.60,3.7,0.00,25.4,70,190,8.00,1006.10
