WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall24Hr,Date,Time,VaporPressure,WindDirection,RelativeHumidity,LandVisibility,Rainfall,WindSpeed,StationPressure,AirTemperature,MeanSeaLevelPressure,DewPoint
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,5.30,10-06-2019,01:00:00,28.10,000,95,6.00,0.00,0.0,981.17,23.9,1012.47,23.0
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,0.00,10-06-2019,01:00:00,18.96,200,89,8.00,0.00,5.6,849.54,18.5,1011.70,16.7
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,0.00,10-06-2019,01:00:00,27.62,000,87,10.00,0.00,0.0,967.79,25.1,1011.68,22.7
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,0.00,10-06-2019,01:00:00,27.17,000,92,12.00,0.00,0.0,965.66,23.8,1011.66,22.5
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,0.00,10-06-2019,01:00:00,27.57,000,98,6.00,0.00,0.0,973.59,23.0,1011.73,22.7
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,0.00,10-06-2019,01:00:00,28.11,000,91,8.00,0.00,0.0,966.45,24.5,1011.92,23.0
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,0.00,10-06-2019,01:00:00,28.82,000,92,6.00,0.00,0.0,985.91,24.9,1012.90,23.4
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,7.00,10-06-2019,01:00:00,29.66,120,98,11.00,0.00,1.9,989.75,24.2,1011.77,23.9
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,0.00,10-06-2019,01:00:00,28.53,000,96,6.00,0.00,0.0,987.25,24.0,1011.64,23.3
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,0.00,10-06-2019,01:00:00,26.10,000,83,10.00,0.00,0.0,977.32,24.8,1012.14,21.8
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,0.00,10-06-2019,01:00:00,29.16,000,93,10.00,0.00,0.0,984.30,24.8,1012.10,23.6
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,0.00,10-06-2019,01:00:00,27.78,000,90,10.00,0.00,0.0,977.96,24.6,1011.85,22.8
