WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,WindSpeed,Date,Time,AirTemperature,VaporPressure,RelativeHumidity,DewPoint,WindDirection,Rainfall,StationPressure,Rainfall24Hr,MeanSeaLevelPressure,LandVisibility
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,3.7,08-24-2019,13:00:00,33.0,31.87,63,25.1,340,0.00,974.86,47.00,1005.03,15.00
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,0.0,08-24-2019,13:00:00,22.3,24.02,89,20.4,000,0.00,844.67,21.50,1003.70,6.00
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,11.1,08-24-2019,13:00:00,30.8,29.09,66,23.6,110,0.00,962.09,7.90,1004.90,12.00
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,7.4,08-24-2019,13:00:00,31.0,30.05,67,24.1,090,0.00,960.16,13.00,1004.80,15.00
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,0.0,08-24-2019,13:00:00,31.0,32.34,72,25.4,000,0.00,968.99,91.60,1005.94,10.00
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,7.4,08-24-2019,13:00:00,28.0,29.19,77,23.6,110,3.80,961.27,44.70,1005.95,10.00
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,3.7,08-24-2019,13:00:00,31.5,31.93,69,25.1,310,0.00,979.57,45.20,1005.79,10.00
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,11.1,08-24-2019,13:00:00,32.3,28.69,59,23.4,240,0.00,984.29,2.40,1005.60,13.00
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,0.0,08-24-2019,13:00:00,30.5,29.89,68,24.0,000,0.00,983.60,7.30,1007.38,8.00
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,0.0,08-24-2019,13:00:00,28.5,29.60,76,23.9,000,0.01,972.37,15.40,1006.59,9.00
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,0.0,08-24-2019,13:00:00,27.6,31.16,84,24.7,000,0.10,979.54,49.50,1006.95,9.00
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,0.0,08-24-2019,13:00:00,29.5,30.72,75,24.5,000,0.10,972.96,18.50,1006.13,10.00
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,0.0,08-24-2019,13:00:00,28.0,31.95,85,25.1,000,0.10,987.80,35.00,1006.19,8.00
48331,NAN,น่าน,น่าน,18.77972,100.77778,0.0,08-24-2019,13:00:00,31.4,31.14,68,24.7,000,0.00,982.87,0.00,1005.29,10.00
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,11.1,08-24-2019,13:00:00,30.6,31.80,72,25.1,270,0.00,976.17,4.90,1005.59,12.00
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,0.0,08-24-2019,13:00:00,27.0,31.11,87,24.7,000,0.01,971.10,13.40,1006.49,7.00
