WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,MeanSeaLevelPressure,Date,Time,DewPoint,StationPressure,VaporPressure,RelativeHumidity,Rainfall,AirTemperature,LandVisibility,Rainfall24Hr,WindSpeed,WindDirection
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,1000.82,08-10-2019,22:00:00,25.7,970.17,33.02,94,0.70,26.7,8.00,88.50,0.0,000
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,1000.63,08-10-2019,22:00:00,18.9,840.54,21.87,99,5.00,19.1,.10,27.60,0.0,000
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,1002.18,08-10-2019,22:00:00,25.0,958.91,31.71,91,1.50,26.6,10.00,12.20,0.0,000
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,1001.92,08-10-2019,22:00:00,24.3,956.66,30.46,92,0.20,25.8,6.00,5.20,0.0,000
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,1003.81,08-10-2019,22:00:00,25.1,966.22,31.85,100,5.60,25.1,4.00,20.70,0.0,000
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,1002.70,08-10-2019,22:00:00,24.8,957.80,31.25,96,0.60,25.5,7.00,16.40,5.6,050
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,1003.81,08-10-2019,22:00:00,25.0,977.14,31.63,96,16.20,25.7,8.00,18.20,0.0,000
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,1001.83,08-10-2019,22:00:00,25.4,980.15,32.37,97,5.20,25.8,7.00,30.10,0.0,000
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,1000.91,08-10-2019,22:00:00,25.2,976.95,32.04,94,7.90,26.2,6.00,22.90,0.0,000
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,1002.06,08-10-2019,22:00:00,25.1,967.73,31.85,94,3.80,26.1,9.00,29.10,0.0,000
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,1003.48,08-10-2019,22:00:00,25.3,976.02,32.20,96,0.00,26.0,10.00,76.70,0.0,000
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,1001.78,08-10-2019,22:00:00,25.1,968.41,31.96,93,0.20,26.3,10.00,2.90,0.0,000
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,1002.05,08-10-2019,22:00:00,25.8,983.64,33.19,96,0.01,26.5,10.00,27.60,1.9,090
48331,NAN,น่าน,น่าน,18.77972,100.77778,1002.69,08-10-2019,22:00:00,25.8,979.97,33.19,96,0.60,26.5,8.00,17.70,0.0,000
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,1002.97,08-10-2019,22:00:00,25.1,973.20,31.96,93,1.20,26.3,7.00,4.10,0.0,000
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,1001.77,08-10-2019,22:00:00,25.1,966.50,31.79,92,0.00,26.5,7.00,25.00,0.0,000
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,1003.28,08-10-2019,22:00:00,24.9,973.56,31.58,99,2.40,25.1,7.00,26.40,0.0,000
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,1002.04,08-10-2019,22:00:00,25.9,994.79,33.33,90,0.01,27.7,8.00,2.40,0.0,000
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,1004.18,08-10-2019,22:00:00,24.7,984.26,31.17,95,3.60,25.6,3.00,19.80,3.7,080
48353,LOEI,เลย,เลย,17.45000,101.73333,1003.00,08-10-2019,22:00:00,24.1,974.34,30.07,93,1.00,25.3,2.00,25.10,3.7,180
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,1003.87,08-10-2019,22:00:00,24.5,983.62,30.83,99,18.80,24.7,5.00,21.00,3.7,140
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,1004.03,08-10-2019,22:00:00,25.9,982.42,33.50,91,0.00,27.5,12.00,1.80,0.0,000
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,1003.09,08-10-2019,22:00:00,25.7,983.78,33.04,85,0.00,28.4,12.00,2.70,0.0,000
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,1004.70,08-10-2019,22:00:00,25.2,988.10,32.14,81,0.00,28.8,10.00,6.60,1.9,120
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,1005.15,08-10-2019,22:00:00,25.6,987.79,32.77,92,0.00,27.0,12.00,18.40,0.0,000
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,1003.19,08-10-2019,22:00:00,24.7,977.36,31.12,98,42.40,25.0,9.00,108.20,3.7,080
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,1002.12,08-10-2019,22:00:00,26.3,996.37,34.23,94,0.00,27.3,10.00,8.30,0.0,000
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,1000.43,08-10-2019,22:00:00,26.4,994.30,34.48,93,0.00,27.7,10.00,5.20,0.0,000
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,1003.07,08-10-2019,22:00:00,24.8,986.70,31.38,88,4.40,27.0,8.00,4.40,0.0,000
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,1000.36,08-10-2019,22:00:00,24.6,978.06,30.96,97,3.30,25.2,7.00,56.40,0.0,000
48376,TAK,ตาก,ตาก,16.87833,99.14333,1002.09,08-10-2019,22:00:00,25.0,987.73,31.65,94,0.20,26.0,6.00,18.50,0.0,000
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,1001.38,08-10-2019,22:00:00,25.4,985.01,32.53,99,2.30,25.6,6.00,35.30,0.0,000
