WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,DewPoint,Date,Time,AirTemperature,WindSpeed,StationPressure,RelativeHumidity,MeanSeaLevelPressure,VaporPressure,LandVisibility,WindDirection,Rainfall,Rainfall24Hr
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,25.1,09-08-2019,13:00:00,28.2,0.0,976.93,83,1007.65,31.79,10.00,000,2.00,8.50
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,19.1,09-08-2019,13:00:00,21.6,22.2,845.02,86,1004.52,22.05,8.00,270,0.00,7.70
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,22.3,09-08-2019,13:00:00,32.4,9.3,962.02,55,1004.60,26.94,15.00,180,0.00,0.00
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,23.2,09-08-2019,13:00:00,33.0,7.4,960.31,56,1004.66,28.40,15.00,210,0.00,0.00
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,24.5,09-08-2019,13:00:00,30.5,5.6,968.78,70,1005.79,30.74,12.00,170,0.01,0.01
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,23.3,09-08-2019,13:00:00,32.5,7.4,961.55,58,1005.58,28.53,8.00,160,0.00,0.00
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,25.2,09-08-2019,13:00:00,32.0,3.7,979.98,68,1006.17,32.10,12.00,090,0.00,0.00
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,24.4,09-08-2019,13:00:00,29.6,9.3,985.87,74,1007.40,30.63,13.00,180,0.00,1.70
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,24.3,09-08-2019,13:00:00,27.2,0.0,985.26,84,1009.35,30.39,8.00,000,1.20,3.20
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,23.2,09-08-2019,13:00:00,32.0,3.7,972.37,60,1006.19,28.38,12.00,190,0.00,0.20
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,23.9,09-08-2019,13:00:00,32.5,3.7,979.47,61,1006.43,29.66,10.00,110,0.00,2.00
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,23.2,09-08-2019,13:00:00,32.2,0.0,973.56,59,1006.45,28.50,12.00,000,0.00,0.00
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,24.5,09-08-2019,13:00:00,32.0,3.7,988.09,64,1006.25,30.65,15.00,230,0.00,0.20
48331,NAN,น่าน,น่าน,18.77972,100.77778,23.9,09-08-2019,13:00:00,33.3,5.6,983.33,58,1005.61,29.58,10.00,340,0.00,0.10
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,23.3,09-08-2019,13:00:00,32.0,0.0,976.35,60,1005.64,28.66,12.00,000,0.00,0.00
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,24.3,09-08-2019,13:00:00,31.6,0.0,971.13,65,1005.98,30.41,8.00,000,0.00,5.20
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,25.0,09-08-2019,13:00:00,34.3,7.4,975.00,59,1003.86,31.69,17.00,250,0.00,0.00
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,23.8,09-08-2019,13:00:00,33.5,7.4,999.34,57,1006.49,29.41,11.00,200,0.00,0.00
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,25.5,09-08-2019,13:00:00,34.3,7.4,984.95,60,1004.31,32.59,18.00,260,0.00,0.00
48353,LOEI,เลย,เลย,17.45000,101.73333,22.7,09-08-2019,13:00:00,34.3,7.4,977.16,51,1005.05,27.61,15.00,240,0.00,0.00
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,22.9,09-08-2019,13:00:00,33.2,9.3,985.64,55,1005.36,27.95,18.00,280,0.00,1.80
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,26.3,09-08-2019,13:00:00,33.7,11.1,984.67,66,1005.89,34.30,15.00,250,0.00,0.00
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,24.6,09-08-2019,13:00:00,33.8,7.4,985.58,59,1004.58,30.91,15.00,280,0.00,0.00
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,25.6,09-08-2019,13:00:00,32.5,0.0,988.83,67,1005.23,32.87,12.00,000,0.00,0.00
