WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall,Date,Time,StationPressure,DewPoint,LandVisibility,MeanSeaLevelPressure,Rainfall24Hr,WindSpeed,AirTemperature,VaporPressure,WindDirection,RelativeHumidity
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,1.60,09-16-2019,16:00:00,1006.88,23.7,8.00,1007.31,1.80,0.0,26.3,29.25,000,86
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,5.00,09-16-2019,16:00:00,1006.42,24.0,9.00,1007.42,15.70,7.4,25.5,29.91,220,92
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,0.00,09-16-2019,16:00:00,1006.33,22.7,10.00,1007.14,2.00,20.4,27.6,27.65,280,75
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,0.00,09-16-2019,16:00:00,1005.06,23.3,10.00,1006.85,1.20,5.6,31.0,28.65,310,64
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,0.00,09-16-2019,16:00:00,1005.67,24.7,12.00,1006.41,3.10,5.6,31.2,31.02,220,68
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,0.00,09-16-2019,16:00:00,1002.91,24.5,10.00,1006.89,3.20,9.3,28.1,30.75,230,81
48570,SATUN,สตูล,สตูล,6.65000,100.08333,1.30,09-16-2019,16:00:00,1006.58,24.8,10.00,1007.26,8.00,0.0,27.1,31.30,000,87
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,0.00,09-16-2019,16:00:00,1005.50,24.2,10.00,1006.60,3.60,11.1,29.7,30.27,170,73
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,3.70,09-16-2019,16:00:00,1004.34,25.3,10.00,1007.26,5.00,3.7,27.4,32.16,240,88
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,0.70,09-16-2019,16:00:00,1005.35,24.3,10.00,1006.04,18.30,9.3,28.3,30.31,260,79
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,0.00,09-16-2019,16:00:00,1002.87,23.7,9.00,1006.95,34.20,7.4,29.9,29.27,240,69
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,0.00,09-16-2019,16:00:00,1006.18,23.2,10.00,1006.76,9.20,11.1,30.5,28.50,040,65
