WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,WindDirection,Date,Time,MeanSeaLevelPressure,Rainfall,RelativeHumidity,Rainfall24Hr,AirTemperature,StationPressure,WindSpeed,LandVisibility,MinimumTemperature,VaporPressure,DewPoint
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,000,08-10-2019,07:00:00,999.74,31.00,97,63.20,25.2,968.97,0.0,6.00,23.3,30.96,24.6
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,070,08-10-2019,07:00:00,1000.68,0.00,99,18.80,18.9,840.48,7.4,.10,18.5,21.60,18.7
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,000,08-10-2019,07:00:00,1000.39,0.01,91,9.50,24.2,956.85,0.0,12.00,23.5,27.34,22.6
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,000,08-10-2019,07:00:00,1000.61,0.20,96,4.90,23.9,955.12,0.0,7.00,23.3,28.35,23.2
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,000,08-10-2019,07:00:00,1000.66,1.50,100,6.00,25.0,963.18,0.0,8.00,24.6,31.66,25.0
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,290,08-10-2019,07:00:00,1000.79,6.30,96,10.70,24.1,955.77,3.7,6.00,23.5,28.70,23.4
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,000,08-10-2019,07:00:00,1001.07,0.00,98,16.40,25.5,974.45,0.0,8.00,25.2,32.07,25.2
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,000,08-10-2019,07:00:00,1000.08,2.80,97,8.50,25.3,978.39,0.0,12.00,25.1,31.41,24.9
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,000,08-10-2019,07:00:00,1000.48,0.00,92,9.60,26.0,976.52,0.0,6.00,23.6,30.84,24.6
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,000,08-10-2019,07:00:00,999.78,0.00,95,13.00,25.6,965.47,0.0,7.00,25.4,31.17,24.7
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,000,08-10-2019,07:00:00,1001.48,9.50,98,11.30,25.2,974.01,0.0,7.00,23.8,31.49,24.9
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,000,08-10-2019,07:00:00,999.47,0.00,96,2.60,25.9,966.14,0.0,7.00,25.8,32.01,25.2
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,260,08-10-2019,07:00:00,999.83,0.00,95,12.30,25.6,981.40,1.9,8.00,25.3,31.17,24.7
48331,NAN,น่าน,น่าน,18.77972,100.77778,000,08-10-2019,07:00:00,1000.23,0.00,96,25.80,26.0,977.54,0.0,7.00,25.4,32.20,25.3
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,000,08-10-2019,07:00:00,999.96,0.00,93,30.20,25.0,970.15,0.0,10.00,24.4,29.52,23.8
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,000,08-10-2019,07:00:00,1000.32,0.00,97,0.60,25.2,964.94,0.0,6.00,25.0,30.96,24.6
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,000,08-10-2019,07:00:00,1000.40,2.40,99,33.70,24.3,970.68,0.0,8.00,24.2,30.10,24.1
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,000,08-10-2019,07:00:00,999.97,0.01,95,19.80,25.6,992.69,0.0,6.00,25.4,31.17,24.7
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,150,08-10-2019,07:00:00,1000.50,9.40,98,25.30,26.7,980.73,5.6,10.00,26.4,34.15,26.3
48353,LOEI,เลย,เลย,17.45000,101.73333,000,08-10-2019,07:00:00,1000.83,11.10,95,33.80,24.7,972.18,0.0,6.00,24.5,29.51,23.8
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,170,08-10-2019,07:00:00,1000.81,0.00,92,0.01,26.1,980.72,5.6,15.00,25.5,31.03,24.7
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,000,08-10-2019,07:00:00,1001.31,0.00,93,9.30,25.8,979.64,0.0,10.00,25.1,31.00,24.6
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,170,08-10-2019,07:00:00,1000.97,0.00,96,39.70,25.6,981.53,3.7,12.00,24.8,31.44,24.9
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,160,08-10-2019,07:00:00,1001.69,0.10,92,6.60,26.0,984.99,7.4,10.00,25.0,30.84,24.6
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,000,08-10-2019,07:00:00,1001.93,0.00,96,16.90,25.6,984.54,0.0,12.00,23.0,31.44,24.9
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,000,08-10-2019,07:00:00,1000.57,2.20,99,66.60,25.0,974.81,0.0,9.00,25.0,31.39,24.8
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,000,08-10-2019,07:00:00,1000.56,1.50,98,16.40,25.5,994.78,0.0,6.00,23.2,32.07,25.2
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,000,08-10-2019,07:00:00,1000.28,0.20,100,21.60,25.0,994.09,0.0,8.00,24.9,31.66,25.0
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,180,08-10-2019,07:00:00,1001.36,0.00,92,0.01,25.0,984.91,5.6,10.00,24.0,29.00,23.5
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,210,08-10-2019,07:00:00,999.49,4.50,96,20.60,24.0,977.12,3.7,10.00,23.4,28.53,23.3
48376,TAK,ตาก,ตาก,16.87833,99.14333,000,08-10-2019,07:00:00,1000.74,3.80,96,15.60,24.9,986.35,0.0,6.00,24.3,30.13,24.2
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,000,08-10-2019,07:00:00,1000.09,17.70,99,31.10,25.1,983.72,0.0,6.00,24.7,31.58,24.9
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,190,08-10-2019,07:00:00,1000.79,16.50,96,33.10,25.0,995.56,3.7,7.00,24.2,30.32,24.3
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,000,08-10-2019,07:00:00,999.66,4.50,96,9.70,24.7,986.46,0.0,10.00,24.0,29.77,24.0
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,000,08-10-2019,07:00:00,1000.72,4.60,98,9.60,25.2,991.40,0.0,10.00,25.0,31.49,24.9
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,210,08-10-2019,07:00:00,1001.19,0.00,94,3.20,25.7,979.55,3.7,7.00,25.0,31.08,24.7
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,000,08-10-2019,07:00:00,1001.37,0.00,94,0.60,26.3,983.93,0.0,10.00,25.4,32.23,25.3
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,000,08-10-2019,07:00:00,1002.22,0.00,94,8.40,25.5,986.38,0.0,10.00,24.8,30.71,24.5
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,000,08-10-2019,07:00:00,1000.24,0.00,93,44.00,25.9,981.42,0.0,8.00,25.0,30.92,24.6
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,000,08-10-2019,07:00:00,1003.53,2.70,96,16.30,23.0,952.04,0.0,7.00,22.5,26.83,22.2
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,000,08-10-2019,07:00:00,1000.67,0.80,97,9.30,25.5,996.71,0.0,6.00,25.2,31.52,24.9
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,230,08-10-2019,07:00:00,1012.14,5.90,98,31.60,21.3,916.50,11.1,.60,20.6,24.84,21.0
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,000,08-10-2019,07:00:00,1001.42,0.00,97,0.50,26.0,985.47,0.0,7.00,25.0,32.48,25.4
