WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,WindDirection,Date,Time,MeanSeaLevelPressure,Rainfall,RelativeHumidity,Rainfall24Hr,AirTemperature,StationPressure,WindSpeed,LandVisibility,MinimumTemperature,VaporPressure,DewPoint
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,000,08-10-2019,07:00:00,1000.68,0.00,98,39.60,25.7,996.65,0.0,8.00,25.1,32.45,25.4
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,000,08-10-2019,07:00:00,1002.03,0.00,94,25.00,25.2,991.34,0.0,8.00,24.5,30.15,24.2
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,000,08-10-2019,07:00:00,1001.52,0.00,97,3.10,25.4,999.59,0.0,4.00,24.8,31.33,24.8
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,000,08-10-2019,07:00:00,1001.31,0.00,85,1.20,26.0,980.50,0.0,12.00,25.4,28.44,23.2
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,170,08-10-2019,07:00:00,1001.03,0.00,97,33.00,25.7,983.40,3.7,10.00,24.7,32.18,25.3
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,000,08-10-2019,07:00:00,1000.91,0.10,99,27.60,25.6,984.77,0.0,10.00,25.2,32.53,25.4
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,160,08-10-2019,07:00:00,1001.97,0.60,95,25.70,25.7,987.95,9.3,10.00,24.6,31.36,24.8
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,000,08-10-2019,07:00:00,1002.72,0.00,97,41.40,25.2,987.87,0.0,9.00,24.4,30.96,24.6
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,140,08-10-2019,07:00:00,1002.31,0.30,96,14.30,25.3,987.63,7.4,8.00,24.7,30.87,24.6
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",08-10-2019,07:00:00,1001.18,0.00,97,6.60,25.9,998.17,0.0,8.00,25.0,32.29,25.3
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,000,08-10-2019,07:00:00,1001.22,3.50,95,7.60,25.3,993.27,0.0,10.00,24.7,30.60,24.4
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,130,08-10-2019,07:00:00,1001.46,0.00,97,14.70,25.2,1000.35,3.7,7.00,24.6,30.96,24.6
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,100,08-10-2019,07:00:00,1001.93,0.00,91,30.40,28.0,987.37,5.6,9.00,24.6,34.52,26.5
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,190,08-10-2019,07:00:00,1003.19,0.01,99,74.40,19.5,868.71,13.0,.10,18.8,22.42,19.3
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,000,08-10-2019,07:00:00,1001.29,0.00,96,8.20,25.0,995.41,0.0,10.00,24.0,30.32,24.3
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,150,08-10-2019,07:00:00,1001.71,0.00,90,6.00,27.0,1000.91,5.6,8.00,26.1,31.94,25.1
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,210,08-10-2019,07:00:00,1001.60,0.00,81,7.40,28.5,1001.16,22.2,10.00,28.2,31.54,24.9
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,000,08-10-2019,07:00:00,1002.32,0.20,96,1.20,25.0,991.00,0.0,4.00,24.7,30.32,24.3
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,180,08-10-2019,07:00:00,1001.60,0.00,85,0.30,26.9,1000.59,3.7,10.00,26.2,30.10,24.1
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,000,08-10-2019,07:00:00,1001.53,0.00,93,31.50,25.4,999.71,0.0,8.00,25.0,30.25,24.2
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,000,08-10-2019,07:00:00,1007.16,0.00,88,0.50,26.2,1006.40,0.0,6.00,25.0,29.86,24.0
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,200,08-10-2019,07:00:00,1002.25,0.00,82,7.80,27.9,1001.55,11.1,10.00,25.9,30.92,24.6
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,000,08-10-2019,07:00:00,1001.92,0.00,94,26.50,25.9,1001.22,0.0,7.00,24.4,31.46,24.9
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,230,08-10-2019,07:00:00,1001.22,0.00,85,0.20,26.2,980.14,3.7,10.00,25.4,28.80,23.4
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,000,08-10-2019,07:00:00,1001.90,0.00,97,40.50,25.3,985.18,0.0,8.00,24.0,31.41,24.9
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,180,08-10-2019,07:00:00,1002.83,0.00,96,25.80,25.8,986.40,3.7,8.00,24.4,31.82,25.1
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,000,08-10-2019,07:00:00,1001.20,0.00,84,0.01,26.0,979.40,0.0,10.00,25.7,28.18,23.1
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,030,08-10-2019,07:00:00,1002.32,0.00,96,30.00,24.0,958.86,3.7,10.00,22.9,28.53,23.3
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,210,08-10-2019,07:00:00,1001.46,0.00,85,0.00,26.0,980.95,5.6,8.00,25.8,28.70,23.4
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,210,08-10-2019,07:00:00,1002.81,0.00,100,9.20,25.8,982.00,13.0,7.00,25.0,33.20,25.8
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,210,08-10-2019,07:00:00,1002.17,0.00,81,16.40,27.7,1001.74,11.1,10.00,26.9,30.26,24.2
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,000,08-10-2019,07:00:00,1002.18,0.80,97,36.40,25.5,1000.76,0.0,6.00,24.5,31.52,24.9
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,000,08-10-2019,07:00:00,1003.28,0.80,97,3.60,25.4,998.34,0.0,7.00,23.5,31.33,24.8
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,240,08-10-2019,07:00:00,1001.54,0.00,83,0.00,26.7,998.26,3.7,12.00,24.8,28.92,23.5
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,000,08-10-2019,07:00:00,1001.72,0.00,94,0.10,26.2,1000.61,0.0,10.00,25.0,32.04,25.2
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,200,08-10-2019,07:00:00,1001.82,0.00,80,1.60,28.2,1001.52,9.3,10.00,27.5,30.40,24.3
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,000,08-10-2019,07:00:00,1001.89,0.00,82,0.50,27.7,1001.21,0.0,8.00,27.5,30.53,24.4
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,000,08-10-2019,07:00:00,1001.92,0.00,84,1.00,27.6,1001.44,0.0,10.00,27.2,31.16,24.7
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,190,08-10-2019,07:00:00,1001.88,0.00,79,3.00,28.2,1000.48,9.3,10.00,27.2,30.12,24.2
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,210,08-10-2019,07:00:00,1002.19,0.00,85,0.00,28.2,1000.53,18.5,10.00,27.6,32.63,25.5
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,180,08-10-2019,07:00:00,1003.65,0.00,92,0.01,26.0,995.65,3.7,10.00,25.3,30.84,24.6
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,000,08-10-2019,07:00:00,1001.91,4.50,86,4.50,28.0,1001.63,0.0,8.00,27.3,32.52,25.4
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,280,08-10-2019,07:00:00,1002.25,0.00,79,0.50,28.3,999.14,7.4,10.00,27.5,30.31,24.3
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,240,08-10-2019,07:00:00,1002.54,0.00,84,0.70,27.6,995.65,5.6,10.00,26.9,30.89,24.6
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,000,08-10-2019,07:00:00,1002.48,0.00,92,0.00,25.7,996.88,0.0,7.00,24.6,30.28,24.2
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,230,08-10-2019,07:00:00,1002.73,0.00,81,0.01,28.5,993.51,18.5,10.00,26.8,31.54,24.9
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,140,08-10-2019,07:00:00,1002.62,0.01,93,0.10,26.2,1001.36,7.4,12.00,26.0,31.49,24.9
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,220,08-10-2019,07:00:00,1001.97,0.00,82,27.90,27.4,1001.54,18.5,11.00,26.7,29.96,24.1
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,180,08-10-2019,07:00:00,1002.74,0.40,91,0.80,25.0,990.45,3.7,10.00,24.4,28.74,23.4
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,000,08-10-2019,07:00:00,1002.78,0.00,90,0.00,26.1,1002.06,0.0,10.00,25.7,30.48,24.4
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,200,08-10-2019,07:00:00,1003.66,0.30,82,12.30,27.9,1001.24,18.5,10.00,27.0,30.64,24.4
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,280,08-10-2019,07:00:00,1002.80,0.00,85,0.50,28.3,1002.28,22.2,8.00,27.6,32.84,25.6
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,180,08-10-2019,07:00:00,1002.65,0.50,84,1.90,27.1,997.52,7.4,11.00,26.3,30.20,24.2
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,190,08-10-2019,07:00:00,1003.28,0.60,89,66.40,27.2,1002.86,5.6,6.00,25.3,32.05,25.2
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,200,08-10-2019,07:00:00,1003.60,2.50,96,93.60,26.5,1000.83,7.4,8.00,26.0,33.19,25.8
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,240,08-10-2019,07:00:00,1004.14,2.90,94,3.40,25.2,1003.35,3.7,4.00,24.0,30.15,24.2
48501,TRAD,ตราด,ตราด,11.76667,102.88333,260,08-10-2019,07:00:00,1003.96,1.10,89,89.60,26.8,1003.51,16.7,5.00,26.5,31.27,24.8
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,000,08-10-2019,07:00:00,1004.72,4.50,94,37.90,25.0,1004.03,0.0,7.00,24.3,29.79,24.0
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,270,08-10-2019,07:00:00,1004.97,0.40,87,32.40,26.0,1003.44,7.4,8.00,24.8,29.23,23.7
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,210,08-10-2019,07:00:00,1006.24,0.00,85,76.60,26.0,1005.32,5.6,10.00,24.8,28.70,23.4
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,000,08-10-2019,07:00:00,1005.45,0.00,84,1.70,26.3,1004.76,0.0,10.00,24.7,28.72,23.4
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,200,08-10-2019,07:00:00,1006.20,0.20,98,11.50,23.9,1005.39,3.7,7.00,23.6,29.12,23.6
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,000,08-10-2019,07:00:00,1005.16,0.00,89,5.10,25.1,1004.53,0.0,10.00,23.9,28.40,23.2
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,000,08-10-2019,07:00:00,1005.29,0.30,96,2.40,24.5,1004.88,0.0,10.00,23.9,29.41,23.8
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,220,08-10-2019,07:00:00,1007.53,0.00,78,1.20,25.5,1003.30,9.3,6.00,24.3,25.52,21.4
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,000,08-10-2019,07:00:00,1007.06,0.01,98,21.20,24.0,1005.43,0.0,4.00,23.0,29.30,23.7
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,000,08-10-2019,07:00:00,1007.13,0.00,98,13.30,23.7,1003.62,0.0,7.00,23.3,28.77,23.4
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,000,08-10-2019,07:00:00,1005.53,0.20,92,1.00,25.5,1004.17,0.0,8.00,24.3,29.91,24.0
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,000,08-10-2019,07:00:00,1006.36,0.00,96,114.60,25.0,1005.47,0.0,10.00,23.9,30.32,24.3
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,000,08-10-2019,07:00:00,1006.95,0.20,97,9.00,24.3,1003.36,0.0,10.00,23.0,29.31,23.7
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,270,08-10-2019,07:00:00,1006.88,0.00,83,18.20,27.1,1006.44,7.4,10.00,25.5,29.66,23.9
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,230,08-10-2019,07:00:00,1006.25,0.00,79,40.40,28.1,1005.26,13.0,10.00,24.9,30.20,24.2
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,270,08-10-2019,07:00:00,1007.50,0.00,84,10.80,28.2,1006.69,29.6,10.00,25.0,32.07,25.2
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,000,08-10-2019,07:00:00,1006.22,1.60,98,35.00,24.7,1004.39,0.0,10.00,23.9,30.56,24.4
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,210,08-10-2019,07:00:00,1005.90,0.10,88,3.70,25.5,1005.14,3.7,10.00,24.5,28.59,23.3
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,210,08-10-2019,07:00:00,1006.24,0.40,94,15.60,24.6,1002.21,5.6,10.00,23.0,29.07,23.6
48570,SATUN,สตูล,สตูล,6.65000,100.08333,000,08-10-2019,07:00:00,1007.43,0.30,95,15.90,25.3,1006.75,0.0,6.00,22.7,30.60,24.4
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,000,08-10-2019,07:00:00,1006.05,0.00,96,11.20,24.1,1004.93,0.0,10.00,23.7,28.70,23.4
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,000,08-10-2019,07:00:00,1006.65,0.00,93,23.60,24.3,1003.70,0.0,10.00,22.8,28.28,23.1
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,000,08-10-2019,07:00:00,1006.45,0.20,92,10.60,24.5,1005.75,0.0,7.00,24.1,28.37,23.2
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,240,08-10-2019,07:00:00,1007.18,0.00,84,6.20,23.2,1003.01,9.3,5.00,22.6,23.76,20.3
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,000,08-10-2019,07:00:00,1009.92,0.00,87,3.80,24.5,1009.33,0.0,9.00,.0,26.84,22.3
