WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall24Hr,Date,Time,AirTemperature,LandVisibility,WindDirection,MaximumTemperature,StationPressure,Rainfall,RelativeHumidity,WindSpeed,VaporPressure,DewPoint,MeanSeaLevelPressure
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,6.50,09-07-2019,19:00:00,20.8,1.50,220,23.6,913.25,0.10,97,14.8,23.85,20.3,1008.71
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,8.40,09-07-2019,19:00:00,28.1,7.00,000,33.3,989.89,8.40,91,0.0,34.44,26.4,1005.79
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,0.01,09-07-2019,19:00:00,30.8,12.00,000,34.4,1002.46,0.00,71,0.0,31.64,25.0,1006.44
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,0.50,09-07-2019,19:00:00,29.8,7.00,000,33.3,996.42,0.00,79,0.0,33.33,25.9,1006.99
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,0.01,09-07-2019,19:00:00,30.6,10.00,270,33.1,1004.77,0.00,72,3.7,31.51,24.9,1006.68
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,0.00,09-07-2019,19:00:00,29.3,10.00,220,33.4,985.46,0.00,73,13.0,29.77,24.0,1006.14
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,5.50,09-07-2019,19:00:00,26.9,10.00,230,32.0,988.60,5.30,89,7.4,31.46,24.9,1006.25
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,8.80,09-07-2019,19:00:00,28.0,5.00,200,33.6,990.16,8.80,91,9.3,34.23,26.3,1006.26
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,0.00,09-07-2019,19:00:00,28.7,10.00,000,32.6,992.57,0.00,76,0.0,29.98,24.1,1006.52
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,0.90,09-07-2019,19:00:00,28.8,10.00,000,33.5,992.27,0.00,81,0.0,32.14,25.2,1007.01
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,0.01,09-07-2019,19:00:00,29.0,10.00,000,33.0,992.13,0.01,88,0.0,35.16,26.8,1006.69
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,0.00,09-07-2019,19:00:00,30.6,10.00,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",34.4,1003.03,0.00,72,0.0,31.51,24.9,1006.01
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,6.10,09-07-2019,19:00:00,29.6,10.00,000,32.5,998.39,0.00,79,0.0,32.91,25.6,1006.27
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,0.00,09-07-2019,19:00:00,29.8,8.00,230,33.2,1006.63,0.00,76,5.6,31.89,25.1,1007.73
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,0.00,09-07-2019,19:00:00,31.5,8.00,000,34.0,992.29,0.00,76,0.0,34.90,26.6,1006.75
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,8.00,09-07-2019,19:00:00,20.4,8.00,300,23.9,874.05,0.00,100,7.4,23.95,20.4,1008.92
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,6.00,09-07-2019,19:00:00,29.7,10.00,000,34.0,1000.60,0.00,78,0.0,32.54,25.5,1006.42
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,0.00,09-07-2019,19:00:00,30.5,9.00,230,33.9,1006.36,0.00,61,9.3,26.60,22.1,1007.16
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,0.00,09-07-2019,19:00:00,29.3,10.00,230,32.5,1006.86,0.00,76,18.5,30.88,24.6,1007.30
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,6.00,09-07-2019,19:00:00,26.3,5.00,000,29.7,997.86,0.00,86,0.0,29.25,23.7,1009.21
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,0.00,09-07-2019,19:00:00,30.5,10.00,240,35.5,1006.38,0.00,61,7.4,26.60,22.1,1007.38
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,1.20,09-07-2019,19:00:00,30.0,8.00,180,34.5,1005.13,0.00,66,5.6,28.09,23.0,1006.94
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,0.00,09-07-2019,19:00:00,29.6,8.00,000,33.7,1006.81,0.00,60,0.0,24.96,21.1,1007.57
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,0.00,09-07-2019,19:00:00,29.0,10.00,200,31.8,1006.84,0.00,75,13.0,30.01,24.1,1007.54
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,0.00,09-07-2019,19:00:00,30.6,7.00,000,34.2,1006.24,0.00,77,0.0,33.85,26.1,1006.93
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,0.00,09-07-2019,19:00:00,30.3,10.00,270,33.5,985.62,0.00,68,5.6,29.22,23.7,1006.53
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,1.20,09-07-2019,19:00:00,28.0,9.00,000,33.8,990.12,1.20,86,0.0,32.52,25.4,1006.77
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,3.30,09-07-2019,19:00:00,32.8,8.00,000,33.8,990.71,3.30,56,0.0,28.00,23.0,1006.83
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,0.00,09-07-2019,19:00:00,30.3,10.00,000,33.7,984.57,0.00,70,0.0,30.06,24.1,1006.17
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,3.90,09-07-2019,19:00:00,27.2,8.00,250,29.9,964.27,0.00,72,11.1,25.90,21.7,1007.50
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,0.00,09-07-2019,19:00:00,30.5,10.00,000,34.4,986.24,0.00,68,0.0,29.89,24.0,1006.55
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,0.00,09-07-2019,19:00:00,27.5,10.00,240,32.5,987.26,0.00,88,5.6,32.36,25.4,1008.06
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,0.00,09-07-2019,19:00:00,30.4,10.00,290,32.8,1007.16,0.00,61,14.8,26.41,22.0,1007.59
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,1.00,09-07-2019,19:00:00,28.8,6.00,000,32.9,1005.31,0.00,81,0.0,32.14,25.2,1006.72
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,0.00,09-07-2019,19:00:00,27.4,7.00,000,32.1,1003.06,0.00,96,0.0,35.02,26.7,1007.99
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,0.10,09-07-2019,19:00:00,29.5,12.00,000,33.5,1004.75,0.00,65,0.0,26.62,22.1,1008.02
