WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,AirTemperature,Date,Time,LandVisibility,VaporPressure,Rainfall,DewPoint,StationPressure,WindDirection,MeanSeaLevelPressure,Rainfall24Hr,RelativeHumidity,WindSpeed
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,28.8,07-30-2019,10:00:00,12.00,29.90,0.00,24.0,977.00,170,1007.65,0.30,76,5.6
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,19.2,07-30-2019,10:00:00,7.00,20.28,0.00,17.7,844.54,270,1005.34,9.50,91,18.5
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,29.6,07-30-2019,10:00:00,10.00,27.88,0.00,22.9,962.66,160,1005.66,0.00,67,9.3
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,29.5,07-30-2019,10:00:00,15.00,27.15,0.00,22.4,960.94,000,1005.84,0.01,66,0.0
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,25.0,07-30-2019,10:00:00,10.00,30.32,0.00,24.3,970.26,000,1008.02,20.80,96,0.0
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,31.5,07-30-2019,10:00:00,11.00,26.32,0.00,21.9,961.75,230,1005.93,0.00,57,3.7
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,25.0,07-30-2019,10:00:00,5.00,30.05,5.70,24.1,981.78,180,1008.64,51.80,95,3.7
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,31.1,07-30-2019,10:00:00,15.00,24.78,0.00,20.9,985.52,030,1006.94,0.00,55,1.9
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,28.5,07-30-2019,10:00:00,10.00,27.44,0.00,22.6,985.06,000,1009.04,13.60,71,0.0
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,29.2,07-30-2019,10:00:00,10.00,26.34,0.00,21.9,972.78,000,1006.93,0.01,65,0.0
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,31.0,07-30-2019,10:00:00,10.00,26.73,0.00,22.2,979.40,000,1006.50,0.00,60,0.0
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,30.5,07-30-2019,10:00:00,12.00,25.80,0.00,21.6,973.59,000,1006.67,0.00,59,0.0
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,29.5,07-30-2019,10:00:00,12.00,30.72,0.00,24.5,988.68,270,1007.00,0.00,75,5.6
48331,NAN,น่าน,น่าน,18.77972,100.77778,25.5,07-30-2019,10:00:00,8.00,30.17,4.30,24.2,985.07,000,1007.98,7.40,93,0.0
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,25.5,07-30-2019,10:00:00,6.00,30.71,4.70,24.5,977.95,000,1007.94,6.90,94,0.0
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,31.5,07-30-2019,10:00:00,8.00,30.49,0.00,24.4,971.96,000,1006.85,0.00,66,0.0
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,26.1,07-30-2019,10:00:00,12.00,31.03,0.70,24.7,977.50,310,1007.24,0.70,92,3.7
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,30.0,07-30-2019,10:00:00,9.00,28.64,0.00,23.3,1000.04,000,1007.28,0.01,68,0.0
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,24.5,07-30-2019,10:00:00,8.00,29.41,10.60,23.8,987.25,250,1007.31,26.00,96,3.7
48353,LOEI,เลย,เลย,17.45000,101.73333,26.0,07-30-2019,10:00:00,8.00,30.03,1.00,24.1,978.81,300,1007.53,1.00,89,5.6
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,26.5,07-30-2019,10:00:00,12.00,31.24,1.40,24.8,987.39,330,1007.59,18.70,90,7.4
