WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,StationPressure,Date,Time,Rainfall,LandVisibility,WindSpeed,DewPoint,RelativeHumidity,MeanSeaLevelPressure,VaporPressure,Rainfall24Hr,WindDirection,AirTemperature
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,977.94,09-20-2019,04:00:00,0.00,8.00,0.0,24.0,91,1008.96,29.82,9.70,000,25.6
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,846.56,09-20-2019,04:00:00,0.00,8.00,13.0,18.0,99,1008.33,20.67,26.60,140,18.2
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,965.88,09-20-2019,04:00:00,0.00,10.00,0.0,23.2,92,1009.78,28.37,1.50,000,24.5
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,964.07,09-20-2019,04:00:00,0.00,7.00,0.0,23.3,96,1009.97,28.53,3.00,000,24.0
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,972.70,09-20-2019,04:00:00,4.40,5.00,0.0,23.3,99,1010.74,28.68,17.00,000,23.5
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,964.17,09-20-2019,04:00:00,0.00,7.00,0.0,23.0,97,1009.69,28.17,12.00,000,23.5
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,983.10,09-20-2019,04:00:00,0.20,6.00,0.0,23.6,95,1010.04,29.15,20.60,000,24.5
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,987.22,09-20-2019,04:00:00,0.00,14.00,0.0,23.6,96,1009.17,29.05,1.30,000,24.3
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,984.47,09-20-2019,04:00:00,0.00,6.00,0.0,24.8,96,1008.67,31.25,1.80,000,25.5
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,974.73,09-20-2019,04:00:00,0.00,10.00,0.0,23.2,91,1009.46,28.38,89.10,000,24.8
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,982.04,09-20-2019,04:00:00,0.00,10.00,0.0,24.1,97,1009.79,30.03,66.20,000,24.7
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,975.71,09-20-2019,04:00:00,0.00,10.00,0.0,23.4,97,1009.59,28.78,25.10,000,24.0
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,990.07,09-20-2019,04:00:00,0.00,6.00,0.0,24.5,94,1008.67,30.71,4.10,000,25.5
48331,NAN,น่าน,น่าน,18.77972,100.77778,986.46,09-20-2019,04:00:00,0.80,10.00,0.0,24.4,96,1009.44,30.50,8.40,000,25.1
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,979.56,09-20-2019,04:00:00,0.00,6.00,0.0,23.4,97,1009.75,28.78,2.00,000,24.0
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,973.78,09-20-2019,04:00:00,0.00,6.00,0.0,23.3,97,1009.66,28.52,17.60,000,23.7
