WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,VaporPressure,Date,Time,DewPoint,LandVisibility,StationPressure,Rainfall24Hr,Rainfall,RelativeHumidity,MeanSeaLevelPressure,WindDirection,AirTemperature,WindSpeed
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,31.94,09-01-2019,16:00:00,25.1,15.00,972.02,11.00,8.10,81,1002.53,000,28.7,0.0
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,23.05,09-01-2019,16:00:00,19.8,3.00,842.26,39.40,0.00,98,1002.10,100,20.1,9.3
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,27.25,09-01-2019,16:00:00,22.5,12.00,959.24,10.00,0.00,62,1001.93,110,30.7,3.7
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,27.68,09-01-2019,16:00:00,22.8,15.00,957.53,42.80,0.00,60,1001.97,000,31.5,0.0
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,31.13,09-01-2019,16:00:00,24.7,10.00,966.24,28.60,0.00,78,1003.33,000,29.0,0.0
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,31.31,09-01-2019,16:00:00,24.8,12.00,957.92,5.90,0.00,72,1002.07,150,30.5,7.4
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,31.43,09-01-2019,16:00:00,24.9,12.00,977.81,7.50,0.01,68,1004.00,240,31.4,5.6
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,28.22,09-01-2019,16:00:00,23.1,17.00,981.59,3.50,0.00,59,1002.85,000,32.2,0.0
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,31.38,09-01-2019,16:00:00,24.8,6.00,980.00,3.10,3.10,88,1003.97,000,27.0,0.0
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,27.61,09-01-2019,16:00:00,22.7,10.00,968.79,0.70,0.00,56,1002.41,190,32.6,3.7
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,30.08,09-01-2019,16:00:00,24.1,10.00,975.76,15.60,0.00,63,1002.66,000,32.0,0.0
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,29.47,09-01-2019,16:00:00,23.8,12.00,969.19,3.20,0.00,63,1001.98,000,31.7,0.0
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,31.44,09-01-2019,16:00:00,24.9,10.00,984.98,41.50,0.00,74,1003.20,300,30.0,1.9
48331,NAN,น่าน,น่าน,18.77972,100.77778,31.68,09-01-2019,16:00:00,25.0,10.00,981.35,6.10,0.00,76,1003.85,260,29.7,7.4
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,31.11,09-01-2019,16:00:00,24.7,9.00,974.20,11.10,0.10,82,1003.82,000,28.0,0.0
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,31.48,09-01-2019,16:00:00,24.9,8.00,967.66,3.10,0.00,73,1002.53,000,30.3,0.0
