WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,StationPressure,Date,Time,LandVisibility,VaporPressure,DewPoint,AirTemperature,RelativeHumidity,WindSpeed,Rainfall,Rainfall24Hr,WindDirection,MeanSeaLevelPressure
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,979.33,09-22-2019,04:00:00,6.00,28.71,23.4,24.4,94,0.0,0.00,2.10,000,1010.52
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,847.55,09-22-2019,04:00:00,8.00,18.95,16.7,17.5,95,11.1,0.00,0.00,120,1009.93
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,968.04,09-22-2019,04:00:00,10.00,25.35,21.3,23.6,87,9.3,0.00,0.00,030,1012.17
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,966.15,09-22-2019,04:00:00,7.00,27.16,22.4,23.2,96,0.0,0.00,0.00,000,1012.28
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,972.33,09-22-2019,04:00:00,5.00,26.99,22.3,22.5,99,0.0,0.00,0.00,000,1010.49
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,965.29,09-22-2019,04:00:00,4.00,28.53,23.3,24.0,96,0.0,4.20,11.10,000,1010.78
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,984.93,09-22-2019,04:00:00,6.00,28.63,23.3,24.5,93,0.0,0.00,0.50,000,1011.93
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,988.10,09-22-2019,04:00:00,10.00,30.20,24.2,24.5,98,0.0,0.00,30.90,000,1010.05
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,985.51,09-22-2019,04:00:00,6.00,29.41,23.8,24.5,96,0.0,0.00,0.00,000,1009.82
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,975.94,09-22-2019,04:00:00,10.00,27.34,22.6,23.9,92,0.0,0.00,12.60,000,1010.82
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,984.08,09-22-2019,04:00:00,10.00,27.66,22.8,23.5,96,0.0,0.00,25.80,000,1011.99
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,976.95,09-22-2019,04:00:00,10.00,26.66,22.1,23.2,94,0.0,0.00,14.80,000,1010.97
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,991.36,09-22-2019,04:00:00,4.00,30.42,24.3,25.2,95,0.0,0.00,15.40,000,1010.00
48331,NAN,น่าน,น่าน,18.77972,100.77778,987.96,09-22-2019,04:00:00,10.00,30.20,24.2,24.5,98,0.0,14.40,15.70,000,1011.01
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,979.58,09-22-2019,04:00:00,6.00,29.00,23.5,25.0,92,0.0,0.00,0.00,000,1009.67
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,974.24,09-22-2019,04:00:00,7.00,26.58,22.1,23.3,93,0.0,0.00,12.80,000,1010.19
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,980.72,09-22-2019,04:00:00,4.00,27.57,22.7,23.0,98,0.0,0.00,0.00,000,1010.87
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,1002.15,09-22-2019,04:00:00,8.00,29.54,23.8,25.3,92,0.0,0.00,0.00,000,1009.52
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,990.42,09-22-2019,04:00:00,6.00,29.74,23.9,25.7,90,3.7,0.00,0.00,340,1010.46
48353,LOEI,เลย,เลย,17.45000,101.73333,981.89,09-22-2019,04:00:00,5.00,28.36,23.2,24.2,94,0.0,0.00,0.20,000,1010.88
