WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,VaporPressure,Date,Time,LandVisibility,RelativeHumidity,DewPoint,WindDirection,AirTemperature,Rainfall,StationPressure,MeanSeaLevelPressure,WindSpeed,Rainfall24Hr
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,32.49,10-14-2019,16:00:00,8.00,91,25.4,000,27.0,0.10,980.05,1010.99,0.0,4.90
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,23.21,10-14-2019,16:00:00,8.00,92,19.9,200,21.3,0.00,850.66,1011.39,14.8,7.60
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,25.45,10-14-2019,16:00:00,12.00,75,21.4,240,26.2,7.40,968.02,1011.76,5.6,33.80
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,25.11,10-14-2019,16:00:00,15.00,75,21.2,000,26.0,0.00,966.52,1012.22,0.0,13.00
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,29.97,10-14-2019,16:00:00,12.00,94,24.1,000,25.1,4.20,974.61,1012.53,0.0,34.20
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,28.82,10-14-2019,16:00:00,10.00,77,23.4,020,27.8,0.00,966.69,1011.66,5.6,6.80
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,29.40,10-14-2019,16:00:00,12.00,65,23.8,150,31.1,0.00,984.95,1011.35,5.6,1.10
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,29.47,10-14-2019,16:00:00,13.00,63,23.8,030,31.7,0.00,988.91,1010.36,9.3,0.20
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,28.25,10-14-2019,16:00:00,10.00,86,23.1,000,25.6,0.20,987.18,1011.44,0.0,4.10
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,28.02,10-14-2019,16:00:00,10.00,92,23.0,000,24.3,38.50,977.45,1012.34,0.0,61.10
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,30.43,10-14-2019,16:00:00,10.00,88,24.3,000,26.5,10.80,984.04,1011.67,0.0,10.80
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,27.60,10-14-2019,16:00:00,8.00,90,22.7,000,24.5,0.10,978.44,1012.36,0.0,13.20
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,28.80,10-14-2019,16:00:00,15.00,54,23.4,350,33.9,0.00,991.52,1009.63,3.7,0.01
48331,NAN,น่าน,น่าน,18.77972,100.77778,27.41,10-14-2019,16:00:00,10.00,63,22.6,090,30.5,0.00,988.22,1010.82,5.6,8.50
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,28.70,10-14-2019,16:00:00,12.00,85,23.4,000,26.0,1.30,981.58,1011.63,0.0,1.30
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,28.92,10-14-2019,16:00:00,8.00,83,23.5,000,26.7,0.20,976.26,1011.87,0.0,0.40
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,25.08,10-14-2019,16:00:00,16.00,50,21.1,120,33.0,0.00,980.61,1009.76,9.3,0.70
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,25.54,10-14-2019,16:00:00,10.00,48,21.4,000,34.1,0.00,1002.36,1009.52,0.0,0.00
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,27.01,10-14-2019,16:00:00,8.00,51,22.4,130,34.0,0.00,990.92,1010.42,7.4,0.00
48353,LOEI,เลย,เลย,17.45000,101.73333,23.60,10-14-2019,16:00:00,15.00,46,20.2,080,33.5,0.00,981.99,1010.09,9.3,0.40
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,23.46,10-14-2019,16:00:00,14.00,47,20.1,080,32.7,0.00,990.99,1010.85,11.1,0.00
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,28.66,10-14-2019,16:00:00,12.00,60,23.3,300,32.0,0.00,989.31,1010.75,5.6,0.00
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,28.02,10-14-2019,16:00:00,14.00,59,23.0,020,32.1,0.00,991.17,1010.38,3.7,0.00
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,23.83,10-14-2019,16:00:00,12.00,48,20.3,060,32.9,0.00,994.84,1011.33,7.4,0.00
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,20.28,10-14-2019,16:00:00,10.00,41,17.7,090,32.5,0.00,994.29,1011.45,9.3,0.00
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,24.50,10-14-2019,16:00:00,9.00,50,20.8,050,32.4,0.00,984.28,1009.65,3.7,0.00
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,29.88,10-14-2019,16:00:00,8.00,54,24.0,030,34.7,0.00,1003.88,1009.53,3.7,0.00
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,29.50,10-14-2019,16:00:00,8.00,53,23.8,030,34.8,0.00,1003.63,1009.68,3.7,0.00
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,23.85,10-14-2019,16:00:00,12.00,44,20.3,000,34.5,0.00,993.73,1009.81,0.0,0.00
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,19.87,10-14-2019,16:00:00,12.00,40,17.4,070,33.0,0.00,985.33,1007.21,22.2,11.90
48376,TAK,ตาก,ตาก,16.87833,99.14333,26.61,10-14-2019,16:00:00,10.00,54,22.1,000,32.8,0.00,996.20,1010.36,0.0,0.40
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,27.55,10-14-2019,16:00:00,12.00,58,22.7,000,32.0,0.00,993.72,1009.88,0.0,0.00
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,25.21,10-14-2019,16:00:00,10.00,46,21.2,230,34.5,0.00,1004.56,1009.68,5.6,0.01
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,26.72,10-14-2019,16:00:00,12.00,48,22.2,000,34.7,0.00,995.25,1008.13,0.0,0.60
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,24.67,10-14-2019,16:00:00,12.00,48,20.9,120,33.5,0.00,1000.81,1009.97,7.4,4.10
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,26.86,10-14-2019,16:00:00,10.00,55,22.3,100,32.5,0.00,988.96,1010.33,11.1,0.00
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,27.74,10-14-2019,16:00:00,10.00,53,22.8,060,33.8,0.00,993.59,1010.77,3.7,0.00
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,24.75,10-14-2019,16:00:00,10.00,48,20.9,080,33.4,0.00,994.34,1009.88,3.7,0.00
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,28.56,10-14-2019,16:00:00,10.00,57,23.3,260,32.8,0.00,991.00,1009.57,1.9,0.00
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,26.58,10-14-2019,16:00:00,11.00,67,22.1,000,28.9,0.00,955.64,1006.30,0.0,18.20
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,27.51,10-14-2019,16:00:00,12.00,53,22.7,090,33.4,0.00,1005.70,1009.58,3.7,9.10
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,21.31,10-14-2019,16:00:00,8.00,64,18.5,040,25.9,0.00,916.06,1010.13,9.3,13.70
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,28.08,10-14-2019,16:00:00,12.00,57,23.0,120,32.7,0.00,994.32,1010.06,3.7,0.00
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,27.59,10-14-2019,16:00:00,10.00,54,22.7,090,33.3,0.00,1005.73,1009.69,3.7,1.30
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,24.16,10-14-2019,16:00:00,10.00,49,20.5,040,32.5,0.00,999.82,1010.34,3.7,0.00
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,24.67,10-14-2019,16:00:00,10.00,48,20.9,090,33.5,0.00,1008.08,1009.98,9.3,0.00
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,25.55,10-14-2019,16:00:00,10.00,53,21.4,100,32.1,0.01,989.68,1010.25,5.6,0.01
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,25.24,10-14-2019,16:00:00,10.00,55,21.3,090,31.5,1.00,992.50,1009.95,11.1,1.10
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,26.23,10-14-2019,16:00:00,10.00,50,21.9,040,33.6,0.00,993.96,1009.82,7.4,0.00
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,24.13,10-14-2019,16:00:00,10.00,47,20.5,000,33.5,0.00,995.98,1009.75,0.0,0.00
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,27.47,10-14-2019,16:00:00,10.00,54,22.6,030,33.1,0.00,995.50,1010.08,3.7,0.00
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,28.48,10-14-2019,16:00:00,10.00,57,23.2,050,32.9,0.00,995.73,1010.17,5.6,5.30
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,23.46,10-14-2019,16:00:00,10.00,44,20.1,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",34.0,0.00,1006.41,1009.37,0.0,0.10
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,24.84,10-14-2019,16:00:00,10.00,49,21.0,050,33.3,0.00,1001.65,1009.45,7.4,0.00
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,29.58,10-14-2019,16:00:00,10.00,56,23.9,020,34.0,0.00,1007.61,1008.70,7.4,0.00
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,32.51,10-14-2019,16:00:00,9.00,73,25.4,120,30.8,0.00,999.49,1014.10,3.7,6.20
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,21.59,10-14-2019,16:00:00,8.00,77,18.7,040,23.0,0.00,875.47,1009.30,3.7,0.00
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,29.66,10-14-2019,16:00:00,10.00,61,23.9,090,32.5,0.00,1003.88,1009.67,3.7,0.00
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,29.29,10-14-2019,16:00:00,12.00,53,23.7,110,34.7,0.00,1007.92,1008.71,5.6,6.00
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,30.49,10-14-2019,16:00:00,10.00,66,24.4,140,31.5,0.00,1008.30,1008.74,22.2,8.70
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,30.72,10-14-2019,16:00:00,7.00,87,24.5,000,26.8,12.00,998.53,1009.87,0.0,14.50
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,29.62,10-14-2019,16:00:00,10.00,59,23.9,000,32.9,0.00,1008.02,1009.02,0.0,23.10
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,26.04,10-14-2019,16:00:00,12.00,50,21.8,000,33.5,0.00,1007.41,1009.20,0.0,0.00
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,32.63,10-14-2019,16:00:00,10.00,73,25.5,000,31.0,0.00,1009.48,1010.24,0.0,29.00
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,29.74,10-14-2019,16:00:00,10.00,59,24.0,080,33.1,0.00,1008.13,1008.82,9.3,12.80
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,28.59,10-14-2019,16:00:00,8.00,66,23.3,000,30.4,0.00,1007.99,1008.69,0.0,0.30
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,27.66,10-14-2019,16:00:00,10.00,58,22.7,110,32.2,0.00,988.95,1009.80,9.3,0.00
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,27.68,10-14-2019,16:00:00,12.00,60,22.8,060,31.5,0.00,993.58,1010.10,7.4,2.70
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,29.31,10-14-2019,16:00:00,12.00,62,23.7,010,31.9,0.00,994.80,1011.03,5.6,2.70
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,27.46,10-14-2019,16:00:00,10.00,57,22.6,070,32.1,0.00,988.08,1009.63,13.0,0.00
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,26.32,10-14-2019,16:00:00,12.00,57,21.9,060,31.5,0.00,966.06,1008.74,7.4,0.00
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,28.58,10-14-2019,16:00:00,12.00,60,23.3,030,32.1,0.00,989.31,1009.58,9.3,5.00
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,30.98,10-14-2019,16:00:00,10.00,69,24.6,050,30.9,0.00,991.40,1012.06,14.8,0.00
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,30.21,10-14-2019,16:00:00,10.00,68,24.2,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",30.8,0.00,1008.58,1009.01,0.0,54.60
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,31.23,10-14-2019,16:00:00,11.00,66,24.8,000,32.0,0.00,1007.64,1009.04,0.0,0.20
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,31.23,10-14-2019,16:00:00,10.00,66,24.8,000,32.0,0.00,1004.04,1008.90,0.0,17.00
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,29.35,10-14-2019,16:00:00,10.00,64,23.7,110,31.5,0.00,1006.03,1009.28,3.7,9.30
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,34.81,10-14-2019,16:00:00,10.00,92,26.6,000,28.0,0.00,1008.87,1009.98,0.0,9.10
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,29.41,10-14-2019,16:00:00,10.00,57,23.8,080,33.5,0.00,1008.37,1008.67,11.1,31.70
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,29.29,10-14-2019,16:00:00,10.00,57,23.7,120,33.3,0.00,1007.42,1008.09,5.6,9.10
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,28.68,10-14-2019,16:00:00,10.00,55,23.3,240,33.7,0.00,1008.20,1008.68,3.7,14.20
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,29.01,10-14-2019,16:00:00,10.00,57,23.5,120,33.3,0.00,1007.22,1008.61,11.1,30.20
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,28.91,10-14-2019,16:00:00,9.00,68,23.5,210,30.0,0.00,1007.00,1008.67,14.8,42.00
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,32.28,10-14-2019,16:00:00,12.00,66,25.3,000,32.5,0.00,1003.18,1011.08,0.0,4.20
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,24.78,10-14-2019,16:00:00,10.00,42,20.9,000,35.7,0.00,1008.55,1008.83,0.0,1.20
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,30.43,10-14-2019,16:00:00,10.00,88,24.3,200,26.5,8.90,1006.92,1010.06,5.6,8.90
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,29.19,10-14-2019,16:00:00,10.00,90,23.6,240,25.4,14.40,1002.33,1009.32,7.4,14.40
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,29.62,10-14-2019,16:00:00,8.00,57,23.9,060,33.6,0.00,1003.95,1009.44,7.4,0.01
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,31.36,10-14-2019,16:00:00,6.00,95,24.8,210,25.7,3.10,1001.14,1010.52,14.8,3.10
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,32.91,10-14-2019,16:00:00,12.00,79,25.6,000,29.6,0.00,1009.12,1010.38,0.0,15.30
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,34.27,10-14-2019,16:00:00,11.00,68,26.3,000,33.0,0.00,1008.62,1009.04,0.0,8.40
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,28.15,10-14-2019,16:00:00,8.00,64,23.0,000,30.6,0.00,997.15,1009.29,0.0,2.00
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,32.92,10-14-2019,16:00:00,10.00,76,25.6,120,30.3,0.00,1008.53,1009.24,7.4,16.60
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,32.63,10-14-2019,16:00:00,10.00,73,25.5,180,31.0,0.00,1007.57,1009.98,11.1,43.60
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,33.40,10-14-2019,16:00:00,8.00,72,25.9,220,31.5,0.00,1008.80,1009.32,7.4,3.50
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,32.67,10-14-2019,16:00:00,14.00,74,25.5,290,30.6,0.00,1004.13,1009.24,3.7,0.70
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,25.12,10-14-2019,16:00:00,10.00,52,21.2,070,32.3,0.00,1008.58,1008.98,5.6,0.00
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,32.75,10-14-2019,16:00:00,8.00,75,25.6,000,30.5,0.00,1006.40,1009.14,0.0,0.00
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,29.88,10-14-2019,16:00:00,10.00,66,24.0,080,31.2,0.00,1008.24,1009.01,3.7,30.70
48501,TRAD,ตราด,ตราด,11.76667,102.88333,32.67,10-14-2019,16:00:00,8.00,74,25.5,260,30.6,0.00,1008.70,1009.16,3.7,0.01
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,31.16,10-14-2019,16:00:00,10.00,76,24.7,100,29.3,0.00,1008.52,1009.20,7.4,9.30
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,30.94,10-14-2019,16:00:00,9.00,70,24.6,050,30.6,0.00,1007.51,1009.02,11.1,16.00
