WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall24Hr,Date,Time,VaporPressure,RelativeHumidity,DewPoint,StationPressure,LandVisibility,MeanSeaLevelPressure,WindSpeed,Rainfall,AirTemperature,WindDirection
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,0.00,09-25-2019,22:00:00,29.50,88,23.8,984.91,10.00,1016.10,0.0,0.00,26.0,000
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,0.00,09-25-2019,22:00:00,15.81,84,13.8,853.19,8.00,1017.25,14.8,0.00,16.5,120
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,0.00,09-25-2019,22:00:00,22.88,80,19.7,973.10,10.00,1017.50,0.0,0.00,23.4,000
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,0.00,09-25-2019,22:00:00,24.64,89,20.9,971.00,12.00,1017.44,0.0,0.00,22.7,000
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,0.00,09-25-2019,22:00:00,24.32,88,20.6,979.24,7.00,1017.64,0.0,0.00,22.8,000
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,0.00,09-25-2019,22:00:00,26.09,93,21.8,972.04,8.00,1018.00,0.0,0.00,23.0,000
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,0.00,09-25-2019,22:00:00,28.59,88,23.3,990.00,8.00,1017.04,3.7,0.00,25.5,310
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,0.00,09-25-2019,22:00:00,29.01,90,23.5,994.29,6.00,1016.32,0.0,0.00,25.3,000
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,0.00,09-25-2019,22:00:00,28.48,90,23.2,992.52,8.00,1016.96,0.0,0.00,25.0,000
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,0.01,09-25-2019,22:00:00,27.34,78,22.6,981.81,9.00,1016.57,0.0,0.00,26.7,000
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,0.50,09-25-2019,22:00:00,29.33,86,23.7,982.15,10.00,1009.76,0.0,0.00,26.2,000
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,0.00,09-25-2019,22:00:00,29.76,89,24.0,982.42,10.00,1016.30,0.0,0.00,26.0,000
