WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,WindSpeed,Date,Time,WindDirection,StationPressure,AirTemperature,MeanSeaLevelPressure,LandVisibility,Rainfall,DewPoint,VaporPressure,Rainfall24Hr,RelativeHumidity
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,5.6,08-22-2019,16:00:00,350,972.59,28.7,1003.12,12.00,0.10,24.8,31.38,7.70,80
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,0.0,08-22-2019,16:00:00,000,841.40,22.0,999.99,8.00,0.00,20.5,24.03,0.00,91
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,0.0,08-22-2019,16:00:00,000,959.46,30.8,1002.15,12.00,0.00,24.1,29.93,75.60,67
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,7.4,08-22-2019,16:00:00,210,957.58,30.6,1002.16,15.00,0.00,24.1,30.09,1.20,69
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,0.0,08-22-2019,16:00:00,000,966.63,29.0,1003.74,12.00,2.10,26.5,34.58,13.60,86
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,7.4,08-22-2019,16:00:00,180,958.64,30.5,1002.83,9.00,0.00,24.2,30.18,0.60,69
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,0.0,08-22-2019,16:00:00,000,977.88,31.5,1004.06,12.00,0.00,25.9,33.40,14.60,72
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,3.7,08-22-2019,16:00:00,150,982.47,31.7,1003.78,13.00,0.00,22.3,26.97,0.00,58
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,0.0,08-22-2019,16:00:00,000,980.99,26.5,1005.02,6.00,0.10,25.1,31.79,1.60,92
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,5.6,08-22-2019,16:00:00,240,968.66,32.8,1002.26,10.00,0.00,23.4,28.85,1.80,58
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,0.0,08-22-2019,16:00:00,000,976.15,32.8,1002.99,10.00,0.00,23.8,29.42,37.70,59
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,5.6,08-22-2019,16:00:00,160,969.54,31.3,1002.39,10.00,0.60,24.1,30.08,1.30,66
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,1.9,08-22-2019,16:00:00,210,985.44,29.0,1003.73,12.00,1.80,25.6,32.83,12.70,82
48331,NAN,น่าน,น่าน,18.77972,100.77778,0.0,08-22-2019,16:00:00,000,981.15,31.2,1003.54,10.00,0.00,24.7,31.02,47.50,68
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,0.0,08-22-2019,16:00:00,000,974.16,30.0,1003.59,12.00,0.00,24.3,30.31,19.50,71
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,0.0,08-22-2019,16:00:00,000,968.07,30.6,1002.92,7.00,0.00,24.3,30.38,0.90,69
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,0.0,08-22-2019,16:00:00,000,974.09,30.0,1003.34,15.00,0.00,25.2,32.01,22.40,75
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,0.0,08-22-2019,16:00:00,000,997.03,32.0,1004.20,10.00,0.00,24.8,31.23,15.90,66
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,7.4,08-22-2019,16:00:00,120,984.59,30.4,1004.20,14.00,0.00,26.6,34.90,3.60,80
48353,LOEI,เลย,เลย,17.45000,101.73333,9.3,08-22-2019,16:00:00,180,975.65,30.5,1003.85,15.00,0.00,23.1,28.23,12.00,65
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,1.9,08-22-2019,16:00:00,190,984.64,29.9,1004.56,12.00,0.00,25.1,31.80,4.20,75
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,5.6,08-22-2019,16:00:00,310,983.84,25.5,1005.62,8.00,4.30,23.7,29.38,8.40,90
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,3.7,08-22-2019,16:00:00,310,985.87,25.0,1005.44,8.00,6.70,24.0,29.79,17.50,94
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,5.6,08-22-2019,16:00:00,340,988.80,29.0,1005.40,10.00,0.20,24.7,31.13,26.10,78
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,3.7,08-22-2019,16:00:00,050,988.28,30.9,1005.43,12.00,0.01,25.7,33.01,12.50,74
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,3.7,08-22-2019,16:00:00,220,978.47,30.4,1003.86,12.00,0.00,23.9,29.70,0.70,68
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,0.0,08-22-2019,16:00:00,000,998.69,32.2,1004.36,10.00,0.70,26.4,34.32,52.90,71
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,7.4,08-22-2019,16:00:00,160,997.58,32.5,1003.64,10.00,0.00,26.2,34.07,53.80,70
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,0.0,08-22-2019,16:00:00,000,988.38,30.7,1004.57,10.00,1.10,24.7,31.15,3.70,71
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,0.0,08-22-2019,16:00:00,000,982.03,25.8,1004.37,10.00,3.10,23.6,29.13,4.30,88
48376,TAK,ตาก,ตาก,16.87833,99.14333,14.8,08-22-2019,16:00:00,280,990.95,29.2,1005.20,6.00,6.00,25.8,33.24,6.40,82
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,0.0,08-22-2019,16:00:00,000,988.18,31.5,1004.27,6.00,0.01,22.8,27.68,0.01,60
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,7.4,08-22-2019,16:00:00,230,998.88,33.0,1003.99,10.00,0.00,23.5,28.97,0.40,58
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,7.4,08-22-2019,16:00:00,210,990.26,32.1,1003.19,12.00,0.80,24.4,30.57,15.80,64
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,3.7,08-22-2019,16:00:00,270,994.87,33.1,1003.98,10.00,0.00,23.8,29.46,6.50,58
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,7.4,08-22-2019,16:00:00,270,983.29,33.3,1004.48,10.00,0.00,21.9,26.20,0.00,51
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,0.0,08-22-2019,16:00:00,000,987.48,32.5,1004.62,10.00,0.00,24.7,31.11,15.20,64
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,0.0,08-22-2019,16:00:00,000,988.42,28.6,1004.12,10.00,0.60,25.6,32.88,9.90,84
