WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,VaporPressure,Date,Time,LandVisibility,WindSpeed,StationPressure,MaximumTemperature,WindDirection,Rainfall,Rainfall24Hr,DewPoint,AirTemperature,MeanSeaLevelPressure,RelativeHumidity
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,29.72,08-18-2019,19:00:00,8.00,0.0,977.25,32.1,000,6.50,6.50,23.9,25.4,1008.27,92
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,20.73,08-18-2019,19:00:00,9.00,18.5,844.07,23.0,270,0.00,0.00,18.1,20.5,1004.03,86
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,29.65,08-18-2019,19:00:00,10.00,3.7,961.71,33.4,170,2.00,2.00,23.9,29.1,1004.74,74
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,30.01,08-18-2019,19:00:00,15.00,0.0,959.78,33.0,000,0.00,0.00,24.1,28.0,1004.85,79
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,28.83,08-18-2019,19:00:00,2.00,0.0,970.41,31.3,000,7.40,7.40,23.4,25.2,1008.15,90
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,28.91,08-18-2019,19:00:00,12.00,5.6,961.32,32.5,210,0.00,0.00,23.5,29.0,1005.85,72
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,32.91,08-18-2019,19:00:00,8.00,0.0,979.31,31.3,000,0.00,27.10,25.6,28.9,1005.75,83
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,29.00,08-18-2019,19:00:00,13.00,1.9,985.90,33.2,330,0.00,1.80,23.5,28.9,1007.48,73
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,31.25,08-18-2019,19:00:00,8.00,0.0,984.96,30.5,000,6.00,30.50,24.8,25.5,1009.18,96
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,26.69,08-18-2019,19:00:00,10.00,9.3,972.74,33.5,200,0.01,0.01,22.2,27.5,1007.08,73
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,31.22,08-18-2019,19:00:00,10.00,0.0,980.24,34.5,000,0.20,0.20,24.8,27.2,1007.71,87
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,26.58,08-18-2019,19:00:00,10.00,0.0,973.34,33.4,000,0.00,0.00,22.1,27.0,1006.80,75
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,33.57,08-18-2019,19:00:00,15.00,0.0,988.30,33.9,000,0.40,2.50,26.0,28.1,1006.70,88
48331,NAN,น่าน,น่าน,18.77972,100.77778,29.11,08-18-2019,19:00:00,10.00,0.0,983.41,34.2,000,0.00,0.10,23.6,30.1,1005.93,68
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,29.96,08-18-2019,19:00:00,10.00,0.0,976.35,33.0,000,0.00,2.00,24.1,29.4,1005.90,73
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,28.47,08-18-2019,19:00:00,4.00,0.0,972.51,32.0,000,8.80,8.80,23.2,24.7,1008.23,92
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,29.85,08-18-2019,19:00:00,12.00,0.0,976.14,32.5,000,0.00,1.20,24.0,27.2,1005.73,83
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,33.00,08-18-2019,19:00:00,10.00,0.0,999.77,34.5,000,0.00,0.00,25.7,30.2,1006.99,77
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,32.13,08-18-2019,19:00:00,10.00,3.7,985.62,33.5,210,0.00,33.70,25.2,29.5,1005.30,78
48353,LOEI,เลย,เลย,17.45000,101.73333,30.01,08-18-2019,19:00:00,14.00,5.6,977.54,32.0,170,0.00,0.60,24.1,28.0,1006.03,79
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,32.42,08-18-2019,19:00:00,15.00,1.9,986.00,33.5,210,1.60,12.00,25.4,28.8,1006.02,82
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,31.38,08-18-2019,19:00:00,10.00,0.0,985.02,33.0,000,0.00,8.30,24.8,26.0,1006.80,93
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,32.51,08-18-2019,19:00:00,9.00,3.7,986.99,32.9,200,0.20,7.40,25.4,26.3,1006.50,95
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,32.77,08-18-2019,19:00:00,10.00,0.0,990.15,32.1,000,7.50,7.60,25.6,27.0,1006.88,92
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,30.43,08-18-2019,19:00:00,10.00,0.0,989.80,31.5,000,1.40,1.40,24.3,26.5,1007.23,88
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,35.05,08-18-2019,19:00:00,10.00,5.6,980.39,33.7,260,0.00,11.30,26.7,29.5,1005.91,85
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,36.06,08-18-2019,19:00:00,10.00,0.0,1001.41,33.8,000,0.00,0.00,27.2,29.0,1007.16,90
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,34.11,08-18-2019,19:00:00,12.00,0.0,1000.92,32.9,000,0.00,0.00,26.2,28.5,1007.08,88
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,30.04,08-18-2019,19:00:00,10.00,0.0,991.07,33.2,000,0.00,4.90,24.1,29.3,1007.39,74
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,29.08,08-18-2019,19:00:00,10.00,0.0,985.00,31.0,000,0.00,0.00,23.6,26.5,1007.35,84
48376,TAK,ตาก,ตาก,16.87833,99.14333,27.56,08-18-2019,19:00:00,8.00,13.0,993.72,32.3,260,0.00,0.00,22.7,29.0,1008.02,69
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,27.44,08-18-2019,19:00:00,10.00,0.0,991.52,31.2,000,0.00,0.00,22.6,28.5,1007.84,71
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,33.05,08-18-2019,19:00:00,10.00,0.0,1002.51,32.6,000,0.40,0.80,25.7,27.7,1007.73,89
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,32.10,08-18-2019,19:00:00,10.00,0.0,992.66,33.8,000,0.20,0.20,25.2,28.5,1005.78,83
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,33.50,08-18-2019,19:00:00,8.00,0.0,998.50,32.2,000,0.40,3.30,25.9,26.8,1007.83,95
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,30.40,08-18-2019,19:00:00,10.00,7.4,985.01,35.6,330,0.00,0.80,24.3,28.2,1006.60,80
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,31.15,08-18-2019,19:00:00,10.00,5.6,989.89,35.5,330,0.00,0.70,24.7,30.0,1007.22,73
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,32.09,08-18-2019,19:00:00,10.00,0.0,990.24,33.3,000,0.00,0.80,25.2,29.9,1005.90,76
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,31.72,08-18-2019,19:00:00,10.00,0.0,987.24,35.5,000,0.00,0.01,25.0,30.0,1005.91,75
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,27.80,08-18-2019,19:00:00,8.00,0.0,958.94,29.4,000,0.00,7.60,22.8,25.2,1010.42,87
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,33.57,08-18-2019,19:00:00,5.00,0.0,1003.42,33.0,000,0.10,1.10,26.0,28.1,1007.37,88
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,24.66,08-18-2019,19:00:00,2.50,7.4,913.71,24.4,230,0.00,4.70,20.9,21.8,1008.89,95
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,32.64,08-18-2019,19:00:00,5.00,9.3,991.54,33.5,150,0.50,12.80,25.5,27.5,1007.50,89
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,29.85,08-18-2019,19:00:00,6.00,0.0,1004.50,34.2,000,2.10,2.10,24.0,27.2,1008.54,83
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,30.74,08-18-2019,19:00:00,8.00,0.0,998.32,33.2,000,0.00,0.00,24.5,30.5,1008.89,70
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,26.60,08-18-2019,19:00:00,10.00,9.3,1006.33,34.0,210,0.00,0.00,22.1,30.5,1008.24,61
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,25.94,08-18-2019,19:00:00,10.00,5.6,986.46,35.9,220,0.00,0.00,21.7,31.3,1007.03,57
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,33.00,08-18-2019,19:00:00,10.00,0.0,989.22,32.4,000,0.00,0.10,25.7,29.5,1006.73,80
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,31.19,08-18-2019,19:00:00,10.00,0.0,989.85,33.5,000,0.00,0.10,24.7,31.0,1005.78,69
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,31.19,08-18-2019,19:00:00,10.00,0.0,993.09,33.8,000,0.00,0.00,24.7,30.3,1006.97,72
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,34.33,08-18-2019,19:00:00,10.00,0.0,992.88,33.7,000,0.00,0.00,26.4,29.3,1007.61,84
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,34.99,08-18-2019,19:00:00,7.00,0.0,993.82,34.0,000,0.00,1.50,26.7,28.5,1008.44,90
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,29.17,08-18-2019,19:00:00,10.00,0.0,1004.99,33.9,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",0.00,0.01,23.6,27.7,1008.00,79
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,31.03,08-18-2019,19:00:00,10.00,0.0,999.47,34.1,000,0.00,0.60,24.7,30.5,1007.33,71
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,31.93,08-18-2019,19:00:00,7.00,5.6,1006.57,33.8,270,0.00,0.00,25.1,31.5,1007.67,69
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,24.37,08-18-2019,19:00:00,8.00,0.0,992.57,34.4,000,0.00,0.00,20.7,30.0,1007.11,57
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,23.47,08-18-2019,19:00:00,3.00,5.6,875.00,23.8,290,0.00,18.60,20.1,20.7,1009.87,96
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,30.90,08-18-2019,19:00:00,10.00,3.7,1001.86,34.4,190,0.00,2.00,24.6,31.0,1007.67,69
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,30.08,08-18-2019,19:00:00,9.00,22.2,1007.44,35.5,230,0.00,0.00,24.1,32.0,1008.23,63
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,31.85,08-18-2019,19:00:00,10.00,22.2,1008.16,31.9,210,0.00,0.00,25.1,29.5,1008.61,77
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,30.43,08-18-2019,19:00:00,6.00,0.0,998.49,31.0,000,0.00,4.20,24.3,26.5,1009.84,88
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,30.08,08-18-2019,19:00:00,12.00,0.0,1007.40,35.5,000,0.00,0.00,24.1,32.0,1008.40,63
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,27.27,08-18-2019,19:00:00,10.00,0.0,1006.17,34.0,000,0.00,0.01,22.5,31.0,1007.97,61
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,28.29,08-18-2019,19:00:00,8.00,0.0,1007.50,34.4,000,0.00,0.00,23.1,31.1,1008.25,63
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,30.40,08-18-2019,19:00:00,10.00,16.7,1011.88,32.7,200,0.00,0.01,24.3,29.2,1012.58,75
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,33.48,08-18-2019,19:00:00,7.00,0.0,1007.24,34.6,000,0.00,0.00,25.9,31.4,1007.93,73
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,26.70,08-18-2019,19:00:00,10.00,9.3,987.28,35.0,270,0.00,0.20,22.2,30.7,1008.21,60
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,30.97,08-18-2019,19:00:00,7.00,0.0,990.68,33.8,000,2.80,2.90,24.6,27.5,1007.37,84
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,28.90,08-18-2019,19:00:00,3.00,3.7,991.39,34.4,130,3.00,3.00,23.5,27.7,1007.79,78
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,26.32,08-18-2019,19:00:00,10.00,3.7,985.76,35.4,300,0.01,0.01,21.9,31.5,1007.30,57
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,26.95,08-18-2019,19:00:00,15.00,5.6,965.03,30.7,240,0.00,0.00,22.3,27.5,1008.25,73
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,29.11,08-18-2019,19:00:00,10.00,3.7,987.07,35.9,210,0.40,0.40,23.6,28.1,1007.57,77
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,34.88,08-18-2019,19:00:00,9.00,16.7,988.19,34.5,170,0.00,0.00,26.6,29.7,1008.86,84
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,33.37,08-18-2019,19:00:00,10.00,9.3,1008.48,31.8,200,0.00,0.00,25.9,29.4,1008.91,81
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,32.51,08-18-2019,19:00:00,8.00,0.0,1006.39,33.8,000,0.00,0.00,25.4,30.8,1007.79,73
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,32.88,08-18-2019,19:00:00,9.00,1.9,1003.38,34.0,190,0.00,0.00,25.6,30.0,1008.27,78
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,28.70,08-18-2019,19:00:00,10.00,7.4,1005.43,35.3,010,0.01,0.01,23.4,30.6,1008.69,65
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,32.93,08-18-2019,19:00:00,10.00,0.0,1007.17,34.8,000,0.00,0.00,25.7,31.0,1008.26,73
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,31.97,08-18-2019,19:00:00,9.00,11.1,1008.62,33.5,210,0.00,0.00,25.2,29.7,1008.91,77
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,31.40,08-18-2019,19:00:00,10.00,5.6,1008.26,33.8,210,0.00,0.00,24.9,29.7,1008.94,75
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,32.01,08-18-2019,19:00:00,10.00,0.0,1007.80,34.2,000,0.00,0.00,25.2,30.0,1008.28,75
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,31.84,08-18-2019,19:00:00,10.00,22.2,1007.35,34.1,230,0.00,0.00,25.1,30.9,1008.74,71
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,35.51,08-18-2019,19:00:00,10.00,27.8,1007.26,30.4,210,0.00,0.00,26.9,29.3,1008.93,87
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,28.50,08-18-2019,19:00:00,10.00,0.0,1001.52,34.5,000,0.00,0.00,23.2,30.5,1009.45,65
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,33.17,08-18-2019,19:00:00,10.00,14.8,1008.39,34.8,300,0.00,0.00,25.8,30.7,1008.67,75
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,31.13,08-18-2019,19:00:00,10.00,5.6,1005.53,32.3,270,0.00,0.00,24.7,29.0,1008.65,78
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,31.61,08-18-2019,19:00:00,10.00,0.0,1001.83,32.1,000,0.00,0.00,25.0,29.1,1008.73,78
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,32.10,08-18-2019,19:00:00,8.00,0.0,1002.57,35.5,000,0.00,0.00,25.2,31.3,1008.09,70
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,31.13,08-18-2019,19:00:00,10.00,22.2,1000.12,32.5,230,0.00,0.00,24.7,29.0,1009.40,78
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,32.71,08-18-2019,19:00:00,12.00,3.7,1008.32,34.1,140,0.00,0.00,25.5,29.5,1009.58,79
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,32.67,08-18-2019,19:00:00,11.00,5.6,1008.46,34.6,150,1.10,1.10,25.5,28.5,1008.89,84
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,27.44,08-18-2019,19:00:00,10.00,0.0,996.88,34.9,000,0.00,0.00,22.6,28.5,1009.10,71
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,27.76,08-18-2019,19:00:00,10.00,3.7,1008.13,32.2,280,0.00,0.00,22.8,30.4,1008.84,64
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,34.64,08-18-2019,19:00:00,10.00,7.4,1008.18,33.0,220,0.00,0.00,26.5,30.0,1010.60,82
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,32.46,08-18-2019,19:00:00,10.00,14.8,1008.74,32.0,260,0.00,0.00,25.4,29.1,1009.26,81
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,30.01,08-18-2019,19:00:00,10.00,0.0,1004.13,33.5,000,0.00,0.00,24.1,29.0,1009.26,75
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,31.21,08-18-2019,19:00:00,7.00,0.0,1008.65,32.7,000,0.00,9.30,24.8,28.9,1009.06,78
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,31.95,08-18-2019,19:00:00,8.00,0.0,1006.41,32.5,000,0.00,0.00,25.1,28.0,1009.18,85
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,29.63,08-18-2019,19:00:00,10.00,0.0,1008.37,32.5,000,0.00,0.00,23.9,29.8,1009.15,71
48501,TRAD,ตราด,ตราด,11.76667,102.88333,32.19,08-18-2019,19:00:00,8.00,0.0,1009.39,32.0,000,0.00,1.90,25.3,28.4,1009.85,83
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,28.31,08-18-2019,19:00:00,10.00,9.3,1008.72,33.3,290,0.00,1.50,23.1,30.4,1009.39,65
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,28.04,08-18-2019,19:00:00,8.00,1.9,1007.42,33.6,280,0.00,0.00,23.0,29.4,1008.94,68
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,30.15,08-18-2019,19:00:00,10.00,0.0,1009.27,32.5,000,0.00,0.00,24.2,28.5,1010.18,78
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,28.94,08-18-2019,19:00:00,10.00,0.0,1008.82,33.5,000,0.00,0.00,23.5,30.3,1009.50,67
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,31.72,08-18-2019,19:00:00,10.00,0.0,1008.74,35.5,000,0.00,0.00,25.0,30.0,1009.53,75
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,30.19,08-18-2019,19:00:00,10.00,0.0,1009.29,34.3,000,0.00,0.00,24.2,29.8,1009.92,72
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,30.31,08-18-2019,19:00:00,10.00,0.0,1009.42,36.5,000,0.00,0.00,24.3,30.0,1009.82,71
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,30.58,08-18-2019,19:00:00,6.00,0.0,1006.68,34.9,000,0.00,0.00,24.4,30.7,1010.85,69
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,30.18,08-18-2019,19:00:00,10.00,0.0,1008.02,35.2,000,0.00,0.00,24.2,26.8,1009.63,86
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,31.13,08-18-2019,19:00:00,10.00,0.0,1006.87,33.5,000,0.00,0.00,24.7,29.0,1010.33,78
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,31.93,08-18-2019,19:00:00,10.00,3.7,1008.26,34.9,100,0.00,0.00,25.1,29.4,1009.61,78
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,30.01,08-18-2019,19:00:00,15.00,0.0,1008.79,32.5,000,0.00,0.00,24.1,29.0,1009.67,75
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,25.65,08-18-2019,19:00:00,10.00,0.0,1005.77,34.0,000,0.00,0.00,21.5,27.5,1009.33,70
