WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,AirTemperature,Date,Time,RelativeHumidity,StationPressure,WindSpeed,Rainfall24Hr,VaporPressure,Rainfall,MeanSeaLevelPressure,WindDirection,LandVisibility,DewPoint
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,29.0,09-18-2019,22:00:00,78,989.08,7.4,0.00,31.13,0.00,1009.86,030,10.00,24.7
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,27.9,09-18-2019,22:00:00,74,992.30,5.6,0.00,27.93,0.00,1009.96,070,10.00,22.9
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,28.0,09-18-2019,22:00:00,77,993.78,0.0,0.10,29.19,0.00,1009.93,000,10.00,23.6
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,27.4,09-18-2019,22:00:00,84,995.72,5.6,2.20,30.50,0.00,1009.77,020,10.00,24.4
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,26.8,09-18-2019,22:00:00,91,994.93,3.7,4.30,32.10,0.00,1009.81,310,9.00,25.2
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,28.1,09-18-2019,22:00:00,83,996.00,5.6,0.00,31.59,0.00,1010.67,060,7.00,25.0
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,28.6,09-18-2019,22:00:00,90,1005.96,0.0,36.40,35.20,0.00,1008.97,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",10.00,26.8
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,27.7,09-18-2019,22:00:00,90,1001.46,0.0,11.90,33.33,7.30,1009.41,000,8.00,25.9
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,29.4,09-18-2019,22:00:00,86,1006.43,5.6,0.00,35.43,0.00,1007.53,150,8.00,26.9
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,28.0,09-18-2019,22:00:00,89,992.21,3.7,1.80,33.66,0.00,1006.85,090,8.00,26.0
