WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Date,Time,Rainfall,WindSpeed,WindDirection,RelativeHumidity,AirTemperature,Rainfall24Hr,DewPoint,LandVisibility,VaporPressure,StationPressure,MeanSeaLevelPressure
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,09-17-2019,10:00:00,0.00,0.0,000,69,28.6,0.00,22.2,15.00,26.83,979.27,1010.01
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,09-17-2019,10:00:00,0.00,5.6,120,73,22.7,0.00,17.5,8.00,20.03,847.74,1007.11
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,09-17-2019,10:00:00,0.00,0.0,000,66,29.5,0.00,22.4,12.00,27.15,966.70,1009.89
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,09-17-2019,10:00:00,0.00,5.6,150,74,29.0,0.00,23.9,15.00,29.74,964.88,1010.04
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,09-17-2019,10:00:00,0.00,0.0,000,77,30.2,0.01,25.7,12.00,33.00,972.42,1009.61
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,09-17-2019,10:00:00,0.00,0.0,000,75,29.0,0.00,24.1,12.00,30.01,965.21,1009.93
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,09-17-2019,10:00:00,0.00,0.0,000,74,30.2,0.00,24.9,10.00,31.56,983.75,1010.20
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,09-17-2019,10:00:00,0.00,3.7,070,65,31.2,0.00,23.9,10.00,29.60,987.77,1009.23
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,09-17-2019,10:00:00,0.00,0.0,000,74,29.0,0.00,23.9,8.00,29.74,986.38,1010.35
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,09-17-2019,10:00:00,0.00,0.0,000,59,31.1,0.00,22.1,10.00,26.65,975.55,1009.58
