WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,VaporPressure,Date,Time,RelativeHumidity,AirTemperature,Rainfall,WindSpeed,MeanSeaLevelPressure,LandVisibility,DewPoint,Rainfall24Hr,StationPressure,WindDirection
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,32.23,08-10-2019,10:00:00,94,26.3,0.20,0.0,1000.84,7.00,25.3,63.40,970.14,000
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,21.06,08-10-2019,10:00:00,99,18.5,8.60,14.8,1000.98,.10,18.3,23.30,840.54,120
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,29.55,08-10-2019,10:00:00,79,27.9,0.50,3.7,1001.60,10.00,23.8,10.00,958.53,030
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,28.93,08-10-2019,10:00:00,89,25.4,2.60,0.0,1001.74,12.00,23.5,7.00,956.42,000
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,32.79,08-10-2019,10:00:00,83,28.7,0.00,0.0,1001.12,12.00,25.6,6.00,964.07,000
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,30.23,08-10-2019,10:00:00,95,25.1,1.80,3.7,1002.02,7.00,24.2,9.30,957.09,200
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,32.59,08-10-2019,10:00:00,77,30.0,0.01,3.7,1001.62,12.00,25.5,14.40,975.38,240
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,32.15,08-10-2019,10:00:00,93,26.4,13.00,5.6,1001.44,4.00,25.3,21.40,979.80,260
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,32.88,08-10-2019,10:00:00,84,28.6,0.00,0.0,1000.89,6.00,25.6,9.30,977.11,000
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,31.66,08-10-2019,10:00:00,89,27.0,0.00,0.0,1000.96,10.00,25.0,13.00,966.77,000
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,32.45,08-10-2019,10:00:00,89,27.4,1.00,0.0,1001.11,10.00,25.4,12.20,973.85,000
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,32.36,08-10-2019,10:00:00,88,27.5,0.00,0.0,1000.48,8.00,25.4,2.60,967.28,000
