WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,DewPoint,Date,Time,Rainfall,AirTemperature,WindDirection,WindSpeed,VaporPressure,StationPressure,MeanSeaLevelPressure,LandVisibility,RelativeHumidity,Rainfall24Hr
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,23.8,08-31-2019,10:00:00,0.00,29.7,240,11.1,29.44,1004.07,1004.49,10.00,71,0.01
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,25.7,08-31-2019,10:00:00,0.00,28.5,210,3.7,32.96,1003.63,1005.04,8.00,85,4.70
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,25.7,08-31-2019,10:00:00,0.00,30.1,000,0.0,33.08,1000.21,1005.08,8.00,78,2.50
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,24.3,08-31-2019,10:00:00,0.20,27.0,220,7.4,30.29,1001.36,1004.64,10.00,85,0.40
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,24.3,08-31-2019,10:00:00,0.00,29.2,240,7.4,30.40,1003.59,1004.69,10.00,75,0.50
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,24.3,08-31-2019,10:00:00,0.00,30.7,210,13.0,30.29,1004.66,1004.96,10.00,69,0.90
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,24.3,08-31-2019,10:00:00,0.00,30.5,230,3.7,30.46,1004.19,1004.87,10.00,70,0.60
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,25.1,08-31-2019,10:00:00,0.00,30.8,180,7.4,31.93,1004.42,1004.90,10.00,72,0.60
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,24.6,08-31-2019,10:00:00,0.00,30.3,200,14.8,30.91,1003.39,1004.78,10.00,72,1.40
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,27.6,08-31-2019,10:00:00,0.00,29.3,210,27.8,37.02,1003.33,1004.99,10.00,91,0.01
