WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall,Date,Time,RelativeHumidity,AirTemperature,VaporPressure,WindSpeed,Rainfall24Hr,LandVisibility,MeanSeaLevelPressure,StationPressure,MaximumTemperature,WindDirection,DewPoint
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,15.00,10-12-2019,19:00:00,94,23.2,26.66,0.0,15.00,8.00,1009.37,957.61,32.0,000,22.1
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,0.00,10-12-2019,19:00:00,79,31.4,36.51,0.0,0.00,5.00,1007.95,1004.05,35.1,000,27.4
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,0.00,10-12-2019,19:00:00,86,22.7,23.69,0.0,0.20,8.00,1010.00,914.99,27.9,000,20.2
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,0.00,10-12-2019,19:00:00,81,29.3,33.16,0.0,0.00,10.00,1008.10,992.22,34.8,000,25.8
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,0.00,10-12-2019,19:00:00,77,31.5,35.81,0.0,0.01,7.00,1007.43,1003.45,35.3,000,27.1
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,0.00,10-12-2019,19:00:00,80,27.0,28.41,0.0,0.00,6.00,1008.57,997.88,34.3,000,23.2
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,0.00,10-12-2019,19:00:00,76,30.2,32.42,5.6,0.00,9.00,1007.92,1006.01,34.8,060,25.4
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,0.10,10-12-2019,19:00:00,90,25.7,29.74,0.0,11.40,10.00,1009.18,988.19,34.8,000,23.9
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,0.00,10-12-2019,19:00:00,83,28.8,32.71,5.6,0.00,10.00,1008.17,990.59,33.7,240,25.5
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,0.00,10-12-2019,19:00:00,78,30.0,33.17,0.0,0.00,10.00,1007.69,991.68,34.0,000,25.8
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,0.00,10-12-2019,19:00:00,76,29.4,31.08,0.0,0.00,10.00,1008.34,994.40,34.4,000,24.7
