WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Date,Time,MeanSeaLevelPressure,DewPoint,VaporPressure,Rainfall24Hr,WindSpeed,Rainfall,RelativeHumidity,WindDirection,LandVisibility,AirTemperature,StationPressure
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,10-08-2019,22:00:00,1013.30,22.9,27.87,3.10,0.0,0.00,89,000,10.00,24.8,982.07
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,10-08-2019,22:00:00,1013.77,16.7,18.97,0.00,9.3,0.00,92,300,8.00,18.0,851.02
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,10-08-2019,22:00:00,1013.36,20.4,23.96,0.00,0.0,0.00,76,000,10.00,25.0,969.38
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,10-08-2019,22:00:00,1013.37,21.7,26.01,0.00,0.0,0.00,87,000,12.00,24.0,967.32
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,10-08-2019,22:00:00,1013.08,23.0,28.11,0.00,0.0,0.00,91,000,6.00,24.5,975.07
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,10-08-2019,22:00:00,1013.54,22.6,27.35,0.00,0.0,0.00,89,000,10.00,24.5,968.01
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,10-08-2019,22:00:00,1013.98,22.8,27.76,0.00,0.0,0.00,93,000,8.00,24.0,986.89
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,10-08-2019,22:00:00,1013.26,23.7,29.21,2.70,0.0,0.00,89,000,13.00,25.7,991.33
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,10-08-2019,22:00:00,1013.78,22.6,27.35,0.00,0.0,0.00,89,000,8.00,24.5,989.37
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,10-08-2019,22:00:00,1014.92,21.3,25.36,0.00,0.0,0.00,77,000,10.00,25.7,980.10
