WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall,Date,Time,Rainfall24Hr,StationPressure,VaporPressure,MeanSeaLevelPressure,WindDirection,DewPoint,RelativeHumidity,LandVisibility,WindSpeed,AirTemperature
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,0.00,10-15-2019,01:00:00,1.70,983.54,27.50,1014.94,000,22.7,94,7.00,0.0,23.7
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,0.00,10-15-2019,01:00:00,5.60,852.37,21.90,1014.42,210,19.0,96,8.00,14.8,19.6
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,0.00,10-15-2019,01:00:00,9.40,971.55,27.33,1015.89,360,22.5,96,10.00,3.7,23.3
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,0.00,10-15-2019,01:00:00,2.50,969.53,25.93,1015.91,000,21.7,95,12.00,0.0,22.6
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,0.60,10-15-2019,01:00:00,6.10,977.86,27.40,1016.23,000,22.6,100,6.00,0.0,22.6
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,0.00,10-15-2019,01:00:00,6.80,970.31,26.74,1016.22,000,22.2,96,10.00,0.0,22.8
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,0.00,10-15-2019,01:00:00,0.00,988.86,27.85,1015.99,000,22.9,92,5.00,0.0,24.2
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,0.00,10-15-2019,01:00:00,0.00,992.42,27.00,1014.53,000,22.3,92,12.00,0.0,23.7
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,0.00,10-15-2019,01:00:00,3.20,990.16,27.83,1014.68,000,22.8,97,6.00,0.0,23.3
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,0.00,10-15-2019,01:00:00,61.10,980.71,26.33,1015.94,000,21.9,97,2.00,0.0,22.4
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,0.00,10-15-2019,01:00:00,10.80,987.72,27.91,1015.77,000,22.9,98,7.00,0.0,23.2
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,0.00,10-15-2019,01:00:00,13.20,980.43,25.60,1014.59,000,21.5,91,7.00,0.0,23.0
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,0.00,10-15-2019,01:00:00,0.01,995.64,26.75,1014.46,170,22.2,91,5.00,1.9,23.7
48331,NAN,น่าน,น่าน,18.77972,100.77778,0.00,10-15-2019,01:00:00,0.00,992.12,26.91,1015.35,000,22.3,93,10.00,0.0,23.5
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,0.00,10-15-2019,01:00:00,1.30,985.02,25.52,1015.54,000,21.4,94,7.00,0.0,22.5
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,0.00,10-15-2019,01:00:00,0.20,979.18,27.24,1015.30,000,22.5,95,6.00,0.0,23.4
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,0.00,10-15-2019,01:00:00,0.00,984.02,25.44,1014.26,000,21.4,90,8.00,0.0,23.2
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,0.00,10-15-2019,01:00:00,0.00,1005.99,27.92,1013.36,000,22.9,83,8.00,0.0,26.0
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,0.00,10-15-2019,01:00:00,0.00,993.90,26.72,1013.97,110,22.2,79,6.00,5.6,26.2
48353,LOEI,เลย,เลย,17.45000,101.73333,0.00,10-15-2019,01:00:00,0.00,985.14,26.09,1014.19,000,21.8,85,12.00,0.0,24.5
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,0.00,10-15-2019,01:00:00,0.00,993.81,27.13,1014.20,050,22.4,82,10.00,1.9,25.7
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,0.00,10-15-2019,01:00:00,9.10,992.55,27.49,1014.69,000,22.6,96,10.00,0.0,23.4
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,0.00,10-15-2019,01:00:00,3.10,994.22,25.95,1013.90,000,21.7,78,10.00,0.0,25.9
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,0.00,10-15-2019,01:00:00,0.00,997.50,25.87,1014.41,000,21.6,77,12.00,0.0,26.0
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,0.00,10-15-2019,01:00:00,0.00,996.85,27.01,1014.54,000,22.4,89,10.00,0.0,24.3
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,0.00,10-15-2019,01:00:00,0.00,986.84,28.18,1012.83,070,23.1,84,8.00,3.7,26.0
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,0.00,10-15-2019,01:00:00,0.00,1006.93,30.84,1012.77,000,24.6,92,7.00,0.0,26.0
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,0.00,10-15-2019,01:00:00,0.00,1006.50,30.43,1012.74,000,24.3,88,6.00,0.0,26.5
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,0.00,10-15-2019,01:00:00,0.00,997.91,27.29,1014.55,000,22.5,84,10.00,0.0,25.5
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,0.00,10-15-2019,01:00:00,11.90,989.89,26.42,1012.59,000,22.0,91,10.00,0.0,23.5
48376,TAK,ตาก,ตาก,16.87833,99.14333,0.00,10-15-2019,01:00:00,0.40,1000.01,29.16,1014.61,000,23.6,93,10.00,0.0,24.8
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,0.00,10-15-2019,01:00:00,0.00,997.82,28.27,1014.49,000,23.1,95,8.00,0.0,24.0
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,0.00,10-15-2019,01:00:00,0.00,1008.06,30.94,1013.32,000,24.6,86,10.00,0.0,27.2
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,0.00,10-15-2019,01:00:00,0.00,998.68,28.51,1012.00,000,23.2,87,10.00,0.0,25.6
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,0.00,10-15-2019,01:00:00,0.00,1003.92,29.35,1013.31,000,23.7,85,10.00,0.0,26.5
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,0.00,10-15-2019,01:00:00,0.00,991.54,25.61,1013.43,010,21.5,76,9.00,5.6,26.0
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,0.00,10-15-2019,01:00:00,0.00,996.19,27.85,1013.84,000,22.9,81,10.00,0.0,26.4
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,0.00,10-15-2019,01:00:00,0.00,996.66,26.88,1012.63,000,22.3,80,10.00,0.0,26.0
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,0.00,10-15-2019,01:00:00,0.00,993.44,26.44,1012.54,020,22.0,82,8.00,1.9,25.3
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,0.00,10-15-2019,01:00:00,18.20,960.66,25.84,1012.67,000,21.6,94,5.00,0.0,22.7
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,0.00,10-15-2019,01:00:00,0.00,1008.89,32.20,1012.86,000,25.3,87,8.00,0.0,27.7
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,0.00,10-15-2019,01:00:00,13.70,918.90,21.76,1015.39,000,18.9,96,6.00,0.0,19.5
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,0.00,10-15-2019,01:00:00,0.00,997.55,28.34,1013.70,000,23.2,85,6.00,0.0,25.8
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,0.00,10-15-2019,01:00:00,0.00,1008.77,30.30,1012.84,000,24.3,90,7.00,0.0,26.0
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,0.00,10-15-2019,01:00:00,0.00,1003.01,27.29,1013.81,000,22.5,84,6.00,0.0,25.5
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,0.00,10-15-2019,01:00:00,0.00,1011.30,30.67,1013.25,000,24.5,90,9.00,0.0,26.2
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,0.00,10-15-2019,01:00:00,0.01,991.91,25.95,1012.95,010,21.7,76,10.00,5.6,26.2
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,0.00,10-15-2019,01:00:00,1.00,994.90,25.52,1012.75,050,21.4,78,10.00,11.1,25.5
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,0.00,10-15-2019,01:00:00,0.00,996.56,26.04,1012.86,040,21.8,77,10.00,7.4,26.1
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,0.00,10-15-2019,01:00:00,0.00,998.13,25.60,1012.31,030,21.5,79,10.00,3.7,25.4
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,0.00,10-15-2019,01:00:00,0.00,998.03,26.61,1013.02,000,22.1,82,9.00,0.0,25.4
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,0.00,10-15-2019,01:00:00,0.00,997.82,28.34,1012.63,030,23.2,85,10.00,3.7,25.8
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,0.00,10-15-2019,01:00:00,0.00,1009.38,29.35,1012.42,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",23.7,85,8.00,0.0,26.5
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,0.00,10-15-2019,01:00:00,0.00,1004.68,29.25,1012.69,000,23.7,86,8.00,0.0,26.3
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,0.00,10-15-2019,01:00:00,6.10,1011.18,31.13,1012.29,000,24.7,91,6.00,0.0,26.3
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,0.00,10-15-2019,01:00:00,0.00,997.21,27.70,1012.07,000,22.8,88,8.00,0.0,25.0
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,0.00,10-15-2019,01:00:00,0.00,878.16,20.89,1014.09,060,18.2,92,9.00,13.0,19.5
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,0.00,10-15-2019,01:00:00,0.00,1007.17,27.95,1013.13,000,22.9,90,10.00,0.0,24.7
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,0.00,10-15-2019,01:00:00,9.60,1011.81,31.79,1012.61,300,25.1,92,8.00,5.6,26.5
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,0.00,10-15-2019,01:00:00,3.60,1011.43,31.95,1011.87,000,25.1,85,10.00,0.0,28.0
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,0.00,10-15-2019,01:00:00,14.50,1001.95,28.27,1013.44,000,23.1,95,5.00,0.0,24.0
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,0.00,10-15-2019,01:00:00,21.50,1011.73,30.67,1012.75,000,24.5,90,7.00,0.0,26.2
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,0.00,10-15-2019,01:00:00,0.00,1010.78,30.97,1012.61,000,24.6,89,7.00,0.0,26.5
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,0.00,10-15-2019,01:00:00,33.90,1010.70,28.98,1011.48,000,23.5,93,6.00,0.0,24.7
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,0.00,10-15-2019,01:00:00,8.40,1011.70,29.60,1012.40,040,23.9,81,10.00,9.3,27.5
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,0.00,10-15-2019,01:00:00,0.30,1011.15,29.66,1011.86,000,23.9,83,7.00,0.0,27.1
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,0.00,10-15-2019,01:00:00,0.00,991.83,30.43,1013.14,000,24.3,88,8.00,0.0,26.5
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,0.00,10-15-2019,01:00:00,0.00,995.62,26.11,1012.52,030,21.8,81,7.00,3.7,25.4
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,0.00,10-15-2019,01:00:00,0.00,996.45,26.84,1013.12,030,22.3,87,7.00,9.3,24.5
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,0.00,10-15-2019,01:00:00,0.00,990.80,28.67,1012.89,000,23.3,88,8.00,0.0,25.4
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,0.00,10-15-2019,01:00:00,0.00,969.37,24.80,1013.53,000,21.0,91,10.00,0.0,22.5
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,0.00,10-15-2019,01:00:00,0.00,992.04,30.32,1012.85,000,24.3,96,8.00,0.0,25.0
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,0.00,10-15-2019,01:00:00,0.00,993.40,28.53,1014.58,040,23.3,96,8.00,9.3,24.0
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,0.00,10-15-2019,01:00:00,7.50,1011.46,31.25,1011.90,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",24.8,96,9.00,0.0,25.5
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,0.00,10-15-2019,01:00:00,0.20,1010.53,29.16,1011.97,000,23.6,93,6.00,0.0,24.8
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,0.00,10-15-2019,01:00:00,18.00,1007.57,31.06,1012.55,000,24.7,96,7.00,0.0,25.4
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,0.00,10-15-2019,01:00:00,9.60,1009.49,29.91,1012.82,000,24.0,92,10.00,0.0,25.5
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,0.00,10-15-2019,01:00:00,9.10,1011.23,31.49,1012.35,000,24.9,98,10.00,0.0,25.2
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,0.20,10-15-2019,01:00:00,9.60,1012.08,32.20,1012.38,000,25.3,87,10.00,0.0,27.7
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,0.00,10-15-2019,01:00:00,9.40,1011.38,30.84,1011.87,000,24.6,92,10.00,0.0,26.0
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,0.00,10-15-2019,01:00:00,30.20,1011.00,31.11,1012.41,350,24.7,87,10.00,11.1,27.0
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,0.00,10-15-2019,01:00:00,4.20,1006.02,30.32,1014.14,000,24.3,96,10.00,0.0,25.0
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,0.00,10-15-2019,01:00:00,0.00,1010.91,32.93,1011.19,090,25.7,90,4.00,5.6,27.5
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,0.00,10-15-2019,01:00:00,8.90,1008.05,32.53,1011.19,000,25.4,90,10.00,0.0,27.3
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,0.00,10-15-2019,01:00:00,14.40,1004.74,31.88,1011.72,000,25.1,93,10.00,0.0,26.4
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,0.00,10-15-2019,01:00:00,0.00,1006.48,30.67,1012.13,300,24.5,90,8.00,3.7,26.2
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,0.00,10-15-2019,01:00:00,5.80,1011.39,30.36,1012.66,270,24.3,93,8.00,11.1,25.6
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,0.00,10-15-2019,01:00:00,0.00,1011.87,32.89,1012.31,340,25.6,91,11.00,5.6,27.2
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,0.00,10-15-2019,01:00:00,2.00,1000.10,28.88,1012.54,000,23.5,96,8.00,0.0,24.2
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,0.00,10-15-2019,01:00:00,16.60,1011.08,32.43,1011.80,000,25.4,94,10.00,0.0,26.4
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,0.00,10-15-2019,01:00:00,0.00,1009.58,30.94,1012.03,360,24.6,91,8.00,7.4,26.2
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,0.00,10-15-2019,01:00:00,0.00,1011.35,30.84,1011.88,000,24.6,92,8.00,0.0,26.0
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,0.00,10-15-2019,01:00:00,0.00,1006.57,32.35,1011.75,000,25.4,93,6.00,0.0,26.5
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,0.00,10-15-2019,01:00:00,0.00,1011.17,29.41,1011.58,000,23.8,87,7.00,0.0,26.1
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,0.00,10-15-2019,01:00:00,0.00,1008.72,30.71,1011.51,000,24.5,94,8.00,0.0,25.5
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,0.00,10-15-2019,01:00:00,30.70,1011.17,30.03,1011.96,000,24.1,89,10.00,0.0,26.0
48501,TRAD,ตราด,ตราด,11.76667,102.88333,0.00,10-15-2019,01:00:00,3.60,1010.93,27.66,1011.39,080,22.8,96,6.00,11.1,23.5
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,2.80,10-15-2019,01:00:00,12.90,1011.19,30.03,1011.88,000,24.1,97,7.00,0.0,24.7
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,1.40,10-15-2019,01:00:00,19.40,1010.18,29.79,1011.72,000,24.0,94,8.00,0.0,25.0
