WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,StationPressure,Date,Time,Rainfall24Hr,RelativeHumidity,DewPoint,Rainfall,MeanSeaLevelPressure,LandVisibility,VaporPressure,WindSpeed,AirTemperature,WindDirection,MaximumTemperature
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,969.98,08-09-2019,19:00:00,21.90,92,25.6,10.80,1000.60,6.00,32.77,0.0,27.0,000,30.5
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,840.01,08-09-2019,19:00:00,11.30,99,19.0,2.70,999.95,.10,22.01,14.8,19.2,100,20.0
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,955.86,08-09-2019,19:00:00,0.30,73,23.9,0.00,998.62,10.00,29.57,0.0,29.2,000,31.3
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,953.88,08-09-2019,19:00:00,2.70,85,25.7,0.00,998.61,12.00,32.96,0.0,28.5,000,30.5
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,962.55,08-09-2019,19:00:00,4.30,97,24.9,0.01,999.94,10.00,31.52,0.0,25.5,000,29.7
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,954.87,08-09-2019,19:00:00,4.40,92,25.7,0.01,999.39,9.00,32.97,7.4,27.1,110,30.0
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,973.56,08-09-2019,19:00:00,15.20,94,25.1,0.00,1000.10,8.00,31.85,0.0,26.1,000,29.5
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,978.80,08-09-2019,19:00:00,4.30,96,25.7,0.30,1000.41,13.00,32.99,0.0,26.4,000,28.9
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,977.31,08-09-2019,19:00:00,2.50,92,26.1,0.30,1001.18,8.00,33.78,0.0,27.5,000,29.0
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,965.83,08-09-2019,19:00:00,4.10,87,25.3,0.00,999.91,10.00,32.20,0.0,27.7,000,31.5
