WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,AirTemperature,Date,Time,RelativeHumidity,WindDirection,DewPoint,MeanSeaLevelPressure,WindSpeed,VaporPressure,LandVisibility,StationPressure,Rainfall,Rainfall24Hr
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,27.2,07-10-2019,22:00:00,89,000,25.2,1009.39,0.0,32.05,7.00,1004.45,0.00,0.80
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,29.2,07-10-2019,22:00:00,63,000,21.4,1010.12,0.0,25.55,10.00,1006.84,0.00,0.00
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,28.3,07-10-2019,22:00:00,84,000,25.3,1009.99,0.0,32.27,10.00,1008.88,0.00,0.00
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,28.2,07-10-2019,22:00:00,87,170,25.8,1010.13,7.4,33.20,10.00,1009.83,0.00,0.30
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,29.0,07-10-2019,22:00:00,78,000,24.7,1009.71,0.0,31.13,10.00,1009.22,0.00,0.00
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,29.3,07-10-2019,22:00:00,79,200,25.2,1009.83,9.3,32.01,10.00,1008.43,0.00,0.00
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,27.0,07-10-2019,22:00:00,81,000,23.5,1011.68,0.0,28.94,10.00,1003.64,0.00,0.00
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,29.0,07-10-2019,22:00:00,78,000,24.7,1010.00,0.0,31.13,10.00,1009.71,0.00,2.00
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,28.8,07-10-2019,22:00:00,79,000,24.8,1009.81,0.0,31.29,10.00,1006.69,0.00,0.00
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,28.4,07-10-2019,22:00:00,82,280,25.0,1009.87,5.6,31.62,10.00,1002.94,0.00,0.00
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,28.4,07-10-2019,22:00:00,80,000,24.7,1010.09,0.0,31.06,7.00,1004.50,0.00,0.00
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,27.4,07-10-2019,22:00:00,74,230,22.4,1010.41,7.4,27.03,10.00,1009.15,0.00,0.00
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,29.5,07-10-2019,22:00:00,75,280,24.5,1010.11,3.7,30.72,11.00,1009.68,0.00,0.00
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,26.5,07-10-2019,22:00:00,79,260,22.5,1010.86,3.7,27.25,10.00,998.54,0.00,0.00
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,28.9,07-10-2019,22:00:00,74,000,23.7,1010.33,0.0,29.27,10.00,1009.62,0.00,0.00
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,28.1,07-10-2019,22:00:00,83,190,25.0,1010.48,5.6,31.59,10.00,1008.05,0.00,0.00
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,29.0,07-10-2019,22:00:00,81,160,25.5,1010.45,3.7,32.55,10.00,1009.93,0.00,0.00
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,28.3,07-10-2019,22:00:00,81,000,24.7,1010.15,0.0,31.14,10.00,1005.00,0.00,0.00
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,28.0,07-10-2019,22:00:00,84,000,25.0,1010.52,0.0,31.67,7.00,1010.10,0.00,13.10
