WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,AirTemperature,Date,Time,MeanSeaLevelPressure,RelativeHumidity,StationPressure,VaporPressure,Rainfall24Hr,LandVisibility,DewPoint,WindSpeed,Rainfall,WindDirection
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,26.3,07-23-2019,22:00:00,1006.50,93,975.63,31.96,9.00,10.00,25.1,0.0,0.50,000
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,18.2,07-23-2019,22:00:00,1005.15,99,843.89,20.67,10.90,7.00,18.0,22.2,2.00,300
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,25.2,07-23-2019,22:00:00,1006.39,94,962.73,30.15,20.20,10.00,24.2,0.0,3.10,000
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,24.2,07-23-2019,22:00:00,1006.85,96,961.13,28.88,22.20,5.00,23.5,0.0,1.00,000
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,24.2,07-23-2019,22:00:00,1007.31,100,969.48,30.18,8.00,5.00,24.2,0.0,2.20,000
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,24.2,07-23-2019,22:00:00,1007.08,96,961.79,28.88,37.00,7.00,23.5,3.7,3.00,050
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,25.1,07-23-2019,22:00:00,1007.76,95,980.93,30.23,18.40,7.00,24.2,0.0,1.80,000
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,29.4,07-23-2019,22:00:00,1006.85,64,985.32,26.17,0.00,11.00,21.8,9.3,0.00,250
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,24.5,07-23-2019,22:00:00,1008.75,97,984.47,29.93,9.20,6.00,24.1,0.0,1.00,000
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,25.6,07-23-2019,22:00:00,1006.86,90,972.31,29.56,10.30,10.00,23.8,0.0,0.20,000
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,27.5,07-23-2019,22:00:00,1007.06,84,979.64,30.97,0.50,10.00,24.6,0.0,0.00,000
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,26.2,07-23-2019,22:00:00,1006.79,93,973.25,31.76,1.30,10.00,25.0,0.0,0.01,000
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,26.3,07-23-2019,22:00:00,1006.47,95,987.96,32.51,2.80,10.00,25.4,0.0,1.20,000
48331,NAN,น่าน,น่าน,18.77972,100.77778,24.6,07-23-2019,22:00:00,1007.21,97,984.24,30.12,52.80,8.00,24.2,0.0,1.70,000
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,25.0,07-23-2019,22:00:00,1007.23,93,977.21,29.52,21.60,6.00,23.8,0.0,2.50,000
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,27.5,07-23-2019,22:00:00,1007.15,77,971.80,28.26,0.00,8.00,23.1,0.0,0.00,000
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,26.5,07-23-2019,22:00:00,1005.72,91,976.07,31.52,0.00,12.00,24.9,0.0,0.00,000
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,30.0,07-23-2019,22:00:00,1005.99,65,998.76,27.55,0.00,10.00,22.7,0.0,0.00,000
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,26.2,07-23-2019,22:00:00,1005.86,94,985.95,32.04,14.00,10.00,25.2,0.0,14.00,000
48353,LOEI,เลย,เลย,17.45000,101.73333,28.5,07-23-2019,22:00:00,1005.63,75,977.19,29.33,0.00,12.00,23.7,3.7,0.00,280
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,28.7,07-23-2019,22:00:00,1005.72,86,985.70,33.95,0.10,10.00,26.2,0.0,0.10,000
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,25.2,07-23-2019,22:00:00,1006.30,94,984.47,30.15,12.00,10.00,24.2,0.0,0.00,000
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,24.7,07-23-2019,22:00:00,1006.10,94,986.50,29.25,17.90,10.00,23.7,1.9,0.00,160
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,25.7,07-23-2019,22:00:00,1006.79,86,989.99,28.42,0.00,10.00,23.2,0.0,0.00,000
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,24.7,07-23-2019,22:00:00,1007.38,96,989.84,29.77,11.30,10.00,24.0,3.7,0.00,180
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,28.6,07-23-2019,22:00:00,1006.17,83,980.57,32.59,0.00,10.00,25.5,0.0,0.00,000
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,29.0,07-23-2019,22:00:00,1006.76,73,1001.01,29.19,0.00,10.00,23.6,3.7,0.00,260
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,29.5,07-23-2019,22:00:00,1006.82,68,1000.68,27.96,0.00,12.00,22.9,11.1,0.00,260
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,29.6,07-23-2019,22:00:00,1006.47,66,990.18,27.34,0.00,10.00,22.6,0.0,0.00,000
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,26.0,07-23-2019,22:00:00,1007.04,88,984.65,29.50,3.00,10.00,23.8,3.7,0.10,210
48376,TAK,ตาก,ตาก,16.87833,99.14333,29.0,07-23-2019,22:00:00,1008.02,70,993.72,27.83,0.20,7.00,22.9,11.1,0.00,260
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,28.1,07-23-2019,22:00:00,1007.19,74,990.86,28.04,0.20,8.00,23.0,0.0,0.20,000
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,29.8,07-23-2019,22:00:00,1007.13,69,1001.95,28.80,0.00,10.00,23.4,7.4,0.00,300
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,30.0,07-23-2019,22:00:00,1005.37,68,992.32,28.91,0.00,10.00,23.5,0.0,0.00,000
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,28.8,07-23-2019,22:00:00,1007.40,74,998.13,29.35,0.00,10.00,23.7,3.7,0.00,300
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,29.5,07-23-2019,22:00:00,1006.10,72,984.62,29.60,0.00,8.00,23.9,5.6,0.00,240
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,28.0,07-23-2019,22:00:00,1006.84,96,989.41,36.29,0.50,10.00,27.3,0.0,0.40,000
