WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,VaporPressure,Date,Time,DewPoint,WindSpeed,StationPressure,Rainfall24Hr,MeanSeaLevelPressure,WindDirection,AirTemperature,Rainfall,LandVisibility,RelativeHumidity
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,30.34,09-04-2019,01:00:00,24.3,0.0,976.69,5.10,1007.70,000,25.3,0.00,10.00,94
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,21.25,09-04-2019,01:00:00,18.5,3.7,844.58,5.50,1005.63,180,18.8,0.00,5.00,98
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,28.02,09-04-2019,01:00:00,23.0,0.0,962.90,4.10,1006.70,000,24.3,0.00,10.00,92
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,28.01,09-04-2019,01:00:00,23.0,0.0,960.81,1.00,1006.55,000,24.0,0.00,12.00,94
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,28.78,09-04-2019,01:00:00,23.4,0.0,969.02,8.30,1006.86,000,24.0,0.00,5.00,97
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,30.58,09-04-2019,01:00:00,24.4,0.0,961.16,4.00,1006.29,000,25.0,0.00,7.00,97
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,30.13,09-04-2019,01:00:00,24.2,0.0,980.03,0.90,1006.86,000,24.9,0.00,6.00,96
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,29.21,09-04-2019,01:00:00,23.7,0.0,984.26,0.60,1006.04,000,25.7,0.10,10.00,89
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,27.96,09-04-2019,01:00:00,22.9,0.0,983.61,0.20,1007.83,000,25.0,0.00,6.00,88
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,30.29,09-04-2019,01:00:00,24.3,0.0,971.36,0.00,1005.71,000,27.0,0.00,10.00,85
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,31.55,09-04-2019,01:00:00,24.9,0.0,978.34,0.00,1005.88,000,25.8,0.00,10.00,95
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,29.33,09-04-2019,01:00:00,23.7,0.0,972.19,0.00,1005.69,000,26.2,0.00,10.00,86
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,29.77,09-04-2019,01:00:00,24.0,0.0,986.80,8.60,1005.38,000,24.7,0.00,10.00,96
48331,NAN,น่าน,น่าน,18.77972,100.77778,30.22,09-04-2019,01:00:00,24.2,0.0,983.25,11.40,1006.17,000,24.8,0.00,10.00,97
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,29.16,09-04-2019,01:00:00,23.6,0.0,976.26,8.80,1006.27,000,24.8,0.00,6.00,93
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,30.84,09-04-2019,01:00:00,24.6,0.0,969.23,1.00,1004.67,000,26.0,0.00,7.00,92
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,29.30,09-04-2019,01:00:00,23.7,0.0,973.96,0.20,1003.80,000,24.0,0.00,10.00,98
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,31.93,09-04-2019,01:00:00,25.1,0.0,998.27,3.50,1005.59,000,26.0,0.00,8.00,95
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,32.94,09-04-2019,01:00:00,25.7,5.6,982.64,2.00,1002.45,280,26.8,0.00,10.00,94
