WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,MeanSeaLevelPressure,Date,Time,Rainfall24Hr,LandVisibility,WindDirection,WindSpeed,RelativeHumidity,Rainfall,StationPressure,AirTemperature,VaporPressure,DewPoint
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,1012.93,10-15-2019,13:00:00,0.20,12.00,140,3.7,60,0.00,982.31,30.8,26.62,22.1
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,1013.94,10-15-2019,13:00:00,0.80,7.00,120,9.3,99,0.80,851.47,18.6,21.19,18.4
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,1013.36,10-15-2019,13:00:00,7.40,12.00,030,9.3,57,0.00,970.22,31.0,25.39,21.3
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,1013.59,10-15-2019,13:00:00,0.00,15.00,000,0.0,59,0.00,968.49,30.5,25.80,21.6
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,1013.58,10-15-2019,13:00:00,5.70,8.00,100,3.7,82,0.60,976.07,28.7,32.22,25.3
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,1013.43,10-15-2019,13:00:00,0.00,10.00,350,5.6,65,0.00,968.79,30.6,28.70,23.4
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,1012.95,10-15-2019,13:00:00,0.00,12.00,150,3.7,59,0.00,986.66,32.9,29.33,23.7
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,1012.28,10-15-2019,13:00:00,0.00,12.00,080,1.9,57,0.00,990.78,31.5,26.32,21.9
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,1012.46,10-15-2019,13:00:00,0.20,10.00,000,0.0,62,0.00,988.66,31.8,29.11,23.6
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,1013.44,10-15-2019,13:00:00,38.50,10.00,210,3.7,60,0.00,979.26,30.9,26.81,22.2
