WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall,Date,Time,MinimumTemperature,Rainfall24Hr,DewPoint,WindDirection,MeanSeaLevelPressure,StationPressure,VaporPressure,RelativeHumidity,LandVisibility,AirTemperature,WindSpeed
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,0.00,08-26-2019,07:00:00,23.9,3.40,23.8,000,1006.47,975.48,29.44,92,8.00,25.1,0.0
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,0.00,08-26-2019,07:00:00,18.4,0.00,18.6,270,1005.20,844.13,21.41,100,.10,18.6,11.1
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,0.00,08-26-2019,07:00:00,24.6,0.00,24.0,000,1005.65,962.07,29.91,92,12.00,25.5,0.0
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,0.00,08-26-2019,07:00:00,22.5,0.00,23.5,000,1005.64,960.01,28.89,94,15.00,24.5,0.0
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,0.00,08-26-2019,07:00:00,23.5,6.30,23.8,000,1005.86,968.06,29.56,99,7.00,24.0,0.0
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,0.00,08-26-2019,07:00:00,24.0,2.00,24.5,000,1004.49,959.51,30.71,94,10.00,25.5,0.0
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,0.60,08-26-2019,07:00:00,25.0,3.90,24.9,000,1006.44,979.70,31.55,95,6.00,25.8,0.0
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,0.00,08-26-2019,07:00:00,24.5,4.90,22.6,000,1005.97,984.13,27.36,87,12.00,24.8,0.0
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,0.00,08-26-2019,07:00:00,22.5,0.50,23.0,000,1007.08,982.84,28.11,91,7.00,24.5,0.0
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,0.00,08-26-2019,07:00:00,25.1,0.00,23.8,000,1005.83,971.31,29.56,90,10.00,25.6,0.0
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,0.00,08-26-2019,07:00:00,23.9,0.00,23.8,000,1007.23,979.54,29.41,96,10.00,24.5,0.0
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,0.00,08-26-2019,07:00:00,24.5,0.40,23.8,000,1006.06,972.35,29.41,96,10.00,24.5,0.0
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,0.00,08-26-2019,07:00:00,24.8,0.00,24.1,000,1005.72,987.17,30.07,93,10.00,25.3,0.0
48331,NAN,น่าน,น่าน,18.77972,100.77778,2.30,08-26-2019,07:00:00,25.5,2.80,25.1,000,1005.77,982.95,31.93,95,6.00,26.0,0.0
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,1.00,08-26-2019,07:00:00,24.8,2.40,24.3,000,1005.35,975.39,30.32,96,6.00,25.0,0.0
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,0.00,08-26-2019,07:00:00,24.0,0.00,23.8,000,1006.10,970.44,29.41,96,7.00,24.5,0.0
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,1.00,08-26-2019,07:00:00,24.0,1.20,23.8,000,1005.58,975.68,29.56,99,6.00,24.0,0.0
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,0.00,08-26-2019,07:00:00,25.4,5.70,24.0,000,1005.61,998.28,29.91,92,8.00,25.5,0.0
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,0.00,08-26-2019,07:00:00,24.7,66.60,25.1,000,1005.66,985.71,31.79,97,12.00,25.5,0.0
48353,LOEI,เลย,เลย,17.45000,101.73333,1.00,08-26-2019,07:00:00,24.2,1.00,23.6,000,1005.86,977.07,29.16,93,6.00,24.8,0.0
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,12.30,08-26-2019,07:00:00,23.8,57.40,23.8,200,1006.01,985.70,29.41,96,9.00,24.5,1.9
