WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Date,Time,WindSpeed,StationPressure,RelativeHumidity,WindDirection,VaporPressure,Rainfall,MeanSeaLevelPressure,AirTemperature,Rainfall24Hr,DewPoint,LandVisibility
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,09-04-2019,10:00:00,0.0,976.32,72,000,29.60,0.00,1006.88,29.5,4.80,23.9,10.00
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,09-04-2019,10:00:00,3.7,844.87,97,300,22.40,0.00,1005.38,19.8,5.50,19.3,6.00
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,09-04-2019,10:00:00,5.6,962.75,76,080,29.41,0.00,1005.93,28.4,4.10,23.8,10.00
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,09-04-2019,10:00:00,5.6,960.69,78,070,29.85,0.00,1005.77,28.2,1.00,24.0,15.00
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,09-04-2019,10:00:00,0.0,969.14,79,000,31.09,0.00,1006.38,28.7,8.30,24.7,12.00
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,09-04-2019,10:00:00,5.6,961.92,75,140,30.01,0.00,1006.48,29.0,4.00,24.1,8.00
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,09-04-2019,10:00:00,7.4,980.12,82,310,32.42,0.00,1006.59,28.8,0.90,25.4,12.00
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,09-04-2019,10:00:00,3.7,984.57,68,300,28.34,0.00,1006.07,29.7,0.30,23.1,12.00
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,09-04-2019,10:00:00,0.0,983.30,75,000,29.52,0.00,1007.22,28.6,0.20,23.8,10.00
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,09-04-2019,10:00:00,0.0,972.68,67,000,28.26,0.00,1006.76,29.8,0.00,23.1,10.00
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,09-04-2019,10:00:00,0.0,979.32,78,000,31.13,0.00,1006.59,29.0,0.00,24.7,10.00
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,09-04-2019,10:00:00,0.0,972.90,68,000,29.03,0.00,1005.98,30.2,0.00,23.5,12.00
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,09-04-2019,10:00:00,3.7,987.85,79,160,30.90,0.00,1006.21,28.6,8.60,24.6,10.00
48331,NAN,น่าน,น่าน,18.77972,100.77778,09-04-2019,10:00:00,0.0,983.78,84,000,30.02,0.00,1006.55,27.0,11.40,24.1,10.00
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,09-04-2019,10:00:00,0.0,976.41,79,000,28.98,0.00,1006.14,27.6,8.80,23.5,12.00
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,09-04-2019,10:00:00,0.0,970.97,74,000,31.56,0.00,1005.97,30.2,1.00,24.9,8.00
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,09-04-2019,10:00:00,5.6,974.30,75,320,33.09,0.00,1003.48,30.8,0.20,25.7,16.00
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,09-04-2019,10:00:00,9.3,999.06,73,160,31.88,0.00,1006.27,30.5,3.50,25.1,14.00
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,09-04-2019,10:00:00,13.0,983.13,64,310,29.35,0.00,1002.63,31.5,0.40,23.7,20.00
48353,LOEI,เลย,เลย,17.45000,101.73333,09-04-2019,10:00:00,11.1,975.68,67,340,29.65,0.00,1003.86,30.8,0.20,23.9,15.00
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,09-04-2019,10:00:00,16.7,983.46,74,260,30.83,0.00,1003.37,29.7,1.50,24.6,15.00
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,09-04-2019,10:00:00,7.4,981.84,90,250,30.67,0.70,1003.54,26.2,17.40,24.5,10.00
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,09-04-2019,10:00:00,7.4,983.04,88,250,30.43,0.80,1002.46,26.5,18.00,24.3,15.00
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,09-04-2019,10:00:00,1.9,985.99,95,270,32.91,2.90,1002.68,26.5,21.10,25.6,7.00
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,09-04-2019,10:00:00,0.0,985.75,96,000,32.20,18.20,1003.14,26.0,47.30,25.3,7.00
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,09-04-2019,10:00:00,11.1,977.18,78,330,31.13,0.00,1002.65,29.0,1.30,24.7,15.00
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,09-04-2019,10:00:00,0.0,1000.87,76,000,31.89,0.00,1006.60,29.8,0.00,25.1,10.00
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,09-04-2019,10:00:00,7.4,1000.14,76,250,32.30,0.00,1006.27,30.0,0.00,25.3,12.00
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,09-04-2019,10:00:00,0.0,989.86,75,000,30.01,0.00,1006.17,29.0,0.40,24.1,10.00
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,09-04-2019,10:00:00,3.7,984.07,88,250,29.68,0.50,1006.44,26.1,6.70,23.9,8.00
48376,TAK,ตาก,ตาก,16.87833,99.14333,09-04-2019,10:00:00,13.0,992.75,64,160,27.76,0.00,1006.97,30.4,0.00,22.8,10.00
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,09-04-2019,10:00:00,0.0,989.90,61,000,28.43,0.00,1006.02,31.6,0.00,23.2,12.00
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,09-04-2019,10:00:00,5.6,1001.55,70,300,30.06,0.00,1006.71,30.3,0.20,24.1,10.00
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,09-04-2019,10:00:00,0.0,991.53,82,000,31.70,0.00,1004.63,28.3,3.60,25.0,12.00
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,09-04-2019,10:00:00,5.6,997.11,67,250,30.05,0.00,1006.30,31.0,0.01,24.1,12.00
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,09-04-2019,10:00:00,3.7,983.00,86,200,30.18,0.00,1004.65,26.8,11.40,24.2,10.00
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,09-04-2019,10:00:00,0.0,986.99,85,000,31.05,0.00,1004.42,27.4,26.10,24.7,10.00
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,09-04-2019,10:00:00,3.7,986.65,96,200,30.32,7.80,1002.52,25.0,54.00,24.3,10.00
