WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,RelativeHumidity,Date,Time,DewPoint,WindDirection,MeanSeaLevelPressure,WindSpeed,StationPressure,AirTemperature,Rainfall24Hr,LandVisibility,VaporPressure,Rainfall
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,89,08-20-2019,04:00:00,23.4,000,1006.33,0.0,975.37,25.3,0.00,8.00,28.75,0.00
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,92,08-20-2019,04:00:00,18.2,270,1003.39,22.2,843.05,19.5,0.00,10.00,20.89,0.00
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,89,08-20-2019,04:00:00,24.3,000,1003.62,0.0,960.24,26.3,0.00,10.00,30.32,0.00
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,94,08-20-2019,04:00:00,24.2,000,1004.58,0.0,959.11,25.2,0.00,12.00,30.15,0.00
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,99,08-20-2019,04:00:00,24.8,000,1005.06,0.0,967.41,25.0,0.00,5.00,31.39,0.00
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,91,08-20-2019,04:00:00,22.5,000,1004.26,0.0,959.06,24.0,0.80,8.00,27.25,0.00
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,94,08-20-2019,04:00:00,24.8,000,1005.47,0.0,978.76,25.8,0.00,7.00,31.27,0.00
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,92,08-20-2019,04:00:00,23.3,000,1006.70,0.0,984.84,24.8,0.00,10.00,28.64,0.00
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,95,08-20-2019,04:00:00,23.2,000,1007.01,0.0,982.74,24.1,42.90,6.00,28.44,0.00
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,88,08-20-2019,04:00:00,23.1,000,1005.46,0.0,970.91,25.2,2.30,10.00,28.31,0.00
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,96,08-20-2019,04:00:00,24.3,000,1005.59,0.0,977.98,25.0,0.00,10.00,30.32,0.00
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,89,08-20-2019,04:00:00,22.9,000,1005.34,0.0,971.69,24.8,0.00,10.00,27.87,0.00
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,96,08-20-2019,04:00:00,25.3,000,1004.86,0.0,986.37,26.0,1.00,10.00,32.20,0.00
48331,NAN,น่าน,น่าน,18.77972,100.77778,93,08-20-2019,04:00:00,24.7,000,1004.86,0.0,982.05,26.0,0.70,10.00,31.11,0.00
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,94,08-20-2019,04:00:00,23.9,000,1005.12,0.0,975.15,24.9,2.00,7.00,29.61,0.00
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,96,08-20-2019,04:00:00,23.8,000,1005.35,0.0,969.71,24.5,0.60,7.00,29.41,0.00
