WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,WindSpeed,Date,Time,AirTemperature,VaporPressure,LandVisibility,StationPressure,RelativeHumidity,Rainfall24Hr,DewPoint,WindDirection,Rainfall,MeanSeaLevelPressure
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,0.0,08-19-2019,16:00:00,31.9,30.44,15.00,973.49,64,7.50,24.3,000,0.00,1003.72
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,14.8,08-19-2019,16:00:00,25.0,20.64,12.00,843.08,65,0.00,18.0,280,0.00,1000.28
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,0.0,08-19-2019,16:00:00,33.8,28.59,15.00,959.48,54,2.00,23.3,000,0.00,1001.74
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,0.0,08-19-2019,16:00:00,32.0,27.82,15.00,957.29,59,0.00,22.8,000,0.00,1001.65
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,0.0,08-19-2019,16:00:00,31.8,31.10,12.00,966.29,66,35.60,24.7,000,0.00,1003.04
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,0.0,08-19-2019,16:00:00,29.0,29.74,10.00,958.63,74,0.80,23.9,000,0.80,1003.04
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,0.0,08-19-2019,16:00:00,33.3,34.94,12.00,977.43,68,43.50,26.7,000,0.00,1003.44
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,7.4,08-19-2019,16:00:00,33.1,28.04,15.00,983.02,55,0.01,23.0,210,0.00,1004.24
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,0.0,08-19-2019,16:00:00,33.0,28.68,10.00,981.65,57,6.00,23.3,000,0.00,1005.18
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,3.7,08-19-2019,16:00:00,34.0,28.14,10.00,969.42,53,2.30,23.0,250,2.30,1002.91
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,0.0,08-19-2019,16:00:00,34.4,27.25,10.00,976.77,50,0.40,22.5,000,0.00,1003.49
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,0.0,08-19-2019,16:00:00,34.0,25.63,12.00,970.37,48,0.00,21.5,000,0.00,1002.95
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,7.4,08-19-2019,16:00:00,34.4,30.42,15.00,984.98,56,0.40,24.3,250,0.00,1002.94
48331,NAN,น่าน,น่าน,18.77972,100.77778,0.0,08-19-2019,16:00:00,31.6,33.32,10.00,981.18,72,1.10,25.9,000,0.70,1003.54
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,0.0,08-19-2019,16:00:00,30.0,32.88,12.00,974.23,78,2.00,25.6,000,0.50,1003.65
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,0.0,08-19-2019,16:00:00,32.5,28.81,8.00,968.98,59,10.20,23.4,000,0.00,1003.65
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,3.7,08-19-2019,16:00:00,33.5,33.25,17.00,973.74,64,0.00,25.8,270,0.00,1002.64
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,9.3,08-19-2019,16:00:00,31.5,34.30,8.00,997.24,74,0.01,26.3,200,0.01,1004.42
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,5.6,08-19-2019,16:00:00,34.5,33.34,18.00,983.23,61,0.00,25.9,280,0.00,1002.55
48353,LOEI,เลย,เลย,17.45000,101.73333,5.6,08-19-2019,16:00:00,33.5,29.13,15.00,975.30,56,0.00,23.6,270,0.00,1003.21
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,9.3,08-19-2019,16:00:00,33.2,30.82,15.00,983.75,61,1.60,24.5,230,0.00,1003.43
