WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,WindSpeed,Date,Time,RelativeHumidity,Rainfall,VaporPressure,StationPressure,WindDirection,DewPoint,AirTemperature,MeanSeaLevelPressure,Rainfall24Hr,LandVisibility
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,0.0,09-27-2019,01:00:00,92,0.00,28.64,984.42,000,23.3,24.8,1015.72,0.00,7.00
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,0.0,09-27-2019,01:00:00,83,0.00,24.14,971.89,000,20.5,23.6,1016.20,0.00,10.00
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,0.0,09-27-2019,01:00:00,89,0.00,24.87,970.05,000,21.0,23.0,1016.39,0.00,8.00
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,0.0,09-27-2019,01:00:00,97,0.00,28.69,978.06,000,23.4,23.8,1016.27,0.00,6.00
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,0.0,09-27-2019,01:00:00,90,0.00,27.09,970.57,000,22.4,24.2,1016.27,0.00,10.00
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,0.0,09-27-2019,01:00:00,90,0.00,27.60,989.16,000,22.7,24.5,1016.27,0.00,6.00
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,0.0,09-27-2019,01:00:00,91,0.00,27.94,993.23,000,22.9,24.4,1015.31,0.00,6.00
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,0.0,09-27-2019,01:00:00,96,0.00,28.53,991.32,000,23.3,24.0,1015.82,8.80,6.00
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,0.0,09-27-2019,01:00:00,79,0.00,27.15,980.63,000,22.4,26.3,1015.39,0.00,10.00
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,0.0,09-27-2019,01:00:00,89,0.00,27.87,987.88,000,22.9,24.8,1015.78,0.00,10.00
