WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Date,Time,LandVisibility,WindSpeed,VaporPressure,StationPressure,RelativeHumidity,AirTemperature,WindDirection,DewPoint,Rainfall,MeanSeaLevelPressure,Rainfall24Hr
48331,NAN,น่าน,น่าน,18.77972,100.77778,07-22-2019,16:00:00,10.00,0.0,28.72,980.84,56,33.3,000,23.4,0.00,1003.06,3.70
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,07-22-2019,16:00:00,12.00,0.0,27.61,973.96,56,32.6,000,22.7,0.00,1003.13,1.00
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,07-22-2019,16:00:00,7.00,0.0,24.26,968.45,46,34.0,000,20.6,0.00,1002.92,1.40
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,07-22-2019,16:00:00,15.00,3.7,30.78,973.94,62,32.9,150,24.5,0.00,1002.91,0.20
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,07-22-2019,16:00:00,10.00,9.3,27.84,998.01,55,33.0,210,22.9,0.00,1005.16,0.50
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,07-22-2019,16:00:00,12.00,0.0,31.98,983.18,65,32.5,000,25.2,0.00,1002.63,0.00
48353,LOEI,เลย,เลย,17.45000,101.73333,07-22-2019,16:00:00,17.00,9.3,24.96,975.29,51,32.5,280,21.1,0.00,1003.29,0.00
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,07-22-2019,16:00:00,15.00,3.7,33.32,984.16,72,31.6,080,25.9,0.00,1003.95,0.00
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,07-22-2019,16:00:00,12.00,0.0,27.68,984.21,92,24.1,000,22.8,16.00,1006.10,18.70
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,07-22-2019,16:00:00,8.00,9.3,28.88,986.61,96,24.2,320,23.5,7.70,1006.25,8.30
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,07-22-2019,16:00:00,6.00,0.0,30.71,988.89,94,25.5,000,24.5,21.00,1005.69,22.30
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,07-22-2019,16:00:00,5.00,0.0,30.32,988.55,96,25.0,000,24.3,21.90,1006.04,28.30
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,07-22-2019,16:00:00,15.00,5.6,27.41,977.12,56,32.5,220,22.6,0.00,1002.30,0.20
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,07-22-2019,16:00:00,10.00,0.0,23.50,998.31,46,33.3,000,20.1,0.00,1003.96,1.40
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,07-22-2019,16:00:00,10.00,18.5,23.58,998.06,46,33.2,270,20.1,0.00,1004.11,0.60
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,07-22-2019,16:00:00,10.00,0.0,28.66,988.92,60,32.0,000,23.3,0.00,1005.06,0.00
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,07-22-2019,16:00:00,10.00,0.0,29.82,982.32,75,28.9,000,24.0,0.00,1004.44,6.30
48376,TAK,ตาก,ตาก,16.87833,99.14333,07-22-2019,16:00:00,10.00,9.3,25.74,990.93,54,32.2,260,21.6,0.01,1005.04,0.01
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,07-22-2019,16:00:00,12.00,7.4,23.74,987.93,47,33.0,240,20.3,0.00,1003.94,0.20
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,07-22-2019,16:00:00,10.00,5.6,31.44,999.97,66,32.1,170,24.9,0.00,1005.10,9.50
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,07-22-2019,16:00:00,12.00,0.0,28.07,990.85,60,31.7,000,23.0,0.20,1003.80,0.40
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,07-22-2019,16:00:00,12.00,3.7,31.47,995.93,70,31.0,080,24.9,0.01,1005.11,0.20
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,07-22-2019,16:00:00,10.00,3.7,30.36,982.87,64,32.0,270,24.3,0.00,1004.14,0.00
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,07-22-2019,16:00:00,10.00,0.0,30.24,987.39,62,32.5,000,24.2,0.00,1004.53,24.30
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,07-22-2019,16:00:00,7.00,5.6,29.41,989.52,96,24.5,230,23.8,5.80,1005.46,5.80
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,07-22-2019,16:00:00,10.00,0.0,27.92,984.75,56,32.9,000,22.9,0.00,1003.20,0.40
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,07-22-2019,16:00:00,10.00,0.0,27.14,955.89,62,30.5,000,22.4,0.00,1006.28,6.30
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,07-22-2019,16:00:00,10.00,11.1,29.66,1000.90,61,32.5,320,23.9,0.00,1004.77,10.30
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,07-22-2019,16:00:00,8.00,9.3,24.37,911.26,79,24.5,190,20.7,0.01,1005.29,3.10
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,07-22-2019,16:00:00,8.00,0.0,39.52,988.50,91,30.4,000,28.8,0.00,1004.26,17.40
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,07-22-2019,16:00:00,12.00,5.6,32.15,1000.61,57,35.2,040,25.2,0.00,1004.53,0.00
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,07-22-2019,16:00:00,10.00,3.7,26.34,994.66,46,35.5,250,21.9,0.00,1005.02,0.00
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,07-22-2019,16:00:00,10.00,5.6,34.38,1003.05,66,33.6,180,26.4,0.30,1004.94,0.30
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,07-22-2019,16:00:00,10.00,11.1,22.39,983.39,39,35.3,230,19.3,0.00,1003.62,0.00
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,07-22-2019,16:00:00,10.00,0.0,29.07,986.79,63,31.5,000,23.6,0.00,1004.14,22.40
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,07-22-2019,16:00:00,10.00,0.0,30.65,987.86,64,32.0,000,24.5,0.00,1003.70,22.80
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,07-22-2019,16:00:00,9.00,0.0,28.18,990.96,76,27.6,000,23.1,0.20,1004.94,16.00
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,07-22-2019,16:00:00,4.00,0.0,30.43,990.54,88,26.5,000,24.3,1.40,1005.36,17.00
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,07-22-2019,16:00:00,8.00,7.4,30.20,990.41,63,32.2,270,24.2,0.00,1004.80,16.60
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,07-22-2019,16:00:00,10.00,0.0,28.64,1001.50,50,35.5,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",23.3,0.00,1004.43,0.00
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,07-22-2019,16:00:00,10.00,0.0,28.26,996.22,53,34.2,000,23.1,0.00,1003.96,0.01
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,07-22-2019,16:00:00,10.00,16.7,30.22,1003.74,54,35.0,220,24.2,0.00,1004.82,0.00
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,07-22-2019,16:00:00,8.00,0.0,25.22,990.31,49,33.5,000,21.2,0.00,1004.65,4.90
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,07-22-2019,16:00:00,8.00,9.3,23.17,871.52,77,24.2,280,19.9,0.00,1004.19,0.40
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,07-22-2019,16:00:00,10.00,0.0,32.71,998.33,55,36.0,000,25.5,0.00,1004.02,0.00
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,07-22-2019,16:00:00,12.00,0.0,36.32,1004.13,60,36.2,000,27.3,0.00,1004.91,8.60
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,07-22-2019,16:00:00,10.00,16.7,31.77,1004.69,68,31.7,210,25.0,0.00,1005.13,0.00
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,07-22-2019,16:00:00,10.00,0.0,29.29,994.90,55,34.0,000,23.7,0.00,1005.94,1.60
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,07-22-2019,16:00:00,12.00,0.0,31.43,1003.79,54,35.7,000,24.9,0.00,1004.77,6.90
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,07-22-2019,16:00:00,13.00,0.0,28.97,1003.14,49,35.8,000,23.5,0.00,1004.91,0.00
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,07-22-2019,16:00:00,9.00,0.0,28.64,1003.34,50,35.5,000,23.3,0.00,1004.09,0.01
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,07-22-2019,16:00:00,10.00,18.5,31.95,1004.37,64,32.9,180,25.1,0.00,1005.06,0.01
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,07-22-2019,16:00:00,12.00,5.6,30.44,1002.81,49,36.9,210,24.3,0.00,1003.49,0.00
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,07-22-2019,16:00:00,10.00,14.8,28.18,983.14,48,35.7,280,23.1,0.01,1003.63,0.01
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,07-22-2019,16:00:00,11.00,14.8,26.60,988.55,49,34.5,230,22.1,0.00,1004.82,0.10
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,07-22-2019,16:00:00,10.00,11.1,29.46,989.00,54,34.5,180,23.8,0.00,1005.00,0.70
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,07-22-2019,16:00:00,10.00,14.8,25.50,984.03,44,35.5,280,21.4,0.00,1005.25,0.00
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,07-22-2019,16:00:00,15.00,11.1,24.32,962.27,50,32.3,120,20.6,0.00,1004.68,0.00
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,07-22-2019,16:00:00,12.00,5.6,27.18,984.40,52,33.8,120,22.5,3.00,1004.45,3.00
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,07-22-2019,16:00:00,9.00,5.6,33.26,985.29,93,27.1,070,25.8,1.40,1006.08,7.40
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,07-22-2019,16:00:00,10.00,14.8,31.68,1004.94,67,31.8,180,25.0,0.00,1005.36,6.70
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,07-22-2019,16:00:00,11.00,0.0,31.49,1003.42,56,34.9,000,24.9,0.00,1004.80,0.00
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,07-22-2019,16:00:00,8.00,0.0,34.69,1000.44,67,33.6,000,26.5,0.00,1005.26,0.00
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,07-22-2019,16:00:00,12.00,9.3,25.65,1001.09,43,36.0,210,21.5,0.00,1004.28,3.20
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,07-22-2019,16:00:00,11.00,3.7,30.69,1003.38,50,36.6,320,24.5,0.00,1004.45,0.01
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,07-22-2019,16:00:00,10.00,9.3,32.25,1004.97,64,32.9,210,25.3,0.00,1005.26,0.00
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,07-22-2019,16:00:00,10.00,5.6,32.08,1004.76,63,33.1,220,25.2,0.00,1005.43,0.00
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,07-22-2019,16:00:00,10.00,5.6,29.92,1005.08,53,35.0,120,24.1,0.00,1005.55,0.00
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,07-22-2019,16:00:00,10.00,16.7,29.05,1003.93,52,35.0,270,23.6,0.00,1005.30,0.20
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,07-22-2019,16:00:00,10.00,14.8,34.87,1003.78,79,30.8,190,26.6,0.00,1005.44,1.50
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,07-22-2019,16:00:00,12.00,5.6,23.44,998.97,42,35.0,270,20.0,0.00,1006.77,0.00
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,07-22-2019,16:00:00,10.00,3.7,31.52,1004.47,58,34.5,250,24.9,0.00,1004.75,3.20
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,07-22-2019,16:00:00,12.00,5.6,30.24,1002.40,64,31.8,260,24.2,0.00,1005.47,0.00
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,07-22-2019,16:00:00,12.00,9.3,30.98,998.89,69,30.9,240,24.6,0.00,1005.73,0.00
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,07-22-2019,16:00:00,8.00,11.1,32.65,999.58,63,33.5,280,25.5,0.00,1005.05,0.00
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,07-22-2019,16:00:00,8.00,9.3,31.19,997.51,64,32.4,230,24.7,0.00,1006.65,0.00
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,07-22-2019,16:00:00,15.00,7.4,33.25,1004.81,64,33.5,150,25.8,0.00,1006.04,4.20
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,07-22-2019,16:00:00,11.00,14.8,34.38,1005.09,70,32.5,170,26.4,0.00,1005.52,8.30
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,07-22-2019,16:00:00,9.00,5.6,27.61,993.44,49,35.0,260,22.7,0.00,1005.36,0.00
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,07-22-2019,16:00:00,10.00,11.1,34.30,1005.07,74,31.5,150,26.3,0.00,1005.78,0.01
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,07-22-2019,16:00:00,10.00,14.8,30.41,1004.40,65,31.6,170,24.3,0.00,1006.80,0.01
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,07-22-2019,16:00:00,10.00,9.3,32.81,1005.80,71,31.5,250,25.6,0.00,1006.31,0.01
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,07-22-2019,16:00:00,12.00,3.7,29.73,1000.78,67,30.7,190,23.9,0.00,1005.87,0.00
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,07-22-2019,16:00:00,9.00,0.0,32.92,1005.21,66,32.8,000,25.7,0.00,1005.61,4.60
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,07-22-2019,16:00:00,8.00,11.1,33.15,1002.94,71,31.8,150,25.8,0.00,1005.66,2.90
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,07-22-2019,16:00:00,10.00,13.0,34.24,1004.76,75,31.2,270,26.3,0.00,1005.53,0.00
48501,TRAD,ตราด,ตราด,11.76667,102.88333,07-22-2019,16:00:00,8.00,5.6,32.67,1005.65,74,30.6,230,25.5,0.00,1006.11,10.60
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,07-22-2019,16:00:00,8.00,5.6,27.73,1005.42,51,34.5,260,22.8,0.00,1006.08,0.00
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,07-22-2019,16:00:00,10.00,3.7,29.54,1004.84,59,33.0,270,23.8,0.00,1006.34,0.00
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,07-22-2019,16:00:00,10.00,9.3,26.64,1006.15,53,33.1,260,22.1,0.00,1007.05,0.10
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,07-22-2019,16:00:00,12.00,14.8,32.39,1006.25,71,31.3,080,25.4,0.00,1006.92,0.00
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,07-22-2019,16:00:00,10.00,5.6,29.92,1005.39,53,35.0,290,24.1,0.00,1006.17,0.00
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,07-22-2019,16:00:00,12.00,7.4,32.16,1005.02,64,33.0,030,25.3,0.00,1005.64,0.00
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,07-22-2019,16:00:00,10.00,7.4,31.59,1005.53,60,33.7,060,25.0,0.00,1005.92,0.00
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,07-22-2019,16:00:00,8.00,5.6,31.59,1003.45,60,33.7,060,25.0,0.00,1007.57,0.00
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,07-22-2019,16:00:00,10.00,11.1,24.10,1004.47,45,34.2,210,20.5,0.00,1006.04,0.00
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,07-22-2019,16:00:00,12.00,5.6,28.34,1003.11,51,34.8,270,23.2,0.00,1006.49,0.00
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,07-22-2019,16:00:00,10.00,7.4,30.11,1004.89,60,33.0,120,24.2,0.00,1006.22,0.00
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,07-22-2019,16:00:00,10.00,5.6,26.89,1005.93,57,31.8,240,22.3,0.00,1006.81,1.20
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,07-22-2019,16:00:00,10.00,0.0,24.92,1002.99,49,33.2,000,21.0,0.00,1006.48,0.00
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,07-22-2019,16:00:00,10.00,3.7,33.04,1006.04,68,32.3,130,25.7,0.00,1006.46,0.00
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,07-22-2019,16:00:00,10.00,5.6,30.65,1005.31,64,32.0,310,24.5,0.00,1006.29,2.00
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,07-22-2019,16:00:00,10.00,9.3,33.73,1005.86,75,31.1,270,26.1,0.00,1006.66,0.00
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,07-22-2019,16:00:00,13.00,13.0,32.91,1004.55,69,32.1,220,25.6,0.00,1006.33,0.00
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,07-22-2019,16:00:00,10.00,16.7,30.69,1006.41,66,31.6,230,24.5,0.00,1007.15,0.30
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,07-22-2019,16:00:00,10.00,18.5,27.48,1003.41,82,25.9,300,22.6,0.00,1007.42,0.20
48570,SATUN,สตูล,สตูล,6.65000,100.08333,07-22-2019,16:00:00,10.00,0.0,28.39,1007.28,75,28.0,000,23.2,0.00,1007.96,0.00
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,07-22-2019,16:00:00,7.00,13.0,29.89,1006.08,86,26.5,180,24.0,3.60,1007.20,7.60
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,07-22-2019,16:00:00,10.00,11.1,25.31,1004.30,70,27.3,330,21.3,0.00,1007.22,0.00
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,07-22-2019,16:00:00,10.00,0.0,35.59,1004.47,65,34.4,000,27.0,0.00,1005.14,0.00
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,07-22-2019,16:00:00,10.00,0.0,30.70,1002.05,53,35.5,000,24.5,0.00,1006.05,0.00
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,07-22-2019,16:00:00,12.00,16.7,32.58,1006.12,67,32.5,080,25.5,0.00,1006.70,2.20
