WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Date,Time,LandVisibility,WindSpeed,VaporPressure,StationPressure,RelativeHumidity,AirTemperature,WindDirection,DewPoint,Rainfall,MeanSeaLevelPressure,Rainfall24Hr
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,07-22-2019,16:00:00,15.00,1.9,27.68,973.95,63,30.5,220,22.8,0.00,1004.33,0.01
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,07-22-2019,16:00:00,8.00,3.7,20.95,843.16,72,23.5,270,18.3,0.00,1001.23,13.60
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,07-22-2019,16:00:00,15.00,9.3,27.76,959.93,60,31.4,190,22.8,0.00,1002.56,39.70
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,07-22-2019,16:00:00,15.00,13.0,26.13,958.22,67,28.5,220,21.8,0.00,1003.15,3.30
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,07-22-2019,16:00:00,12.00,0.0,30.21,966.47,68,30.8,000,24.2,0.00,1003.35,8.70
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,07-22-2019,16:00:00,12.00,9.3,26.72,958.39,53,33.0,190,22.2,0.00,1002.20,4.20
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,07-22-2019,16:00:00,12.00,9.3,29.37,977.59,58,33.2,180,23.7,0.10,1003.62,0.80
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,07-22-2019,16:00:00,16.00,7.4,21.44,982.45,36,35.8,210,18.6,0.00,1003.48,0.00
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,07-22-2019,16:00:00,8.00,0.0,30.90,981.91,69,31.0,000,24.6,0.00,1005.61,0.40
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,07-22-2019,16:00:00,10.00,5.6,25.04,969.75,51,32.4,210,21.1,0.00,1003.44,2.50
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,07-22-2019,16:00:00,10.00,0.0,26.61,976.57,54,32.8,000,22.1,0.00,1003.43,26.00
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,07-22-2019,16:00:00,10.00,11.1,23.62,970.44,45,33.8,240,20.2,0.00,1003.04,0.00
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,07-22-2019,16:00:00,15.00,5.6,26.25,985.33,52,32.9,280,21.9,0.00,1003.39,0.01
