WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,StationPressure,Date,Time,WindDirection,Rainfall,VaporPressure,MeanSeaLevelPressure,AirTemperature,Rainfall24Hr,RelativeHumidity,DewPoint,WindSpeed,MaximumTemperature,LandVisibility
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,971.43,07-31-2019,19:00:00,000,0.00,32.39,1001.94,28.5,3.50,83,25.4,0.0,31.0,12.00
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,841.25,07-31-2019,19:00:00,250,0.00,21.38,1001.13,19.7,7.00,93,18.6,7.4,21.5,8.00
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,957.92,07-31-2019,19:00:00,000,0.00,31.70,1000.90,28.3,14.60,82,25.0,0.0,30.2,10.00
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,955.97,07-31-2019,19:00:00,000,0.01,31.66,1001.02,27.0,13.60,89,25.0,0.0,29.1,15.00
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,965.13,07-31-2019,19:00:00,000,1.20,30.13,1002.70,24.9,53.80,96,24.2,0.0,30.4,10.00
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,957.21,07-31-2019,19:00:00,000,13.20,28.92,1002.15,25.1,45.60,91,23.5,0.0,31.3,10.00
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,976.03,07-31-2019,19:00:00,160,1.90,30.98,1002.69,25.5,124.50,95,24.6,5.6,30.3,6.00
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,980.27,07-31-2019,19:00:00,090,0.00,30.34,1001.63,30.3,0.80,70,24.3,7.4,35.3,12.00
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,980.06,07-31-2019,19:00:00,000,0.50,29.48,1004.14,25.7,1.60,89,23.8,0.0,32.0,8.00
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,967.34,07-31-2019,19:00:00,000,0.00,30.44,1001.26,29.5,13.20,74,24.3,0.0,30.7,10.00
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,974.65,07-31-2019,19:00:00,000,0.00,31.36,1001.76,29.4,4.40,77,24.8,0.0,31.3,10.00
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,968.05,07-31-2019,19:00:00,000,0.00,29.68,1001.06,29.4,7.70,72,23.9,0.0,33.0,10.00
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,983.63,07-31-2019,19:00:00,000,0.00,31.72,1001.98,27.6,18.20,86,25.0,0.0,29.4,15.00
48331,NAN,น่าน,น่าน,18.77972,100.77778,979.41,07-31-2019,19:00:00,000,0.00,30.42,1002.03,27.5,64.20,83,24.3,0.0,29.3,10.00
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,972.51,07-31-2019,19:00:00,000,0.00,30.02,1002.18,27.0,78.20,84,24.1,0.0,28.0,10.00
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,966.79,07-31-2019,19:00:00,000,0.00,32.88,1001.83,28.6,2.40,84,25.6,0.0,29.4,6.00
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,972.40,07-31-2019,19:00:00,000,0.00,29.82,1001.71,28.9,5.30,75,24.0,0.0,33.2,14.00
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,994.85,07-31-2019,19:00:00,000,0.00,31.31,1002.03,30.5,6.40,72,24.8,0.0,33.5,10.00
