WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,StationPressure,Date,Time,DewPoint,Rainfall,Rainfall24Hr,LandVisibility,WindDirection,MeanSeaLevelPressure,RelativeHumidity,VaporPressure,WindSpeed,AirTemperature
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,973.68,09-02-2019,16:00:00,24.2,4.30,8.20,10.00,000,1004.36,82,30.15,0.0,27.5
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,843.19,09-02-2019,16:00:00,19.3,2.80,92.60,3.00,120,1003.33,96,22.32,3.7,19.9
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,960.47,09-02-2019,16:00:00,23.4,0.00,7.60,15.00,000,1003.52,73,28.70,0.0,28.6
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,958.49,09-02-2019,16:00:00,23.7,0.00,8.20,15.00,000,1003.27,71,29.33,0.0,29.5
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,966.77,09-02-2019,16:00:00,25.5,2.40,90.60,8.00,000,1003.88,81,32.55,0.0,29.0
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,959.26,09-02-2019,16:00:00,25.0,12.70,17.10,10.00,020,1004.05,90,31.63,3.7,26.7
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,977.27,09-02-2019,16:00:00,25.6,0.00,10.40,12.00,090,1003.50,74,32.88,11.1,30.7
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,982.97,09-02-2019,16:00:00,24.5,5.70,8.00,10.00,000,1004.65,88,30.81,0.0,26.7
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,981.12,09-02-2019,16:00:00,23.9,0.50,3.00,8.00,000,1004.96,74,29.74,0.0,29.0
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,969.53,09-02-2019,16:00:00,25.6,2.40,4.40,3.00,320,1003.51,79,32.83,3.7,29.7
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,976.06,09-02-2019,16:00:00,24.1,0.00,41.60,10.00,000,1002.93,61,29.95,0.0,32.5
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,969.87,09-02-2019,16:00:00,24.4,0.00,56.10,10.00,000,1002.68,65,30.53,0.0,31.8
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,984.45,09-02-2019,16:00:00,24.9,0.00,1.70,15.00,000,1002.55,67,31.39,0.0,31.8
48331,NAN,น่าน,น่าน,18.77972,100.77778,980.78,09-02-2019,16:00:00,24.1,0.00,9.10,10.00,000,1003.15,66,30.08,0.0,31.3
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,973.73,09-02-2019,16:00:00,24.8,0.20,18.50,12.00,240,1003.13,73,31.35,5.6,30.1
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,968.05,09-02-2019,16:00:00,25.9,0.00,71.40,8.00,000,1002.81,73,33.48,0.0,31.4
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,973.39,09-02-2019,16:00:00,25.2,6.90,9.60,7.00,140,1003.01,95,32.12,9.3,26.1
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,995.98,09-02-2019,16:00:00,26.0,2.00,39.30,8.00,000,1003.20,81,33.58,0.0,29.5
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,982.93,09-02-2019,16:00:00,24.8,0.00,0.60,14.00,220,1002.61,80,31.38,5.6,28.7
48353,LOEI,เลย,เลย,17.45000,101.73333,974.75,09-02-2019,16:00:00,24.8,7.50,11.30,5.00,190,1003.26,88,31.38,7.4,27.0
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,982.92,09-02-2019,16:00:00,24.6,1.20,61.30,15.00,360,1003.03,89,30.97,3.7,26.5
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,981.20,09-02-2019,16:00:00,24.1,0.90,52.60,12.00,200,1002.81,84,29.93,3.7,27.1
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,982.41,09-02-2019,16:00:00,24.7,0.60,28.50,10.00,300,1001.79,88,31.19,7.4,26.9
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,985.48,09-02-2019,16:00:00,25.3,0.01,9.50,12.00,000,1002.10,87,32.20,0.0,27.7
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,985.47,09-02-2019,16:00:00,24.2,0.10,18.00,10.00,310,1002.81,86,30.26,5.6,26.7
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,976.86,09-02-2019,16:00:00,24.8,4.00,41.70,10.00,190,1002.63,96,31.25,3.7,25.5
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,997.98,09-02-2019,16:00:00,25.3,0.00,9.00,10.00,000,1003.67,71,32.18,0.0,31.2
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,997.71,09-02-2019,16:00:00,25.4,0.00,1.20,12.00,300,1003.80,72,32.34,5.6,31.0
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,987.96,09-02-2019,16:00:00,24.6,9.90,10.60,10.00,000,1004.41,92,30.84,0.0,26.0
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,982.12,09-02-2019,16:00:00,23.1,5.70,10.70,8.00,040,1004.45,84,28.18,3.7,26.0
48376,TAK,ตาก,ตาก,16.87833,99.14333,990.49,09-02-2019,16:00:00,22.7,0.00,2.20,7.00,290,1004.73,68,27.59,14.8,29.3
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,987.64,09-02-2019,16:00:00,23.6,0.00,0.00,7.00,000,1003.82,69,29.08,0.0,29.8
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,998.76,09-02-2019,16:00:00,23.9,0.00,14.50,10.00,300,1003.90,65,29.60,11.1,31.2
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,990.03,09-02-2019,16:00:00,25.4,1.10,2.40,7.00,000,1003.14,87,32.48,0.0,27.7
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,994.42,09-02-2019,16:00:00,24.7,0.00,21.80,12.00,250,1003.55,65,31.06,1.9,32.2
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,982.37,09-02-2019,16:00:00,23.6,22.00,200.70,5.00,220,1004.12,91,29.10,5.6,25.2
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,986.63,09-02-2019,16:00:00,24.7,3.80,67.70,8.00,230,1004.20,98,31.12,13.0,25.0
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,985.86,09-02-2019,16:00:00,24.6,1.40,22.20,10.00,260,1001.66,92,30.84,7.4,26.0
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,984.33,09-02-2019,16:00:00,23.9,16.80,111.50,5.00,190,1003.30,97,29.67,3.7,24.5
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,954.86,09-02-2019,16:00:00,22.8,0.00,12.20,10.00,000,1005.89,80,27.77,0.0,26.5
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,999.78,09-02-2019,16:00:00,25.1,0.00,41.90,10.00,000,1003.66,69,31.85,0.0,31.6
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,909.81,09-02-2019,16:00:00,19.8,0.30,6.30,5.00,250,1004.25,83,23.14,29.6,22.8
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,987.42,09-02-2019,16:00:00,24.9,4.00,95.70,7.00,270,1003.44,97,31.41,3.7,25.3
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,999.96,09-02-2019,16:00:00,26.1,0.10,20.40,10.00,000,1003.92,75,33.81,0.0,31.0
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,994.59,09-02-2019,16:00:00,24.4,0.10,11.70,10.00,210,1005.13,71,30.62,5.6,30.3
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,1002.60,09-02-2019,16:00:00,24.1,0.00,14.50,10.00,000,1004.49,63,30.08,0.0,32.0
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,984.21,09-02-2019,16:00:00,24.3,2.10,12.50,6.00,000,1005.13,93,30.36,0.0,25.6
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,986.01,09-02-2019,16:00:00,24.2,5.00,122.50,8.00,000,1003.72,94,30.15,0.0,25.2
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,986.99,09-02-2019,16:00:00,24.6,3.90,165.00,7.00,230,1003.19,97,30.85,7.4,25.0
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,988.81,09-02-2019,16:00:00,24.0,22.90,98.60,6.00,240,1002.89,96,29.77,9.3,24.7
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,988.93,09-02-2019,16:00:00,24.4,19.00,112.20,8.00,000,1003.82,97,30.48,0.0,24.8
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,988.98,09-02-2019,16:00:00,25.0,4.70,34.90,4.00,270,1003.67,97,31.71,11.1,25.6
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,1001.35,09-02-2019,16:00:00,23.5,0.00,6.70,10.00,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",1004.31,59,28.89,0.0,32.4
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,996.18,09-02-2019,16:00:00,25.5,0.80,6.40,10.00,000,1004.04,79,32.63,0.0,29.6
