WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,VaporPressure,Date,Time,MeanSeaLevelPressure,WindSpeed,LandVisibility,AirTemperature,RelativeHumidity,Rainfall,MaximumTemperature,WindDirection,DewPoint,StationPressure,Rainfall24Hr
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,32.12,08-21-2019,19:00:00,1002.82,0.0,10.00,27.8,86,0.80,32.0,000,25.2,972.22,3.80
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,21.06,08-21-2019,19:00:00,1003.33,18.5,6.00,18.5,99,0.00,20.2,140,18.3,842.51,17.10
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,29.77,08-21-2019,19:00:00,1002.76,0.0,10.00,29.3,73,0.00,30.6,000,24.0,959.84,11.50
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,29.60,08-21-2019,19:00:00,1003.06,0.0,15.00,27.5,81,0.00,29.5,000,23.9,957.99,3.70
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,30.43,08-21-2019,19:00:00,1004.37,0.0,8.00,26.5,88,0.00,29.5,000,24.3,966.93,65.00
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,29.46,08-21-2019,19:00:00,1003.39,3.7,9.00,28.0,78,0.00,31.3,160,23.8,958.82,9.20
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,33.08,08-21-2019,19:00:00,1004.50,0.0,9.00,28.0,88,0.00,29.6,000,25.7,978.01,21.40
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,30.28,08-21-2019,19:00:00,1004.06,5.6,20.00,28.0,80,0.00,34.6,150,24.3,982.49,0.30
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,27.44,08-21-2019,19:00:00,1005.40,0.0,10.00,28.5,71,0.00,33.5,000,22.6,981.52,0.30
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,30.59,08-21-2019,19:00:00,1004.20,5.6,10.00,26.3,89,1.20,33.2,190,24.4,969.82,2.60
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,32.23,08-21-2019,19:00:00,1004.36,0.0,10.00,26.3,94,37.20,32.7,000,25.3,976.91,98.60
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,30.70,08-21-2019,19:00:00,1003.98,0.0,10.00,26.5,89,0.70,32.6,000,24.5,970.56,4.00
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,32.23,08-21-2019,19:00:00,1003.98,3.7,12.00,28.0,85,0.00,31.3,300,25.3,985.63,3.20
48331,NAN,น่าน,น่าน,18.77972,100.77778,31.41,08-21-2019,19:00:00,1004.17,0.0,10.00,29.0,78,0.00,31.1,000,24.9,981.61,90.10
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,32.64,08-21-2019,19:00:00,1004.31,0.0,9.00,27.5,89,0.00,30.9,000,25.5,974.62,61.50
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,32.20,08-21-2019,19:00:00,1004.30,0.0,6.00,26.0,96,0.60,31.0,000,25.3,968.88,29.40
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,29.77,08-21-2019,19:00:00,1004.28,0.0,14.00,24.7,96,22.20,32.2,000,24.0,974.49,24.60
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,31.44,08-21-2019,19:00:00,1004.08,0.0,8.00,27.6,85,0.01,34.0,000,24.9,996.81,0.01
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,33.24,08-21-2019,19:00:00,1004.33,0.0,13.00,28.5,85,0.00,30.5,000,25.8,984.60,78.40
48353,LOEI,เลย,เลย,17.45000,101.73333,29.54,08-21-2019,19:00:00,1004.69,0.0,7.00,25.3,92,12.00,32.1,000,23.8,975.99,14.30
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,31.25,08-21-2019,19:00:00,1004.49,1.9,15.00,27.5,85,0.01,31.2,170,24.8,984.42,63.90
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,32.13,08-21-2019,19:00:00,1005.20,0.0,12.00,27.1,90,1.50,33.5,000,25.2,983.54,25.70
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,33.06,08-21-2019,19:00:00,1004.24,5.6,7.00,27.0,93,2.80,31.4,030,25.7,984.82,5.80
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,32.81,08-21-2019,19:00:00,1005.18,0.0,12.00,27.3,90,0.00,30.5,000,25.6,988.50,0.90
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,33.34,08-21-2019,19:00:00,1005.42,0.0,10.00,27.0,94,0.00,30.2,000,25.9,988.05,3.70
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,31.38,08-21-2019,19:00:00,1003.49,5.6,10.00,27.0,88,0.00,30.5,090,24.8,977.82,0.40
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,31.77,08-21-2019,19:00:00,1005.16,0.0,6.00,25.2,99,46.00,33.5,000,25.0,999.35,46.00
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,30.46,08-21-2019,19:00:00,1006.08,16.7,7.00,24.5,99,42.20,32.2,240,24.3,999.85,42.20
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,31.54,08-21-2019,19:00:00,1005.19,0.0,10.00,28.5,81,0.00,31.0,000,24.9,988.87,4.00
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,29.08,08-21-2019,19:00:00,1004.06,7.4,10.00,26.5,84,0.00,30.4,270,23.6,981.77,0.90
48376,TAK,ตาก,ตาก,16.87833,99.14333,31.33,08-21-2019,19:00:00,1005.13,0.0,7.00,26.4,91,0.00,31.5,000,24.8,990.74,17.20
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,28.78,08-21-2019,19:00:00,1003.77,0.0,7.00,28.5,74,0.00,34.0,000,23.4,987.52,3.00
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,31.38,08-21-2019,19:00:00,1004.40,14.8,8.00,28.7,80,0.01,33.2,260,24.8,999.21,0.01
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,30.90,08-21-2019,19:00:00,1003.45,0.0,12.00,28.6,79,0.00,31.9,000,24.6,990.37,3.70
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,31.65,08-21-2019,19:00:00,1004.45,0.0,8.00,26.0,94,6.10,32.6,000,25.0,995.12,6.10
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,30.56,08-21-2019,19:00:00,1004.30,3.7,10.00,28.0,81,0.00,34.2,320,24.4,982.75,0.00
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,30.15,08-21-2019,19:00:00,1003.87,11.1,10.00,28.5,78,0.00,34.5,220,24.2,986.51,35.20
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,33.29,08-21-2019,19:00:00,1003.88,3.7,10.00,29.5,81,0.00,32.2,170,25.8,988.23,19.00
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,31.16,08-21-2019,19:00:00,1003.16,3.7,10.00,29.3,76,0.00,34.6,300,24.7,984.49,0.00
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,26.92,08-21-2019,19:00:00,1005.38,0.0,7.00,23.8,91,0.40,27.8,000,22.3,953.93,11.50
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,29.04,08-21-2019,19:00:00,1004.20,7.4,10.00,27.2,81,0.00,32.7,210,23.6,1000.26,0.10
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,24.44,08-21-2019,19:00:00,1005.14,14.8,.70,21.5,95,9.40,25.4,250,20.7,910.22,18.90
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,36.74,08-21-2019,19:00:00,1004.03,0.0,8.00,30.0,87,0.00,33.5,000,27.5,988.25,41.70
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,31.13,08-21-2019,19:00:00,1004.43,0.0,10.00,29.0,78,0.00,33.7,000,24.7,1000.44,2.60
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,30.30,08-21-2019,19:00:00,1006.47,3.7,8.00,26.0,90,0.10,33.3,150,24.3,995.77,1.50
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,33.37,08-21-2019,19:00:00,1005.39,0.0,7.00,28.0,88,2.50,34.3,000,25.9,1003.47,2.50
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,27.53,08-21-2019,19:00:00,1004.65,5.6,10.00,29.7,66,0.00,34.8,250,22.7,984.02,0.60
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,30.71,08-21-2019,19:00:00,1004.73,11.1,8.00,25.5,94,11.00,33.0,090,24.5,987.02,14.60
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,30.84,08-21-2019,19:00:00,1004.48,5.6,6.00,26.0,92,5.60,33.2,040,24.6,988.31,8.40
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,31.55,08-21-2019,19:00:00,1004.78,0.0,10.00,26.8,90,0.00,32.7,000,24.9,990.77,22.10
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,33.78,08-21-2019,19:00:00,1006.19,0.0,9.00,27.5,92,0.00,32.5,000,26.1,991.40,4.90
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,34.25,08-21-2019,19:00:00,1005.19,0.0,8.00,29.4,84,0.00,34.0,000,26.3,990.67,0.10
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,31.46,08-21-2019,19:00:00,1004.42,0.0,10.00,28.6,80,0.00,33.7,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",24.9,1001.43,3.40
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,31.68,08-21-2019,19:00:00,1004.27,0.0,10.00,30.4,73,0.00,32.4,000,25.0,996.43,46.70
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,31.93,08-21-2019,19:00:00,1006.43,13.0,5.00,26.0,95,9.20,33.6,230,25.1,1005.31,9.20
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,29.63,08-21-2019,19:00:00,1004.89,0.0,8.00,31.5,64,0.00,33.8,000,23.9,990.45,6.70
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,23.86,08-21-2019,19:00:00,1007.36,5.6,.05,20.5,99,0.00,22.0,200,20.3,872.75,4.20
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,31.19,08-21-2019,19:00:00,1004.94,5.6,10.00,30.3,72,0.00,33.4,210,24.7,999.13,14.60
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,33.57,08-21-2019,19:00:00,1005.97,9.3,7.00,28.8,85,1.70,35.6,230,26.0,1005.18,3.20
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,31.45,08-21-2019,19:00:00,1005.75,18.5,10.00,29.3,77,0.00,32.1,210,24.9,1005.31,0.00
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,30.43,08-21-2019,19:00:00,1006.64,0.0,4.00,26.5,88,0.20,30.0,000,24.3,995.33,9.10
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,31.69,08-21-2019,19:00:00,1005.68,3.7,10.00,29.0,79,3.90,35.2,190,25.0,1004.68,3.90
