WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,AirTemperature,Date,Time,WindDirection,DewPoint,MeanSeaLevelPressure,VaporPressure,StationPressure,Rainfall,LandVisibility,Rainfall24Hr,RelativeHumidity,WindSpeed
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,28.0,07-25-2019,16:00:00,340,25.1,1006.71,31.95,1001.50,0.10,10.00,0.10,85,11.1
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,30.4,07-25-2019,16:00:00,000,25.6,1005.37,32.84,992.34,2.00,12.00,3.20,76,0.0
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,31.6,07-25-2019,16:00:00,020,25.1,1006.03,31.85,996.86,0.01,10.00,0.10,69,7.4
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,24.0,07-25-2019,16:00:00,280,22.5,1007.36,27.25,985.46,4.80,5.00,6.00,91,31.5
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,31.5,07-25-2019,16:00:00,210,24.8,1006.02,31.35,988.79,0.00,10.00,1.30,68,5.6
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,30.5,07-25-2019,16:00:00,230,23.2,1005.19,28.50,989.56,0.00,10.00,2.10,65,3.7
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,31.8,07-25-2019,16:00:00,180,24.2,1004.34,30.24,985.81,0.01,10.00,5.40,64,7.4
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,26.2,07-25-2019,16:00:00,000,22.2,1009.01,26.72,957.78,3.60,7.00,6.00,79,0.0
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,32.0,07-25-2019,16:00:00,160,23.3,1005.93,28.66,1002.04,0.00,8.00,0.00,60,5.6
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,22.5,07-25-2019,16:00:00,180,21.0,1006.89,24.80,912.11,0.30,6.00,9.60,91,18.5
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,27.5,07-25-2019,16:00:00,240,25.7,1006.26,32.93,990.32,2.90,8.00,13.10,90,5.6
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,34.4,07-25-2019,16:00:00,180,24.6,1006.11,31.01,1002.18,0.00,12.00,0.00,57,9.3
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,31.7,07-25-2019,16:00:00,180,22.2,1007.41,26.69,996.90,0.00,10.00,0.70,57,3.7
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,32.3,07-25-2019,16:00:00,130,24.5,1006.82,30.69,1004.93,0.00,10.00,0.00,63,13.0
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,32.6,07-25-2019,16:00:00,220,19.9,1005.46,23.28,985.02,0.00,10.00,0.80,47,11.1
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,25.0,07-25-2019,16:00:00,200,23.5,1006.20,29.00,988.43,5.60,10.00,20.50,92,11.1
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,25.0,07-25-2019,16:00:00,210,23.5,1005.92,29.00,989.67,5.40,8.00,20.40,92,9.3
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,29.6,07-25-2019,16:00:00,240,25.0,1006.41,31.77,992.50,9.40,10.00,41.00,77,5.6
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,29.5,07-25-2019,16:00:00,000,23.7,1006.90,29.33,992.20,0.00,9.00,14.20,71,0.0
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,31.0,07-25-2019,16:00:00,230,24.7,1007.47,31.19,992.98,0.00,10.00,16.40,69,7.4
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,34.2,07-25-2019,16:00:00,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",20.3,1006.36,23.83,1003.42,0.00,10.00,0.00,44,0.0
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,28.3,07-25-2019,16:00:00,000,25.3,1006.43,32.27,998.51,6.70,10.00,6.80,84,0.0
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,31.8,07-25-2019,16:00:00,210,23.1,1008.61,28.27,1007.51,0.00,8.00,14.60,60,11.1
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,32.1,07-25-2019,16:00:00,100,26.2,1007.48,34.10,993.04,0.00,9.00,15.20,71,3.7
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,19.9,07-25-2019,16:00:00,270,19.6,1008.09,22.77,873.13,6.40,3.00,23.40,98,9.3
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,32.4,07-25-2019,16:00:00,240,22.6,1006.69,27.49,1000.91,0.00,10.00,0.00,57,3.7
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,33.8,07-25-2019,16:00:00,230,26.5,1007.62,34.53,1006.84,0.00,12.00,1.10,66,7.4
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,29.0,07-25-2019,16:00:00,210,23.6,1008.11,29.19,1007.67,0.01,10.00,2.50,73,11.1
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,30.0,07-25-2019,16:00:00,000,23.3,1008.72,28.64,997.51,0.00,7.00,6.30,68,0.0
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,33.0,07-25-2019,16:00:00,210,22.9,1007.11,27.84,1006.12,0.00,12.00,0.00,55,7.4
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,31.6,07-25-2019,16:00:00,200,22.7,1007.38,27.60,1005.58,0.00,10.00,0.70,59,9.3
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,32.8,07-25-2019,16:00:00,000,23.0,1007.30,28.00,1006.55,0.00,8.00,0.00,56,0.0
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,28.8,07-25-2019,16:00:00,190,24.5,1007.74,30.73,1007.04,0.01,9.00,6.00,78,13.0
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,26.5,07-25-2019,16:00:00,000,24.3,1008.61,30.43,1007.90,6.10,6.00,7.20,88,0.0
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,33.0,07-25-2019,16:00:00,280,23.5,1006.49,28.97,985.76,0.00,10.00,3.50,58,13.0
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,31.3,07-25-2019,16:00:00,230,23.2,1006.61,28.40,990.14,0.00,11.00,18.50,62,7.4
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,31.8,07-25-2019,16:00:00,240,23.8,1007.07,29.39,990.90,0.00,9.00,25.60,63,9.3
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,32.9,07-25-2019,16:00:00,250,23.7,1006.55,29.33,985.12,0.00,10.00,3.10,59,14.8
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,28.7,07-25-2019,16:00:00,230,21.4,1007.21,25.44,964.21,0.00,10.00,7.80,65,11.1
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,30.8,07-25-2019,16:00:00,210,23.1,1006.78,28.26,986.48,0.00,12.00,8.20,64,13.0
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,31.9,07-25-2019,16:00:00,230,24.5,1007.55,30.73,987.06,0.00,10.00,2.60,65,11.1
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,28.2,07-25-2019,16:00:00,340,23.5,1008.50,29.03,1008.07,0.00,10.00,0.10,76,14.8
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,26.4,07-25-2019,16:00:00,000,25.1,1008.85,31.88,1007.43,6.10,8.00,16.10,93,0.0
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,26.7,07-25-2019,16:00:00,000,25.3,1008.76,32.18,1003.82,2.10,8.00,11.20,92,0.0
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,31.7,07-25-2019,16:00:00,190,22.0,1007.84,26.42,1004.60,0.00,12.00,0.01,57,7.4
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,33.8,07-25-2019,16:00:00,230,23.5,1007.80,28.88,1006.72,0.00,10.00,0.01,55,14.8
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,30.0,07-25-2019,16:00:00,210,24.3,1008.05,30.31,1007.75,0.01,8.00,2.00,71,7.4
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,30.3,07-25-2019,16:00:00,220,24.3,1008.11,30.34,1007.43,0.00,10.00,0.10,70,7.4
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,30.6,07-25-2019,16:00:00,150,24.1,1007.98,30.09,1007.50,0.00,10.00,0.10,69,5.6
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,31.9,07-25-2019,16:00:00,220,23.2,1008.18,28.46,1006.80,0.00,10.00,0.01,60,20.4
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,29.3,07-25-2019,16:00:00,200,24.1,1008.40,30.04,1006.73,0.00,10.00,1.20,74,14.8
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,28.0,07-25-2019,16:00:00,000,25.1,1010.16,31.95,1002.15,2.30,10.00,18.40,85,0.0
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,30.5,07-25-2019,16:00:00,270,25.9,1008.28,33.34,1007.99,0.00,10.00,7.10,76,5.6
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,30.2,07-25-2019,16:00:00,300,24.2,1008.26,30.14,1005.16,0.00,10.00,2.00,70,9.3
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,30.2,07-25-2019,16:00:00,270,22.9,1008.75,27.93,1001.87,0.00,12.00,1.20,65,13.0
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,26.0,07-25-2019,16:00:00,270,24.6,1009.00,30.84,1003.37,10.40,7.00,10.80,92,5.6
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,29.9,07-25-2019,16:00:00,240,23.4,1010.11,28.72,1000.85,0.00,8.00,1.00,68,16.7
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,26.6,07-25-2019,16:00:00,280,24.6,1009.57,30.89,1008.31,5.90,14.00,7.40,89,7.4
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,31.0,07-25-2019,16:00:00,230,21.5,1008.17,25.65,1007.74,0.00,11.00,2.40,57,14.8
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,29.8,07-25-2019,16:00:00,210,22.0,1008.68,26.37,996.52,0.00,11.00,1.00,63,3.7
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,29.3,07-25-2019,16:00:00,210,23.8,1008.72,29.49,1008.01,0.00,10.00,12.20,72,5.6
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,30.5,07-25-2019,16:00:00,220,23.4,1009.68,28.78,1007.26,0.00,10.00,0.40,66,18.5
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,29.0,07-25-2019,16:00:00,250,25.5,1008.97,32.55,1008.45,0.90,8.00,11.20,81,7.4
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,28.9,07-25-2019,16:00:00,230,24.9,1008.79,31.49,1003.66,0.10,10.00,0.30,79,1.9
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,25.8,07-25-2019,16:00:00,000,24.3,1009.33,30.46,1008.91,10.30,9.00,48.40,92,0.0
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,26.0,07-25-2019,16:00:00,000,25.7,1009.36,33.04,1006.57,38.40,8.00,62.10,98,0.0
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,30.6,07-25-2019,16:00:00,340,21.9,1009.72,26.25,1008.94,0.00,10.00,0.00,60,3.7
48501,TRAD,ตราด,ตราด,11.76667,102.88333,29.0,07-25-2019,16:00:00,250,25.3,1009.64,32.26,1009.18,0.00,8.00,23.10,81,11.1
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,27.2,07-25-2019,16:00:00,000,24.0,1009.75,29.85,1009.06,2.00,8.00,3.20,83,0.0
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,28.0,07-25-2019,16:00:00,000,26.0,1009.57,33.66,1008.04,4.20,6.00,4.20,89,0.0
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,31.0,07-25-2019,16:00:00,240,23.0,1010.14,28.09,1009.23,0.00,10.00,0.00,63,5.6
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,30.3,07-25-2019,16:00:00,150,24.1,1010.16,30.06,1009.48,0.00,10.00,0.20,70,7.4
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,33.2,07-25-2019,16:00:00,240,24.9,1009.57,31.41,1008.79,0.00,10.00,0.00,62,3.7
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,31.0,07-25-2019,16:00:00,000,23.0,1009.13,28.09,1008.50,0.00,10.00,2.60,63,0.0
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,30.9,07-25-2019,16:00:00,000,25.7,1009.50,33.01,1009.10,0.00,10.00,0.00,74,0.0
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,31.5,07-25-2019,16:00:00,000,25.4,1011.25,32.52,1007.09,0.00,8.00,0.20,70,0.0
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,30.8,07-25-2019,16:00:00,000,24.5,1009.72,30.78,1008.13,0.00,12.00,0.00,69,0.0
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,30.6,07-25-2019,16:00:00,000,25.2,1010.01,32.09,1006.57,0.00,12.00,9.40,73,0.0
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,30.4,07-25-2019,16:00:00,120,25.3,1009.55,32.26,1008.21,0.00,8.00,0.00,74,5.6
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,31.5,07-25-2019,16:00:00,270,23.1,1009.95,28.23,1009.08,0.00,10.00,0.00,61,5.6
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,29.2,07-25-2019,16:00:00,000,25.2,1009.64,32.10,1006.10,0.00,10.00,5.00,79,0.0
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,31.0,07-25-2019,16:00:00,000,24.6,1009.38,30.90,1008.95,0.00,10.00,0.00,69,0.0
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,31.5,07-25-2019,16:00:00,320,25.1,1009.34,31.93,1008.36,0.00,8.00,0.00,69,3.7
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,29.9,07-25-2019,16:00:00,000,23.5,1009.81,29.00,1009.01,0.00,10.00,3.00,69,0.0
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,31.2,07-25-2019,16:00:00,000,24.5,1009.78,30.73,1007.99,0.00,12.00,0.60,68,0.0
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,29.7,07-25-2019,16:00:00,050,24.9,1009.63,31.40,1008.89,0.01,10.00,2.40,75,7.4
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,31.5,07-25-2019,16:00:00,000,23.1,1009.78,28.23,1005.84,0.20,10.00,1.00,61,0.0
48570,SATUN,สตูล,สตูล,6.65000,100.08333,30.4,07-25-2019,16:00:00,000,21.8,1009.83,26.15,1009.16,0.00,10.00,2.40,60,0.0
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,24.0,07-25-2019,16:00:00,040,23.0,1009.56,28.01,1008.43,19.20,7.00,20.20,94,7.4
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,31.8,07-25-2019,16:00:00,180,26.1,1009.43,33.75,1006.55,0.00,10.00,7.20,72,3.7
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,31.5,07-25-2019,16:00:00,010,24.4,1008.61,30.49,1007.93,0.00,8.00,4.40,66,9.3
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,31.4,07-25-2019,16:00:00,100,23.3,1009.53,28.59,1005.46,0.00,8.00,40.40,62,3.7
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,29.0,07-25-2019,16:00:00,000,23.2,1009.44,28.37,1008.85,0.10,10.00,24.10,71,0.0
