WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,AirTemperature,Date,Time,WindDirection,DewPoint,MeanSeaLevelPressure,VaporPressure,StationPressure,Rainfall,LandVisibility,Rainfall24Hr,RelativeHumidity,WindSpeed
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,29.8,07-25-2019,16:00:00,000,23.6,1004.19,29.08,973.74,0.60,15.00,3.10,69,0.0
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,21.0,07-25-2019,16:00:00,270,19.1,1002.55,22.09,843.08,1.70,4.00,9.30,89,9.3
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,30.8,07-25-2019,16:00:00,000,24.2,1002.70,30.21,959.99,0.00,15.00,11.30,68,0.0
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,30.5,07-25-2019,16:00:00,260,22.4,1003.04,27.14,958.41,0.00,15.00,9.50,62,9.3
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,29.2,07-25-2019,16:00:00,000,23.5,1004.79,29.02,967.66,0.00,12.00,15.30,72,0.0
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,30.3,07-25-2019,16:00:00,200,24.6,1003.18,30.91,958.95,0.00,10.00,0.60,72,5.6
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,28.9,07-25-2019,16:00:00,170,25.2,1005.27,32.06,978.84,0.01,12.00,4.90,81,7.4
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,31.3,07-25-2019,16:00:00,210,22.5,1005.79,27.30,984.41,0.01,12.00,0.20,60,9.3
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,26.5,07-25-2019,16:00:00,000,24.9,1007.06,31.52,982.98,4.00,6.00,5.00,91,0.0
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,33.4,07-25-2019,16:00:00,230,22.0,1003.29,26.39,969.72,0.00,10.00,2.00,51,3.7
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,30.5,07-25-2019,16:00:00,000,25.6,1004.25,32.75,977.17,6.00,10.00,6.00,75,0.0
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,34.2,07-25-2019,16:00:00,000,22.9,1003.10,27.98,970.53,0.00,12.00,1.60,52,0.0
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,29.2,07-25-2019,16:00:00,250,23.5,1004.60,29.02,986.30,0.01,9.00,1.90,72,16.7
48331,NAN,น่าน,น่าน,18.77972,100.77778,31.2,07-25-2019,16:00:00,000,23.9,1004.40,29.60,981.99,0.00,10.00,20.40,65,0.0
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,30.0,07-25-2019,16:00:00,000,23.6,1004.75,29.19,975.29,0.00,10.00,1.80,69,0.0
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,30.0,07-25-2019,16:00:00,000,24.3,1004.40,30.31,969.43,4.80,7.00,4.80,71,0.0
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,29.0,07-25-2019,16:00:00,110,23.3,1004.63,28.64,975.25,0.00,15.00,0.20,72,5.6
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,26.5,07-25-2019,16:00:00,000,25.1,1006.47,31.79,999.16,16.20,9.00,16.20,92,0.0
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,29.7,07-25-2019,16:00:00,200,24.9,1005.06,31.40,985.39,0.10,15.00,0.20,75,11.1
48353,LOEI,เลย,เลย,17.45000,101.73333,28.3,07-25-2019,16:00:00,000,22.7,1005.20,27.61,976.76,0.00,15.00,0.40,72,0.0
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,29.0,07-25-2019,16:00:00,130,25.2,1005.99,31.98,985.99,1.20,13.00,8.90,80,3.7
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,26.9,07-25-2019,16:00:00,000,23.2,1006.19,28.49,984.49,0.50,12.00,2.10,80,0.0
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,26.1,07-25-2019,16:00:00,020,23.8,1006.08,29.41,986.56,1.00,9.00,3.80,87,3.7
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,26.6,07-25-2019,16:00:00,000,24.3,1006.56,30.34,989.81,2.50,12.00,61.60,87,0.0
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,26.2,07-25-2019,16:00:00,000,24.9,1006.75,31.49,989.31,2.60,12.00,27.10,93,0.0
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,30.4,07-25-2019,16:00:00,290,22.5,1004.34,27.22,978.93,0.00,14.00,0.50,63,13.0
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,26.0,07-25-2019,16:00:00,210,25.3,1007.13,32.20,1001.32,4.70,10.00,4.70,96,22.2
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,25.2,07-25-2019,16:00:00,000,24.5,1006.40,30.69,1000.18,25.50,10.00,25.50,96,0.0
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,27.7,07-25-2019,16:00:00,000,25.0,1007.10,31.64,990.71,3.70,7.00,7.90,85,0.0
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,28.5,07-25-2019,16:00:00,210,22.6,1005.88,27.44,983.70,0.00,10.00,15.40,71,5.6
48376,TAK,ตาก,ตาก,16.87833,99.14333,30.2,07-25-2019,16:00:00,280,22.3,1006.84,26.85,992.61,0.00,10.00,1.30,63,14.8
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,30.0,07-25-2019,16:00:00,240,21.9,1005.70,26.21,989.50,0.00,7.00,1.50,62,11.1
