WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall24Hr,Date,Time,VaporPressure,WindDirection,MeanSeaLevelPressure,LandVisibility,StationPressure,AirTemperature,Rainfall,DewPoint,RelativeHumidity,WindSpeed
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,7.40,10-03-2019,13:00:00,24.98,220,1010.60,4.00,876.05,21.7,2.80,21.1,96,3.7
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,0.00,10-03-2019,13:00:00,31.79,000,1009.35,8.00,1003.61,34.9,0.00,25.1,57,0.0
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,6.70,10-03-2019,13:00:00,30.97,100,1010.21,4.00,1009.41,27.5,6.50,24.6,84,7.4
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,0.00,10-03-2019,13:00:00,30.73,210,1009.48,10.00,1009.04,31.2,0.00,24.5,68,11.1
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,0.00,10-03-2019,13:00:00,30.34,000,1009.41,10.00,998.36,34.5,0.00,24.3,55,0.0
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,0.00,10-03-2019,13:00:00,31.22,150,1009.56,8.00,1008.57,34.5,0.00,24.8,57,7.4
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,0.00,10-03-2019,13:00:00,32.23,160,1009.75,7.00,1007.96,34.0,0.00,25.3,61,3.7
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,0.00,10-03-2019,13:00:00,29.79,000,1009.23,9.00,1008.48,34.1,0.00,24.0,56,0.0
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,0.00,10-03-2019,13:00:00,30.16,200,1009.89,9.00,1009.20,33.3,0.00,24.2,59,14.8
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,0.00,10-03-2019,13:00:00,29.42,190,1010.74,8.00,1010.06,34.9,0.00,23.8,53,3.7
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,0.00,10-03-2019,13:00:00,28.28,330,1009.25,7.00,988.45,32.8,0.00,23.1,57,5.6
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,0.01,10-03-2019,13:00:00,29.01,000,1009.32,10.00,992.91,33.3,0.00,23.5,57,0.0
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,0.00,10-03-2019,13:00:00,29.13,180,1009.83,12.00,993.74,34.2,0.00,23.6,54,3.7
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,0.00,10-03-2019,13:00:00,28.84,080,1009.11,8.00,987.67,33.5,0.00,23.4,56,9.3
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,0.60,10-03-2019,13:00:00,24.26,140,1009.40,6.00,966.37,29.2,0.00,20.6,60,9.3
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,0.00,10-03-2019,13:00:00,29.04,270,1008.81,10.00,988.65,33.6,0.00,23.6,56,5.6
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,0.00,10-03-2019,13:00:00,33.56,180,1011.13,7.00,990.74,34.6,0.00,26.0,61,7.4
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,0.01,10-03-2019,13:00:00,31.52,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",1010.07,10.00,1009.65,32.0,0.00,24.9,66,0.0
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,0.20,10-03-2019,13:00:00,33.44,000,1009.22,11.00,1007.83,34.0,0.00,25.9,63,0.0
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,4.70,10-03-2019,13:00:00,32.65,000,1009.05,9.00,1004.21,33.5,0.00,25.5,63,0.0
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,0.00,10-03-2019,13:00:00,30.43,000,1009.27,12.00,1006.06,35.1,0.00,24.3,54,0.0
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,0.00,10-03-2019,13:00:00,32.18,170,1009.60,10.00,1008.52,34.8,0.00,25.3,58,7.4
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,0.00,10-03-2019,13:00:00,32.70,250,1009.34,10.00,1009.05,33.8,0.00,25.5,62,5.6
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,0.00,10-03-2019,13:00:00,31.26,230,1009.18,10.00,1008.50,34.1,0.00,24.8,58,5.6
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,0.00,10-03-2019,13:00:00,29.87,150,1009.67,8.00,1009.19,34.0,0.00,24.0,56,9.3
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,6.00,10-03-2019,13:00:00,30.78,360,1010.01,10.00,1008.60,27.4,6.00,24.5,84,11.1
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,0.00,10-03-2019,13:00:00,35.40,240,1010.22,8.00,1008.55,29.8,0.00,26.9,84,5.6
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,0.00,10-03-2019,13:00:00,28.43,000,1010.97,10.00,1003.11,34.0,0.00,23.2,53,0.0
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,11.60,10-03-2019,13:00:00,34.99,250,1009.03,10.00,1008.75,32.5,0.00,26.7,72,18.5
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,0.00,10-03-2019,13:00:00,34.07,350,1008.46,10.00,1005.38,32.5,0.00,26.2,70,5.6
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,0.01,10-03-2019,13:00:00,33.78,250,1009.66,10.00,1002.80,31.4,0.00,26.1,74,13.0
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,1.30,10-03-2019,13:00:00,32.67,330,1009.57,7.00,1004.09,34.2,0.00,25.5,61,3.7
