WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,RelativeHumidity,Date,Time,MeanSeaLevelPressure,AirTemperature,Rainfall24Hr,DewPoint,WindSpeed,StationPressure,LandVisibility,VaporPressure,Rainfall,WindDirection
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,72,08-08-2019,16:00:00,1001.77,30.5,3.60,25.0,3.7,971.47,12.00,31.60,0.00,360
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,81,08-08-2019,16:00:00,998.29,23.8,1.10,20.3,18.5,840.84,8.00,23.74,0.00,260
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,58,08-08-2019,16:00:00,999.02,33.3,0.00,24.0,0.0,956.81,12.00,29.87,0.00,000
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,56,08-08-2019,16:00:00,999.30,33.5,0.00,23.4,0.0,955.26,15.00,28.84,0.00,000
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,60,08-08-2019,16:00:00,999.49,33.3,0.00,24.5,0.0,963.04,12.00,30.74,0.00,000
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,47,08-08-2019,16:00:00,999.20,35.0,0.00,21.9,0.0,955.80,15.00,26.19,0.00,000
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,60,08-08-2019,16:00:00,999.95,34.4,0.00,25.4,5.6,974.12,12.00,32.51,0.00,150
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,64,08-08-2019,16:00:00,1001.49,32.0,4.10,24.3,9.3,980.25,15.00,30.36,0.00,230
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,85,08-08-2019,16:00:00,1002.84,27.9,13.50,25.2,0.0,978.97,6.00,32.03,0.00,000
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,62,08-08-2019,16:00:00,1000.67,32.7,0.01,24.5,0.0,967.11,10.00,30.65,0.00,000
