WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,DewPoint,Date,Time,WindSpeed,AirTemperature,Rainfall,MeanSeaLevelPressure,VaporPressure,LandVisibility,WindDirection,StationPressure,Rainfall24Hr,RelativeHumidity
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,22.3,10-16-2019,04:00:00,0.0,23.7,0.00,1013.69,27.00,7.00,000,982.33,0.00,92
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,16.7,10-16-2019,04:00:00,7.4,16.9,0.00,1012.91,19.03,{'@attributes': {'Unit': 'km'}},120,849.75,4.10,99
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,21.9,10-16-2019,04:00:00,0.0,23.7,0.00,1014.82,26.25,10.00,000,970.58,0.00,90
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,21.6,10-16-2019,04:00:00,0.0,22.8,0.00,1014.77,25.76,12.00,000,968.48,0.00,93
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,22.0,10-16-2019,04:00:00,0.0,22.0,0.00,1014.76,26.42,6.00,000,976.37,13.80,100
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,22.0,10-16-2019,04:00:00,0.0,22.3,0.00,1015.95,26.42,10.00,000,969.97,36.70,98
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,22.8,10-16-2019,04:00:00,0.0,23.5,0.00,1015.54,27.66,6.00,000,988.36,0.80,96
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,22.9,10-16-2019,04:00:00,0.0,23.2,0.00,1013.67,27.91,6.00,000,991.54,11.00,98
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,21.2,10-16-2019,04:00:00,0.0,22.0,0.00,1014.05,25.21,5.00,000,989.44,0.30,95
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,22.7,10-16-2019,04:00:00,0.0,23.7,0.00,1014.83,27.50,10.00,000,979.79,0.01,94
