WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,StationPressure,Date,Time,VaporPressure,Rainfall,Rainfall24Hr,AirTemperature,RelativeHumidity,WindDirection,WindSpeed,DewPoint,MeanSeaLevelPressure,LandVisibility
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,970.00,08-31-2019,01:00:00,31.00,0.00,0.10,25.8,93,000,0.0,24.6,1000.74,10.00
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,841.09,08-31-2019,01:00:00,20.10,0.00,0.00,21.0,81,120,18.5,17.6,1000.19,8.00
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,957.20,08-31-2019,01:00:00,30.43,1.00,1.00,26.5,88,000,0.0,24.3,1000.41,12.00
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,955.20,08-31-2019,01:00:00,32.04,0.20,2.00,26.2,94,000,0.0,25.2,1000.33,12.00
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,963.04,08-31-2019,01:00:00,30.73,1.00,17.60,24.5,100,000,0.0,24.5,1000.58,5.00
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,955.56,08-31-2019,01:00:00,30.02,1.60,29.40,24.4,98,000,0.0,24.1,1000.53,10.00
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,974.24,08-31-2019,01:00:00,31.25,0.00,14.60,25.5,96,000,0.0,24.8,1000.85,5.00
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,979.80,08-31-2019,01:00:00,30.28,53.30,74.90,24.4,99,120,1.9,24.2,1001.58,6.00
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,976.65,08-31-2019,01:00:00,33.19,1.00,1.00,26.5,96,000,0.0,25.8,1000.58,6.00
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,967.03,08-31-2019,01:00:00,29.00,1.70,8.90,25.0,92,210,5.6,23.5,1001.47,10.00
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,973.66,08-31-2019,01:00:00,30.85,3.30,27.10,25.0,97,000,0.0,24.6,1001.14,10.00
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,967.91,08-31-2019,01:00:00,30.32,11.40,20.20,25.0,96,000,0.0,24.3,1001.41,10.00
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,982.25,08-31-2019,01:00:00,29.49,17.90,84.60,24.4,97,320,3.7,23.8,1000.77,3.00
48331,NAN,น่าน,น่าน,18.77972,100.77778,977.76,08-31-2019,01:00:00,31.65,0.00,3.70,26.0,94,000,0.0,25.0,1000.46,10.00
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,970.88,08-31-2019,01:00:00,29.79,0.00,17.00,25.0,94,000,0.0,24.0,1000.70,6.00
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,965.83,08-31-2019,01:00:00,30.25,20.20,44.80,25.4,93,000,0.0,24.2,1001.22,5.00
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,969.72,08-31-2019,01:00:00,27.82,2.10,53.80,23.0,99,000,0.0,22.8,999.54,4.00
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,993.08,08-31-2019,01:00:00,31.36,0.00,36.60,25.7,95,000,0.0,24.8,1000.37,7.00
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,979.07,08-31-2019,01:00:00,29.20,11.40,15.00,23.8,99,070,13.0,23.6,999.00,3.00
48353,LOEI,เลย,เลย,17.45000,101.73333,971.20,08-31-2019,01:00:00,27.66,2.00,19.40,23.5,96,310,5.6,22.8,999.94,5.00
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,978.01,08-31-2019,01:00:00,28.77,5.00,28.00,23.7,98,100,11.1,23.4,998.21,5.00
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,979.58,08-31-2019,01:00:00,27.66,1.40,35.30,23.5,96,130,3.7,22.8,1001.42,10.00
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,981.57,08-31-2019,01:00:00,28.94,4.00,41.90,23.5,100,100,7.4,23.5,1001.16,6.00
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,985.68,08-31-2019,01:00:00,26.19,0.00,23.20,25.3,81,100,11.1,21.9,1002.43,10.00
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,985.22,08-31-2019,01:00:00,27.68,0.10,32.40,24.1,92,280,3.7,22.8,1002.71,9.00
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,971.64,08-31-2019,01:00:00,28.88,5.00,28.80,24.2,96,290,14.8,23.5,997.39,7.00
