WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Date,Time,VaporPressure,WindDirection,DewPoint,AirTemperature,StationPressure,Rainfall,RelativeHumidity,WindSpeed,LandVisibility,MeanSeaLevelPressure,Rainfall24Hr
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,09-21-2019,01:00:00,31.82,000,25.1,25.8,1003.43,1.10,96,0.0,9.00,1008.61,15.40
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,09-21-2019,01:00:00,30.69,000,24.5,25.2,1008.39,0.00,96,0.0,7.00,1008.81,51.00
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,09-21-2019,01:00:00,30.84,000,24.6,26.0,1006.28,0.00,92,0.0,8.00,1009.06,63.10
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,09-21-2019,01:00:00,29.36,000,23.7,25.2,1008.41,0.00,92,0.0,10.00,1009.21,23.30
48501,TRAD,ตราด,ตราด,11.76667,102.88333,09-21-2019,01:00:00,30.20,060,24.2,24.5,1008.82,0.00,98,3.7,6.00,1009.28,24.30
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,09-21-2019,01:00:00,29.44,000,23.8,25.1,1008.60,0.00,92,0.0,7.00,1009.28,1.00
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,09-21-2019,01:00:00,29.52,000,23.8,25.0,1007.92,0.00,93,0.0,8.00,1009.46,0.40
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,09-21-2019,01:00:00,29.91,000,24.0,25.5,1008.99,0.00,92,0.0,10.00,1009.91,10.90
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,09-21-2019,01:00:00,30.76,000,24.5,26.1,1008.82,0.00,91,0.0,10.00,1009.51,0.00
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,09-21-2019,01:00:00,28.70,000,23.4,24.1,1009.25,0.00,96,0.0,9.00,1010.06,0.00
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,09-21-2019,01:00:00,30.96,150,24.6,25.2,1008.66,0.00,97,5.6,10.00,1009.30,8.30
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,09-21-2019,01:00:00,29.77,000,24.0,24.7,1008.36,0.00,96,0.0,7.00,1008.77,4.00
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,09-21-2019,01:00:00,29.42,000,23.8,24.8,1006.79,0.00,94,0.0,6.00,1011.04,0.00
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,09-21-2019,01:00:00,29.41,000,23.8,24.5,1008.23,0.00,96,0.0,8.00,1009.86,7.60
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,09-21-2019,01:00:00,30.32,000,24.3,25.0,1006.28,0.00,96,0.0,7.00,1009.79,0.00
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,09-21-2019,01:00:00,30.48,000,24.4,24.8,1008.39,0.00,97,0.0,7.00,1009.76,1.10
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,09-21-2019,01:00:00,30.52,000,24.4,25.4,1008.80,0.00,94,0.0,10.00,1009.69,0.00
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,09-21-2019,01:00:00,30.42,000,24.3,25.2,1006.33,0.00,95,0.0,10.00,1009.92,0.00
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,09-21-2019,01:00:00,30.43,000,24.3,26.5,1009.35,0.00,88,0.0,10.00,1009.78,0.00
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,09-21-2019,01:00:00,30.40,000,24.3,24.9,1008.89,0.00,97,0.0,10.00,1009.89,0.00
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,09-21-2019,01:00:00,30.15,000,24.2,25.2,1008.98,0.00,94,0.0,10.00,1009.80,0.00
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,09-21-2019,01:00:00,29.25,000,23.7,24.7,1007.87,0.00,94,0.0,7.00,1009.70,2.60
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,09-21-2019,01:00:00,29.68,140,23.9,26.1,1009.28,0.00,88,7.4,4.00,1010.04,0.00
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,09-21-2019,01:00:00,29.87,000,24.0,24.9,1005.88,0.00,95,0.0,4.00,1009.91,0.20
48570,SATUN,สตูล,สตูล,6.65000,100.08333,09-21-2019,01:00:00,28.83,000,23.4,25.2,1008.65,0.00,90,0.0,8.00,1009.34,0.20
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,09-21-2019,01:00:00,30.71,000,24.5,25.5,1007.15,0.00,94,0.0,7.00,1010.09,0.00
