WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,StationPressure,Date,Time,LandVisibility,RelativeHumidity,MeanSeaLevelPressure,Rainfall24Hr,VaporPressure,AirTemperature,Rainfall,DewPoint,WindDirection,WindSpeed
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,1004.55,08-27-2019,04:00:00,10.00,85,1005.96,14.00,28.88,26.1,0.00,23.5,220,11.1
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,999.36,08-27-2019,04:00:00,10.00,92,1007.42,0.30,29.44,25.1,0.00,23.8,000,0.0
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,1005.46,08-27-2019,04:00:00,10.00,72,1005.75,0.20,26.78,27.7,0.00,22.2,000,0.0
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,1002.45,08-27-2019,04:00:00,10.00,79,1005.57,0.80,30.01,28.0,0.00,24.1,130,5.6
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,999.11,08-27-2019,04:00:00,10.00,78,1006.03,2.50,28.71,27.6,0.00,23.4,230,7.4
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,1001.04,08-27-2019,04:00:00,8.00,92,1006.65,0.70,30.84,26.0,0.00,24.6,000,0.0
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,1005.70,08-27-2019,04:00:00,5.00,97,1006.97,6.70,29.85,24.6,0.01,24.0,000,0.0
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,1005.50,08-27-2019,04:00:00,11.00,78,1005.93,5.30,27.52,26.8,0.10,22.7,240,9.3
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,994.24,08-27-2019,04:00:00,8.00,97,1006.62,12.00,28.52,23.7,2.30,23.3,000,0.0
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,1005.61,08-27-2019,04:00:00,10.00,94,1006.33,8.20,29.79,25.0,0.90,24.0,000,0.0
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,1004.25,08-27-2019,04:00:00,10.00,79,1006.68,2.70,29.36,27.8,0.10,23.7,180,3.7
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,1006.73,08-27-2019,04:00:00,10.00,72,1007.25,0.90,27.97,28.5,0.00,22.9,250,13.0
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,1001.16,08-27-2019,04:00:00,7.00,75,1006.31,1.90,26.48,26.8,0.00,22.0,000,0.0
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,1006.57,08-27-2019,04:00:00,7.00,84,1006.98,0.30,30.02,27.0,0.00,24.1,000,0.0
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,1004.23,08-27-2019,04:00:00,8.00,93,1007.02,1.40,31.00,25.8,0.00,24.6,040,7.4
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,1006.44,08-27-2019,04:00:00,10.00,82,1007.23,7.70,26.78,25.5,0.00,22.2,000,0.0
48501,TRAD,ตราด,ตราด,11.76667,102.88333,1006.95,08-27-2019,04:00:00,6.00,84,1007.41,6.80,30.78,27.4,0.00,24.5,260,5.6
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,1007.35,08-27-2019,04:00:00,8.00,91,1008.04,3.60,27.17,24.1,2.50,22.5,290,5.6
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,1005.57,08-27-2019,04:00:00,8.00,90,1007.11,1.00,29.56,25.6,0.20,23.8,000,0.0
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,1008.66,08-27-2019,04:00:00,10.00,91,1009.59,7.80,25.60,23.0,2.80,21.5,180,3.7
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,1008.11,08-27-2019,04:00:00,8.00,91,1008.80,3.20,27.86,24.5,3.20,22.9,230,7.4
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,1008.66,08-27-2019,04:00:00,6.00,98,1009.46,6.10,31.49,25.2,3.50,24.9,000,0.0
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,1007.71,08-27-2019,04:00:00,10.00,90,1008.34,0.30,29.01,25.3,0.00,23.5,000,0.0
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,1008.09,08-27-2019,04:00:00,10.00,85,1008.50,0.00,28.70,26.0,0.00,23.4,240,7.4
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,1007.26,08-27-2019,04:00:00,5.00,95,1011.52,1.00,29.33,24.6,1.00,23.7,000,0.0
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,1006.85,08-27-2019,04:00:00,6.00,97,1008.48,13.60,29.31,24.3,5.60,23.7,000,0.0
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,1006.35,08-27-2019,04:00:00,5.00,97,1009.86,2.90,29.67,24.5,0.70,23.9,000,0.0
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,1007.46,08-27-2019,04:00:00,9.00,88,1008.82,0.00,29.50,26.0,0.00,23.8,000,0.0
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,1009.42,08-27-2019,04:00:00,8.00,96,1010.32,58.30,27.66,23.5,48.10,22.8,300,9.3
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,1005.74,08-27-2019,04:00:00,8.00,98,1009.34,6.00,29.30,24.0,4.50,23.7,320,9.3
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,1008.65,08-27-2019,04:00:00,9.00,90,1009.09,9.40,28.30,24.9,9.00,23.1,290,7.4
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,1008.03,08-27-2019,04:00:00,10.00,86,1009.03,0.00,29.43,26.4,0.00,23.8,300,11.1
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,1008.24,08-27-2019,04:00:00,10.00,85,1009.05,0.00,32.96,28.5,0.00,25.7,280,25.9
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,1006.96,08-27-2019,04:00:00,9.00,95,1008.79,0.01,31.17,25.6,0.01,24.7,000,0.0
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,1008.62,08-27-2019,04:00:00,10.00,85,1009.37,0.01,28.80,26.2,0.00,23.4,230,3.7
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,1005.06,08-27-2019,04:00:00,10.00,98,1009.11,9.60,29.48,24.1,0.00,23.8,000,0.0
48570,SATUN,สตูล,สตูล,6.65000,100.08333,1008.52,08-27-2019,04:00:00,10.00,94,1009.21,0.00,29.79,25.0,0.00,24.0,000,0.0
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,1007.97,08-27-2019,04:00:00,10.00,96,1009.10,0.00,29.41,24.5,0.00,23.8,000,0.0
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,1006.33,08-27-2019,04:00:00,10.00,97,1009.28,2.80,29.93,24.5,0.00,24.1,000,0.0
