WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,WindDirection,Date,Time,Rainfall,DewPoint,StationPressure,LandVisibility,Rainfall24Hr,WindSpeed,VaporPressure,RelativeHumidity,MeanSeaLevelPressure,MinimumTemperature,AirTemperature
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,000,07-12-2019,07:00:00,0.00,23.7,978.61,8.00,7.40,0.0,29.33,95,1009.76,23.4,24.6
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,270,07-12-2019,07:00:00,0.00,17.8,845.08,8.00,5.50,22.2,20.37,97,1006.51,17.7,18.3
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,000,07-12-2019,07:00:00,0.00,22.3,964.42,10.00,0.30,0.0,26.97,81,1008.05,25.2,25.9
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,000,07-12-2019,07:00:00,0.00,22.4,962.33,15.00,5.00,0.0,27.02,86,1008.01,24.2,24.9
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,000,07-12-2019,07:00:00,0.00,24.3,971.83,10.00,0.00,0.0,30.32,96,1009.65,24.0,25.0
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,180,07-12-2019,07:00:00,0.00,23.0,963.79,8.00,0.40,5.6,28.07,86,1008.97,24.7,25.5
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,180,07-12-2019,07:00:00,0.00,23.5,982.47,10.00,0.00,5.6,28.98,85,1009.23,25.7,26.3
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,000,07-12-2019,07:00:00,0.00,23.0,987.80,15.00,0.01,0.0,28.10,93,1009.77,23.3,24.2
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,000,07-12-2019,07:00:00,0.00,22.8,986.75,6.00,1.00,0.0,27.70,88,1011.05,22.8,25.0
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,000,07-12-2019,07:00:00,0.00,23.1,974.65,12.00,0.20,0.0,28.23,88,1009.32,24.8,25.3
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,000,07-12-2019,07:00:00,0.00,22.4,982.55,10.00,0.00,0.0,27.05,81,1010.21,24.8,25.8
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,000,07-12-2019,07:00:00,0.00,23.2,975.53,10.00,0.00,0.0,28.34,85,1009.20,25.3,25.8
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,240,07-12-2019,07:00:00,0.00,24.0,990.61,12.00,2.40,1.9,29.89,93,1009.23,24.9,25.2
48331,NAN,น่าน,น่าน,18.77972,100.77778,000,07-12-2019,07:00:00,0.00,24.2,986.39,10.00,0.00,0.0,30.16,87,1009.25,26.0,26.5
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,000,07-12-2019,07:00:00,0.00,23.7,978.40,10.00,0.00,0.0,29.25,94,1008.49,24.5,24.7
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,000,07-12-2019,07:00:00,0.00,22.6,973.66,7.00,2.40,0.0,27.35,89,1009.44,24.5,24.5
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,000,07-12-2019,07:00:00,0.00,22.6,978.66,12.00,0.00,0.0,27.47,84,1008.48,25.5,25.6
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,000,07-12-2019,07:00:00,0.00,23.6,1002.30,9.00,0.00,0.0,29.10,83,1009.63,26.5,26.8
