WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,StationPressure,Date,Time,DewPoint,Rainfall24Hr,Rainfall,RelativeHumidity,AirTemperature,VaporPressure,MinimumTemperature,LandVisibility,MeanSeaLevelPressure,WindDirection,WindSpeed
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,1009.31,08-18-2019,07:00:00,24.5,3.90,0.00,97,25.1,30.77,24.6,12.00,1010.58,140,3.7
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,1009.64,08-18-2019,07:00:00,23.1,0.00,0.00,80,26.8,28.31,26.2,11.00,1010.07,200,11.1
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,998.38,08-18-2019,07:00:00,22.9,0.01,0.00,94,23.9,27.84,23.3,10.00,1010.81,000,0.0
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,1009.75,08-18-2019,07:00:00,23.3,0.00,0.00,84,26.2,28.54,25.8,10.00,1010.47,000,0.0
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,1008.30,08-18-2019,07:00:00,24.1,0.00,0.00,84,27.0,30.02,26.0,10.00,1010.75,200,7.4
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,1010.44,08-18-2019,07:00:00,24.7,0.00,0.00,78,29.0,31.13,28.3,10.00,1010.95,260,11.1
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,1000.64,08-18-2019,07:00:00,23.9,0.00,0.00,82,27.2,29.58,26.4,12.00,1005.78,250,3.7
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,1010.72,08-18-2019,07:00:00,25.9,10.90,0.00,94,26.9,33.42,25.9,8.00,1011.14,170,3.7
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,1008.49,08-18-2019,07:00:00,25.3,11.70,0.00,96,26.0,32.20,25.0,8.00,1011.28,000,0.0
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,1011.18,08-18-2019,07:00:00,23.1,0.00,0.00,84,26.0,28.18,25.6,10.00,1011.97,000,0.0
48501,TRAD,ตราด,ตราด,11.76667,102.88333,1011.38,08-18-2019,07:00:00,25.0,73.50,0.00,98,25.3,31.68,24.3,6.00,1011.85,100,5.6
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,1010.77,08-18-2019,07:00:00,23.3,15.80,0.00,96,24.0,28.53,23.4,8.00,1011.46,000,0.0
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,1009.69,08-18-2019,07:00:00,22.9,13.20,0.00,98,23.2,27.91,23.0,7.00,1011.24,000,0.0
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,1010.78,08-18-2019,07:00:00,23.3,75.50,0.00,96,24.0,28.53,23.9,10.00,1011.71,000,0.0
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,1010.79,08-18-2019,07:00:00,25.1,0.00,0.00,95,26.0,31.93,24.8,12.00,1011.48,000,0.0
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,1010.95,08-18-2019,07:00:00,22.6,0.00,0.00,97,23.1,27.49,22.8,8.00,1011.77,000,0.0
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,1010.84,08-18-2019,07:00:00,22.5,0.00,0.00,91,24.0,27.25,23.0,10.00,1011.48,000,0.0
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,1011.27,08-18-2019,07:00:00,23.0,0.00,0.00,91,24.6,28.03,23.0,10.00,1011.68,000,0.0
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,1009.33,08-18-2019,07:00:00,22.3,0.00,0.00,96,22.9,26.91,22.4,6.00,1013.63,000,0.0
