WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,LandVisibility,Date,Time,Rainfall,Rainfall24Hr,WindDirection,StationPressure,MeanSeaLevelPressure,VaporPressure,DewPoint,WindSpeed,RelativeHumidity,AirTemperature
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,10.00,07-11-2019,10:00:00,0.00,0.00,230,1005.13,1010.95,33.40,25.9,9.3,72,31.5
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,10.00,07-11-2019,10:00:00,0.00,0.01,240,1010.90,1011.69,32.82,25.6,9.3,68,32.2
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,10.00,07-11-2019,10:00:00,0.00,0.00,240,1010.87,1011.32,28.46,23.2,13.0,60,31.9
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,8.00,07-11-2019,10:00:00,0.00,0.30,000,1001.02,1012.24,30.66,24.5,0.0,70,30.6
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,12.00,07-11-2019,10:00:00,0.00,0.00,210,1010.16,1011.16,29.14,23.6,5.6,61,32.1
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,9.00,07-11-2019,10:00:00,0.00,0.00,200,1009.45,1011.25,28.13,23.0,3.7,58,32.3
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,9.00,07-11-2019,10:00:00,0.00,0.00,210,1010.41,1011.16,26.86,22.3,3.7,58,31.5
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,10.00,07-11-2019,10:00:00,0.00,0.00,230,1010.65,1011.34,27.11,22.4,7.4,56,32.2
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,8.00,07-11-2019,10:00:00,0.00,0.00,000,1010.87,1011.57,30.49,24.4,0.0,66,31.5
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,12.00,07-11-2019,10:00:00,0.00,0.00,240,989.64,1010.51,27.66,22.7,7.4,58,32.2
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,10.00,07-11-2019,10:00:00,0.00,0.00,220,994.05,1010.62,28.89,23.5,9.3,65,30.7
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,10.00,07-11-2019,10:00:00,0.00,0.00,240,995.17,1011.43,29.63,23.9,5.6,64,31.5
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,10.00,07-11-2019,10:00:00,0.00,0.00,270,989.02,1010.67,26.73,22.2,14.8,60,31.0
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,14.00,07-11-2019,10:00:00,0.00,0.00,250,967.95,1011.09,25.80,21.6,18.5,65,28.9
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,12.00,07-11-2019,10:00:00,0.00,0.00,240,990.37,1010.70,26.86,22.3,11.1,58,31.5
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,9.00,07-11-2019,10:00:00,0.00,0.00,250,991.68,1012.34,30.70,24.5,11.1,69,30.9
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,12.00,07-11-2019,10:00:00,0.00,0.00,290,1011.20,1011.63,26.15,21.8,9.3,56,31.7
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,11.00,07-11-2019,10:00:00,0.00,0.00,240,1009.74,1011.14,32.34,25.4,3.7,72,31.0
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,10.00,07-11-2019,10:00:00,0.00,0.00,000,1006.51,1011.40,32.26,25.3,0.0,71,31.1
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,12.00,07-11-2019,10:00:00,0.00,0.00,170,1007.94,1011.19,29.26,23.7,3.7,61,32.3
