WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,LandVisibility,Date,Time,Rainfall24Hr,AirTemperature,MeanSeaLevelPressure,MaximumTemperature,DewPoint,Rainfall,StationPressure,WindDirection,WindSpeed,RelativeHumidity,VaporPressure
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,6.00,09-22-2019,19:00:00,33.80,25.9,1009.89,33.0,24.6,25.50,1005.91,000,0.0,93,30.92
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,6.00,09-22-2019,19:00:00,0.00,22.0,1010.36,26.2,20.3,0.00,915.11,000,0.0,90,23.80
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,8.00,09-22-2019,19:00:00,0.00,28.0,1011.41,31.9,23.6,0.00,995.41,120,5.6,77,29.19
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,9.00,09-22-2019,19:00:00,17.70,26.3,1010.22,31.8,24.4,0.20,1006.16,000,0.0,89,30.59
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,7.00,09-22-2019,19:00:00,0.80,29.0,1011.31,32.2,21.4,0.00,1000.66,140,7.4,64,25.45
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,9.00,09-22-2019,19:00:00,9.20,29.5,1011.10,32.5,24.5,0.00,1009.18,150,5.6,75,30.72
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,10.00,09-22-2019,19:00:00,2.60,29.1,1011.09,31.6,22.5,0.00,990.29,010,5.6,68,27.21
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,10.00,09-22-2019,19:00:00,0.00,27.7,1011.29,30.9,22.2,0.00,993.59,090,11.1,72,26.78
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,10.00,09-22-2019,19:00:00,0.00,28.5,1011.02,32.2,21.0,0.00,994.87,070,9.3,64,24.83
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,10.00,09-22-2019,19:00:00,17.30,26.0,1011.68,31.2,24.3,17.30,997.53,000,0.0,90,30.30
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,7.00,09-22-2019,19:00:00,0.00,26.5,1011.78,30.3,24.3,0.00,996.86,000,0.0,88,30.43
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,10.00,09-22-2019,19:00:00,1.30,27.1,1011.37,30.1,24.7,0.00,996.64,350,3.7,87,31.02
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,9.00,09-22-2019,19:00:00,6.60,28.8,1010.25,31.6,24.3,0.00,1007.24,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",0.0,77,30.46
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,10.00,09-22-2019,19:00:00,0.01,29.4,1010.59,32.7,24.1,0.00,1002.67,000,0.0,73,29.96
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,6.00,09-22-2019,19:00:00,11.50,25.6,1010.43,31.2,24.3,0.60,1009.31,350,7.4,93,30.36
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,8.00,09-22-2019,19:00:00,4.40,27.8,1011.14,31.8,26.0,4.40,996.44,000,0.0,90,33.53
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,.10,09-22-2019,19:00:00,14.60,18.4,1012.17,19.5,18.1,0.00,876.03,090,13.0,98,20.72
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,8.00,09-22-2019,19:00:00,0.00,31.5,1010.85,31.5,25.0,0.00,1005.04,000,0.0,68,31.64
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,8.00,09-22-2019,19:00:00,1.10,27.4,1010.37,31.5,23.9,0.00,1009.56,160,1.9,81,29.69
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,10.00,09-22-2019,19:00:00,2.90,26.1,1010.48,29.0,23.0,0.00,1010.04,120,9.3,83,28.10
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,6.00,09-22-2019,19:00:00,38.00,26.0,1010.81,30.8,24.0,0.00,999.43,000,0.0,89,29.76
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,7.00,09-22-2019,19:00:00,33.50,26.0,1011.26,33.0,25.1,3.50,1010.24,090,3.7,95,31.93
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,7.00,09-22-2019,19:00:00,11.50,26.5,1011.30,32.2,23.7,2.40,1009.47,000,0.0,85,29.35
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,6.00,09-22-2019,19:00:00,38.30,25.7,1011.53,32.0,24.8,1.30,1010.76,000,0.0,95,31.36
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,8.00,09-22-2019,19:00:00,1.80,25.0,1010.78,28.6,23.2,0.01,1010.07,090,11.1,90,28.48
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,7.00,09-22-2019,19:00:00,34.00,26.0,1010.14,29.7,24.3,0.10,1009.43,000,0.0,90,30.30
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,7.00,09-22-2019,19:00:00,22.90,25.2,1011.38,30.2,23.4,1.90,990.01,100,5.6,90,28.83
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,8.00,09-22-2019,19:00:00,22.40,28.0,1011.16,30.3,24.4,0.00,994.43,000,0.0,81,30.56
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,8.00,09-22-2019,19:00:00,26.00,27.4,1011.45,30.5,23.9,0.00,994.97,120,5.6,81,29.69
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,10.00,09-22-2019,19:00:00,5.80,26.5,1010.49,29.4,23.6,0.00,988.53,000,0.0,84,29.08
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,8.00,09-22-2019,19:00:00,9.30,23.1,1011.33,26.4,22.2,0.50,967.35,050,11.1,95,26.74
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,10.00,09-22-2019,19:00:00,31.40,26.2,1010.96,29.2,24.2,0.00,990.27,120,3.7,89,30.13
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,6.00,09-22-2019,19:00:00,2.20,24.2,1012.32,31.6,24.2,1.00,991.20,100,3.7,100,30.18
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,10.00,09-22-2019,19:00:00,97.20,25.7,1010.86,26.2,24.4,0.00,1010.42,310,3.7,93,30.54
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,6.00,09-22-2019,19:00:00,93.20,24.8,1011.08,27.8,23.8,2.60,1009.65,000,0.0,94,29.42
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,6.00,09-22-2019,19:00:00,17.20,24.5,1010.98,29.0,23.9,5.50,1005.98,000,0.0,97,29.67
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,8.00,09-22-2019,19:00:00,16.80,25.6,1011.00,28.5,24.4,0.00,1007.68,000,0.0,93,30.63
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,4.00,09-22-2019,19:00:00,8.30,25.6,1011.07,28.1,25.2,2.00,1009.95,000,0.0,97,31.98
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,9.00,09-22-2019,19:00:00,1.90,27.2,1010.68,29.9,22.9,0.00,1010.38,000,0.0,78,27.98
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,10.00,09-22-2019,19:00:00,4.40,27.0,1010.13,29.6,22.4,0.00,1009.44,000,0.0,76,27.10
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,10.00,09-22-2019,19:00:00,0.80,27.5,1010.52,30.6,23.6,0.00,1010.03,120,3.7,79,29.06
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,9.00,09-22-2019,19:00:00,3.80,26.8,1010.56,29.0,23.4,0.00,1009.15,150,7.4,82,28.84
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,9.00,09-22-2019,19:00:00,59.80,27.4,1010.74,28.2,25.5,0.00,1009.05,010,9.3,90,32.73
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,10.00,09-22-2019,19:00:00,6.40,25.8,1012.06,27.1,24.6,0.00,1003.98,000,0.0,93,31.00
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,10.00,09-22-2019,19:00:00,84.30,27.0,1010.28,29.5,24.1,0.00,1009.99,000,0.0,84,30.02
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,10.00,09-22-2019,19:00:00,34.80,26.7,1010.32,30.5,24.2,0.00,1007.17,000,0.0,86,30.26
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,10.00,09-22-2019,19:00:00,5.40,27.0,1010.93,29.0,23.3,0.00,1003.96,240,13.0,80,28.67
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,10.00,09-22-2019,19:00:00,122.90,24.0,1012.10,30.2,23.3,80.90,1006.41,000,0.0,96,28.53
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,8.00,09-22-2019,19:00:00,32.80,26.5,1011.72,29.5,24.3,0.00,1002.35,000,0.0,88,30.43
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,10.00,09-22-2019,19:00:00,82.70,25.0,1011.42,26.0,24.3,0.00,1010.14,000,0.0,96,30.32
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,11.00,09-22-2019,19:00:00,13.00,26.0,1010.92,26.6,24.0,0.00,1010.49,210,11.1,89,29.76
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,8.00,09-22-2019,19:00:00,21.90,24.5,1011.69,28.8,23.8,1.50,999.28,000,0.0,96,29.41
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,10.00,09-22-2019,19:00:00,45.40,24.5,1011.44,28.9,24.3,25.60,1010.71,000,0.0,99,30.46
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,3.00,09-22-2019,19:00:00,8.00,25.2,1011.55,30.8,23.7,6.50,1009.09,240,18.5,92,29.36
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,6.00,09-22-2019,19:00:00,14.50,25.2,1011.27,31.0,24.5,14.10,1010.74,000,0.0,96,30.69
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,8.00,09-22-2019,19:00:00,10.10,25.0,1011.06,31.4,24.4,1.20,1005.85,000,0.0,97,30.58
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,7.00,09-22-2019,19:00:00,20.70,25.2,1011.84,31.5,24.2,2.10,1011.42,000,0.0,94,30.15
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,8.00,09-22-2019,19:00:00,32.40,24.8,1012.19,30.7,24.4,2.70,1009.38,000,0.0,97,30.48
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,8.00,09-22-2019,19:00:00,36.10,24.2,1011.04,25.0,23.2,27.40,1010.24,000,0.0,94,28.36
48501,TRAD,ตราด,ตราด,11.76667,102.88333,6.00,09-22-2019,19:00:00,8.60,26.0,1011.44,30.8,24.4,0.40,1010.98,000,0.0,91,30.57
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,7.00,09-22-2019,19:00:00,19.60,25.4,1010.86,31.3,24.7,9.00,1010.17,000,0.0,96,31.06
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,7.00,09-22-2019,19:00:00,10.00,25.0,1010.65,31.8,24.3,6.00,1009.11,000,0.0,96,30.32
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,10.00,09-22-2019,19:00:00,0.00,27.0,1010.71,32.2,24.1,0.00,1009.79,030,5.6,84,30.02
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,7.00,09-22-2019,19:00:00,0.90,27.3,1010.77,28.7,25.0,0.00,1010.08,000,0.0,87,31.69
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,4.00,09-22-2019,19:00:00,8.50,24.0,1011.63,31.0,22.8,8.50,1010.82,000,0.0,93,27.76
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,6.00,09-22-2019,19:00:00,51.20,25.0,1010.51,32.4,24.3,49.40,1009.87,000,0.0,96,30.32
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,6.00,09-22-2019,19:00:00,0.00,26.3,1010.42,31.5,25.0,0.00,1010.02,000,0.0,93,31.68
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,5.00,09-22-2019,19:00:00,0.00,27.3,1013.06,29.3,25.4,0.00,1008.83,000,0.0,90,32.53
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,10.00,09-22-2019,19:00:00,5.60,25.6,1008.38,33.5,24.4,5.60,1006.76,210,7.4,93,30.63
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,6.00,09-22-2019,19:00:00,0.30,24.4,1010.53,30.5,22.8,0.30,1007.01,320,3.7,91,27.69
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,7.00,09-22-2019,19:00:00,0.20,27.2,1009.93,30.0,25.2,0.00,1008.58,270,3.7,89,32.05
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,10.00,09-22-2019,19:00:00,0.00,26.8,1009.83,31.3,24.2,0.00,1008.94,000,0.0,86,30.18
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,10.00,09-22-2019,19:00:00,1.80,26.1,1009.93,32.4,24.2,0.00,1006.35,000,0.0,89,30.22
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,8.00,09-22-2019,19:00:00,2.20,26.4,1010.02,31.5,24.4,0.20,1009.58,000,0.0,89,30.51
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,5.00,09-22-2019,19:00:00,16.20,25.5,1009.81,32.0,24.0,1.40,1008.81,000,0.0,92,29.91
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,8.00,09-22-2019,19:00:00,5.40,26.8,1009.78,29.7,24.2,0.00,1008.97,080,9.3,86,30.18
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,6.00,09-22-2019,19:00:00,31.90,26.0,1009.98,32.9,24.8,2.90,1008.16,000,0.0,93,31.38
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,7.00,09-22-2019,19:00:00,0.00,29.0,1010.70,31.1,25.0,0.00,1009.95,010,3.7,79,31.69
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,7.00,09-22-2019,19:00:00,0.00,27.8,1010.71,32.8,23.6,0.00,1006.71,300,7.4,78,29.09
48570,SATUN,สตูล,สตูล,6.65000,100.08333,4.00,09-22-2019,19:00:00,3.10,25.5,1010.67,32.8,24.5,2.60,1009.99,000,0.0,94,30.71
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,8.00,09-22-2019,19:00:00,0.00,28.6,1010.25,32.2,25.2,0.00,1009.14,000,0.0,82,32.02
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,10.00,09-22-2019,19:00:00,8.00,25.8,1013.41,32.9,25.2,4.80,1010.46,000,0.0,97,32.09
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,5.00,09-22-2019,19:00:00,0.00,28.5,1010.01,33.0,27.8,0.00,1009.33,000,0.0,96,37.37
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,5.00,09-22-2019,19:00:00,20.20,25.6,1011.10,33.1,24.0,20.20,1006.95,000,0.0,91,29.82
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,7.00,09-22-2019,19:00:00,80.00,27.5,1009.94,32.2,25.5,0.00,1009.35,000,0.0,89,32.64
