WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,WindSpeed,Date,Time,LandVisibility,MeanSeaLevelPressure,Rainfall,StationPressure,Rainfall24Hr,RelativeHumidity,WindDirection,VaporPressure,AirTemperature,DewPoint
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,0.0,10-13-2019,13:00:00,15.00,1008.83,0.00,978.47,0.00,63,000,29.99,32.1,24.1
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,14.8,10-13-2019,13:00:00,8.00,1009.08,0.00,849.44,0.00,83,200,23.14,22.8,19.8
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,9.3,10-13-2019,13:00:00,10.00,1008.31,0.00,965.66,0.00,53,110,26.45,33.0,22.0
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,0.0,10-13-2019,13:00:00,15.00,1008.36,0.00,963.92,0.00,51,000,26.31,33.5,21.9
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,5.6,10-13-2019,13:00:00,12.00,1009.93,0.00,972.85,0.00,72,220,32.76,31.2,25.6
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,9.3,10-13-2019,13:00:00,12.00,1007.65,0.00,963.47,0.00,54,170,25.91,32.0,21.7
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,5.6,10-13-2019,13:00:00,12.00,1010.09,0.00,983.89,0.00,60,210,30.11,33.0,24.2
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,0.0,10-13-2019,13:00:00,7.00,1011.68,11.50,989.72,23.80,93,000,29.52,25.0,23.8
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,0.0,10-13-2019,13:00:00,10.00,1009.01,0.00,985.35,0.00,67,000,32.58,32.5,25.5
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,5.6,10-13-2019,13:00:00,12.00,1009.12,0.00,975.38,1.30,54,210,28.19,33.6,23.1
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,9.3,10-13-2019,13:00:00,10.00,1011.20,0.00,984.11,0.00,64,200,31.11,32.5,24.7
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,7.4,10-13-2019,13:00:00,12.00,1009.27,0.00,976.29,0.00,63,100,30.20,32.2,24.2
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,13.0,10-13-2019,13:00:00,8.00,1010.01,0.00,991.59,0.00,74,270,29.35,28.8,23.7
48331,NAN,น่าน,น่าน,18.77972,100.77778,5.6,10-13-2019,13:00:00,10.00,1009.81,0.00,987.32,2.00,64,130,30.04,31.7,24.1
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,7.4,10-13-2019,13:00:00,12.00,1009.92,0.00,980.45,0.00,63,300,29.07,31.5,23.6
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,0.0,10-13-2019,13:00:00,8.00,1009.57,0.00,974.51,0.00,67,000,29.65,30.8,23.9
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,7.4,10-13-2019,13:00:00,15.00,1009.50,0.60,980.12,0.60,74,080,32.46,30.5,25.4
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,0.0,10-13-2019,13:00:00,9.00,1010.12,0.00,1002.92,0.00,62,000,29.91,32.2,24.0
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,7.4,10-13-2019,13:00:00,8.00,1009.58,0.00,990.05,0.00,60,120,30.53,33.2,24.4
48353,LOEI,เลย,เลย,17.45000,101.73333,7.4,10-13-2019,13:00:00,12.00,1009.30,0.00,981.18,0.00,55,160,28.04,33.1,23.0
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,7.4,10-13-2019,13:00:00,15.00,1010.46,0.00,990.62,0.00,51,070,25.63,33.0,21.5
