WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,AirTemperature,Date,Time,StationPressure,LandVisibility,RelativeHumidity,MeanSeaLevelPressure,Rainfall,WindDirection,DewPoint,WindSpeed,VaporPressure,Rainfall24Hr
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,27.5,07-23-2019,16:00:00,973.94,8.00,89,1004.63,2.50,100,25.5,5.6,32.64,3.00
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,19.9,07-23-2019,16:00:00,842.54,7.00,96,1002.55,2.80,300,19.3,18.5,22.32,2.80
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,25.6,07-23-2019,16:00:00,959.97,12.00,91,1003.43,15.80,000,24.0,0.0,29.82,18.10
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,25.7,07-23-2019,16:00:00,958.13,6.00,92,1003.48,20.00,140,24.2,3.7,30.28,20.60
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,27.0,07-23-2019,16:00:00,967.18,10.00,84,1004.56,0.10,000,24.1,0.0,30.02,0.80
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,27.9,07-23-2019,16:00:00,958.79,8.00,85,1003.37,1.00,070,25.2,7.4,32.03,1.00
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,27.8,07-23-2019,16:00:00,978.49,12.00,80,1005.01,0.10,130,24.0,5.6,29.90,6.70
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,33.7,07-23-2019,16:00:00,982.50,12.00,44,1003.67,0.00,240,19.9,9.3,23.17,0.00
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,30.5,07-23-2019,16:00:00,981.45,8.00,68,1005.18,0.00,000,24.0,0.0,29.89,8.20
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,29.0,07-23-2019,16:00:00,969.85,5.00,78,1003.92,1.40,220,24.9,3.7,31.41,3.40
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,32.8,07-23-2019,16:00:00,976.19,10.00,58,1003.03,0.20,000,23.4,0.0,28.85,0.20
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,28.6,07-23-2019,16:00:00,970.70,10.00,80,1003.88,0.10,000,24.9,0.0,31.46,1.30
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,33.0,07-23-2019,16:00:00,984.38,10.00,55,1002.41,0.01,260,22.9,9.3,27.84,0.01
48331,NAN,น่าน,น่าน,18.77972,100.77778,29.0,07-23-2019,16:00:00,981.44,10.00,76,1004.00,0.00,000,24.4,0.0,30.57,5.10
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,27.2,07-23-2019,16:00:00,974.56,9.00,83,1004.27,0.00,000,24.0,0.0,29.85,7.30
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,32.4,07-23-2019,16:00:00,968.10,8.00,55,1002.74,0.00,000,22.3,0.0,26.94,0.00
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,33.3,07-23-2019,16:00:00,972.89,16.00,61,1001.79,0.00,230,24.7,5.6,31.03,0.00
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,34.5,07-23-2019,16:00:00,995.55,10.00,57,1002.65,0.00,000,24.6,0.0,30.93,0.00
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,31.0,07-23-2019,16:00:00,982.94,12.00,74,1002.48,0.00,300,25.8,3.7,33.22,0.00
48353,LOEI,เลย,เลย,17.45000,101.73333,33.1,07-23-2019,16:00:00,974.50,15.00,63,1002.43,0.00,080,25.2,7.4,32.08,0.00
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,32.0,07-23-2019,16:00:00,983.52,15.00,66,1003.28,0.00,320,24.9,7.4,31.52,0.01
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,28.0,07-23-2019,16:00:00,982.33,12.00,77,1003.90,0.00,180,23.6,3.7,29.19,3.40
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,26.5,07-23-2019,16:00:00,983.53,8.00,88,1002.96,1.70,300,24.3,16.7,30.43,14.70
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,30.9,07-23-2019,16:00:00,986.88,12.00,71,1003.34,0.00,060,24.9,1.9,31.56,22.40
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,30.5,07-23-2019,16:00:00,986.46,12.00,72,1003.60,0.00,060,24.8,1.9,31.31,13.50
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,32.4,07-23-2019,16:00:00,977.18,12.00,58,1002.37,0.00,270,23.1,3.7,28.33,0.00
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,33.5,07-23-2019,16:00:00,998.71,10.00,59,1004.36,0.00,000,24.2,0.0,30.28,0.00
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,33.5,07-23-2019,16:00:00,997.87,12.00,59,1003.91,0.00,240,24.2,14.8,30.28,0.00
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,32.3,07-23-2019,16:00:00,989.75,10.00,63,1005.88,0.00,000,24.5,0.0,30.69,0.00
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,27.6,07-23-2019,16:00:00,982.55,10.00,82,1004.77,0.60,210,24.3,5.6,30.34,1.60
48376,TAK,ตาก,ตาก,16.87833,99.14333,30.6,07-23-2019,16:00:00,990.67,8.00,65,1004.86,0.00,270,23.4,13.0,28.70,0.00
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,31.5,07-23-2019,16:00:00,988.53,12.00,57,1004.63,0.00,000,21.9,0.0,26.32,0.00
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,33.0,07-23-2019,16:00:00,999.05,10.00,62,1004.17,0.00,090,24.8,3.7,31.28,0.00
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,33.0,07-23-2019,16:00:00,989.93,12.00,57,1002.81,0.00,000,23.3,0.0,28.68,0.00
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,32.8,07-23-2019,16:00:00,995.13,12.00,61,1004.25,0.00,250,24.2,3.7,30.28,0.00
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,34.1,07-23-2019,16:00:00,981.08,10.00,50,1002.16,0.00,230,22.3,9.3,26.93,0.00
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,35.0,07-23-2019,16:00:00,985.71,10.00,57,1002.69,0.00,000,25.2,0.0,32.01,0.00
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,33.2,07-23-2019,16:00:00,986.40,12.00,63,1001.83,0.00,250,25.2,5.6,32.00,4.30
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,34.6,07-23-2019,16:00:00,983.12,10.00,53,1001.44,0.00,200,23.6,9.3,29.09,0.01
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,27.8,07-23-2019,16:00:00,954.01,10.00,77,1004.77,0.40,000,23.4,0.0,28.82,1.00
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,33.3,07-23-2019,16:00:00,1000.39,10.00,58,1004.26,0.00,230,23.9,3.7,29.58,0.00
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,23.1,07-23-2019,16:00:00,911.07,4.00,91,1005.54,0.10,280,21.6,11.1,25.76,0.20
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,33.5,07-23-2019,16:00:00,986.67,10.00,63,1002.25,0.00,000,25.5,0.0,32.65,0.00
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,{'@attributes': {'Unit': 'celcius'}},07-23-2019,16:00:00,{'@attributes': {'unit': 'hPa'}},{'@attributes': {'Unit': 'km'}},{'@attributes': {'Unit': '%'}},{'@attributes': {'Unit': 'hPa'}},0.00,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",{'@attributes': {'Unit': 'celcius'}},0.0,{'@attributes': {'Unit': 'mb'}},0.00
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,32.5,07-23-2019,16:00:00,994.80,10.00,61,1005.27,0.00,190,23.9,5.6,29.66,0.00
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,33.2,07-23-2019,16:00:00,1003.04,14.00,62,1004.92,0.00,000,25.0,0.0,31.70,0.00
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,34.1,07-23-2019,16:00:00,982.95,12.00,45,1003.25,0.00,230,20.6,9.3,24.18,0.00
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,33.8,07-23-2019,16:00:00,985.09,10.00,57,1002.28,0.00,240,24.1,16.7,30.04,0.00
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,34.7,07-23-2019,16:00:00,986.38,10.00,57,1002.05,0.00,210,25.0,14.8,31.66,0.10
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,33.9,07-23-2019,16:00:00,989.39,10.00,58,1003.05,0.00,180,24.4,9.3,30.54,15.00
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,33.0,07-23-2019,16:00:00,988.88,10.00,70,1003.36,0.00,000,26.8,0.0,35.19,7.40
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,34.3,07-23-2019,16:00:00,989.18,8.00,63,1003.45,0.00,240,26.2,11.1,34.11,1.80
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,35.0,07-23-2019,16:00:00,1001.66,10.00,46,1004.60,0.00,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",21.7,0.0,25.91,0.40
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,33.5,07-23-2019,16:00:00,996.38,10.00,57,1004.14,0.00,190,23.8,3.7,29.41,0.00
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,33.3,07-23-2019,16:00:00,1005.14,8.00,61,1006.23,0.00,310,24.8,7.4,31.33,0.00
