WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,AirTemperature,Date,Time,Rainfall24Hr,MeanSeaLevelPressure,DewPoint,WindDirection,RelativeHumidity,Rainfall,WindSpeed,LandVisibility,VaporPressure,StationPressure
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,31.5,07-13-2019,10:00:00,2.90,1009.70,23.9,180,64,0.00,11.1,8.00,29.63,1008.61
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,31.5,07-13-2019,10:00:00,0.00,1009.52,22.3,000,58,0.00,0.0,8.00,26.86,995.01
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,23.0,07-13-2019,10:00:00,5.80,1008.84,21.2,300,89,0.00,7.4,8.00,25.11,875.07
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,30.7,07-13-2019,10:00:00,77.40,1010.01,27.0,240,81,0.00,5.6,8.00,35.56,1004.19
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,32.8,07-13-2019,10:00:00,0.00,1010.07,26.4,260,69,0.00,13.0,12.00,34.43,1009.28
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,31.0,07-13-2019,10:00:00,9.30,1010.40,24.3,230,68,0.00,5.6,10.00,30.33,1009.95
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,29.7,07-13-2019,10:00:00,8.00,1011.70,24.4,000,73,0.00,0.0,10.00,30.55,1000.45
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,32.5,07-13-2019,10:00:00,0.00,1010.18,22.3,250,55,0.00,3.7,12.00,26.86,1009.18
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,32.5,07-13-2019,10:00:00,0.00,1010.09,24.1,160,61,0.00,3.7,8.00,29.95,1008.29
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,32.1,07-13-2019,10:00:00,0.00,1009.69,22.3,000,56,0.00,0.0,9.00,26.91,1008.93
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,31.7,07-13-2019,10:00:00,16.90,1010.72,23.5,210,62,0.00,9.3,10.00,28.91,1010.02
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,31.9,07-13-2019,10:00:00,0.00,1010.25,24.3,300,64,0.00,5.6,12.00,30.44,1009.56
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,32.8,07-13-2019,10:00:00,0.01,1009.40,23.8,250,59,0.00,14.8,11.00,29.42,988.60
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,32.0,07-13-2019,10:00:00,0.00,1009.22,23.0,260,59,0.00,13.0,9.00,28.10,992.74
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,32.4,07-13-2019,10:00:00,0.00,1009.61,23.5,270,59,0.00,7.4,10.00,28.89,993.42
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,31.9,07-13-2019,10:00:00,1.10,1009.49,23.5,290,61,0.00,5.6,10.00,29.02,987.93
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,29.4,07-13-2019,10:00:00,0.00,1009.50,22.0,240,65,0.00,25.9,10.00,26.44,966.49
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,32.0,07-13-2019,10:00:00,1.20,1009.57,24.1,260,63,0.00,9.3,11.00,30.08,989.29
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,31.8,07-13-2019,10:00:00,0.00,1011.06,24.5,240,66,0.00,14.8,8.00,30.81,990.49
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,32.0,07-13-2019,10:00:00,0.00,1010.47,21.7,340,54,0.00,7.4,10.00,25.91,1010.04
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,30.8,07-13-2019,10:00:00,0.00,1010.25,26.3,260,77,0.00,5.6,10.00,34.27,1008.84
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,31.5,07-13-2019,10:00:00,0.00,1010.37,24.4,240,66,0.00,3.7,9.00,30.49,1005.49
