WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,WindDirection,Date,Time,DewPoint,VaporPressure,AirTemperature,StationPressure,MeanSeaLevelPressure,LandVisibility,Rainfall,WindSpeed,Rainfall24Hr,RelativeHumidity
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,000,09-29-2019,13:00:00,23.8,29.48,31.0,982.09,1012.67,12.00,0.00,0.0,0.00,66
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,200,09-29-2019,13:00:00,16.9,19.20,18.2,851.10,1013.74,8.00,0.00,9.3,0.00,92
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,120,09-29-2019,13:00:00,20.3,23.76,31.7,969.54,1012.55,10.00,0.00,5.6,0.00,51
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,140,09-29-2019,13:00:00,22.0,26.40,31.4,967.54,1012.46,15.00,0.00,7.4,0.00,57
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,000,09-29-2019,13:00:00,20.0,23.33,33.5,976.00,1012.91,12.00,0.00,0.0,0.00,45
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,060,09-29-2019,13:00:00,22.6,27.41,31.5,968.09,1012.56,10.00,0.00,5.6,0.00,59
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,010,09-29-2019,13:00:00,23.2,28.50,32.2,986.79,1013.14,10.00,0.00,3.7,0.00,59
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,300,09-29-2019,13:00:00,24.5,30.69,33.0,990.83,1012.23,6.00,0.00,9.3,6.40,61
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,000,09-29-2019,13:00:00,23.6,29.07,31.5,988.37,1012.19,10.00,0.00,0.0,6.10,63
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,360,09-29-2019,13:00:00,21.2,25.14,32.6,978.47,1012.43,8.00,0.00,3.7,0.00,51
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,000,09-29-2019,13:00:00,21.2,25.22,33.5,985.51,1012.54,10.00,0.00,0.0,0.00,49
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,080,09-29-2019,13:00:00,22.9,27.85,31.3,979.77,1012.96,10.00,0.00,7.4,0.00,61
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,300,09-29-2019,13:00:00,22.9,27.99,33.5,993.74,1011.91,5.00,0.00,1.9,0.01,54
48331,NAN,น่าน,น่าน,18.77972,100.77778,000,09-29-2019,13:00:00,22.1,26.67,32.4,990.07,1012.57,10.00,0.00,0.0,0.00,55
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,060,09-29-2019,13:00:00,22.2,26.69,31.7,982.90,1012.42,12.00,0.00,3.7,0.00,57
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,000,09-29-2019,13:00:00,21.6,25.78,31.5,977.33,1012.40,8.00,0.00,0.0,0.00,56
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,310,09-29-2019,13:00:00,23.3,28.66,32.0,982.13,1011.43,8.00,0.00,11.1,0.00,60
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,000,09-29-2019,13:00:00,20.3,23.85,34.5,1004.78,1011.94,9.00,0.00,0.0,0.00,44
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,030,09-29-2019,13:00:00,19.3,22.43,33.0,992.16,1011.74,8.00,0.00,5.6,0.00,45
48353,LOEI,เลย,เลย,17.45000,101.73333,350,09-29-2019,13:00:00,19.3,22.43,33.0,983.65,1011.85,6.00,0.00,7.4,0.00,45
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,310,09-29-2019,13:00:00,19.7,22.87,33.1,991.86,1011.71,9.00,0.00,3.7,0.00,45
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,020,09-29-2019,13:00:00,19.8,23.09,32.2,990.73,1012.19,7.00,0.00,3.7,0.00,48
