WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall,Date,Time,StationPressure,MeanSeaLevelPressure,LandVisibility,WindDirection,VaporPressure,RelativeHumidity,WindSpeed,Rainfall24Hr,AirTemperature,DewPoint
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,0.00,08-05-2019,22:00:00,971.22,1001.96,10.00,000,32.04,94,0.0,9.70,26.2,25.2
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,1.30,08-05-2019,22:00:00,840.96,1001.49,.10,130,21.28,100,3.7,49.70,18.5,18.5
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,0.00,08-05-2019,22:00:00,960.43,1003.99,10.00,000,28.14,88,0.0,52.30,25.1,23.0
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,0.00,08-05-2019,22:00:00,958.27,1003.83,10.00,000,28.45,93,0.0,43.20,24.4,23.2
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,0.20,08-05-2019,22:00:00,967.03,1004.73,5.00,000,30.20,98,0.0,26.50,24.5,24.2
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,0.00,08-05-2019,22:00:00,959.43,1004.62,1.00,120,27.17,91,7.4,9.00,24.1,22.5
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,0.00,08-05-2019,22:00:00,978.48,1005.22,7.00,000,30.79,95,0.0,37.60,25.4,24.5
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,0.00,08-05-2019,22:00:00,982.50,1004.30,15.00,000,30.32,96,0.0,13.70,25.0,24.3
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,0.40,08-05-2019,22:00:00,979.43,1003.59,6.00,000,29.41,96,0.0,23.40,24.5,23.8
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,0.30,08-05-2019,22:00:00,969.04,1003.53,10.00,000,28.92,91,0.0,19.30,25.1,23.5
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,0.00,08-05-2019,22:00:00,977.98,1005.54,10.00,000,29.91,92,0.0,52.80,25.5,24.0
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,0.00,08-05-2019,22:00:00,969.73,1003.21,10.00,000,29.74,90,0.0,22.20,25.7,23.9
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,0.00,08-05-2019,22:00:00,985.98,1004.45,10.00,270,30.67,90,3.7,6.40,26.2,24.5
48331,NAN,น่าน,น่าน,18.77972,100.77778,0.00,08-05-2019,22:00:00,981.86,1004.70,10.00,000,31.25,96,0.0,13.60,25.5,24.8
