WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,StationPressure,Date,Time,LandVisibility,DewPoint,RelativeHumidity,AirTemperature,MeanSeaLevelPressure,WindSpeed,Rainfall,WindDirection,Rainfall24Hr,VaporPressure
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,975.52,09-18-2019,16:00:00,15.00,24.9,67,31.8,1005.83,1.9,0.00,160,6.50,31.39
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,846.49,09-18-2019,16:00:00,8.00,18.2,74,23.0,1005.46,3.7,0.00,120,5.70,20.91
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,963.52,09-18-2019,16:00:00,10.00,22.9,54,33.5,1006.00,7.4,0.00,140,0.00,27.99
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,961.65,09-18-2019,16:00:00,15.00,23.2,53,34.0,1005.91,0.0,0.00,000,0.00,28.43
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,969.64,09-18-2019,16:00:00,12.00,26.0,67,33.0,1006.38,0.0,0.01,000,7.80,33.66
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,962.00,09-18-2019,16:00:00,12.00,21.8,50,33.5,1005.90,0.0,0.00,000,0.00,26.04
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,980.62,09-18-2019,16:00:00,12.00,23.3,51,35.1,1006.56,3.7,0.00,090,4.60,28.67
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,984.91,09-18-2019,16:00:00,15.00,23.8,54,34.5,1006.07,3.7,0.00,040,0.00,29.46
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,981.81,09-18-2019,16:00:00,10.00,24.0,52,35.4,1005.16,0.0,0.00,000,0.00,29.89
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,972.50,09-18-2019,16:00:00,12.00,22.4,51,34.0,1006.10,3.7,0.00,160,2.20,27.01
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,979.47,09-18-2019,16:00:00,10.00,24.7,58,34.0,1006.30,0.0,0.00,000,1.00,31.04
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,973.21,09-18-2019,16:00:00,15.00,24.4,58,33.8,1005.92,3.7,0.00,230,23.60,30.62
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,987.67,09-18-2019,16:00:00,8.00,24.7,52,36.0,1005.58,0.0,0.00,000,0.00,31.19
48331,NAN,น่าน,น่าน,18.77972,100.77778,984.09,09-18-2019,16:00:00,10.00,24.3,71,30.0,1006.64,0.0,0.00,000,9.00,30.31
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,977.08,09-18-2019,16:00:00,12.00,24.6,63,32.7,1006.32,5.6,0.00,150,31.90,30.94
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,971.50,09-18-2019,16:00:00,8.00,24.5,61,33.0,1006.19,0.0,0.00,000,18.60,30.69
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,976.60,09-18-2019,16:00:00,15.00,26.2,68,32.9,1005.65,5.6,0.00,290,2.90,34.05
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,998.12,09-18-2019,16:00:00,10.00,25.3,58,34.7,1005.23,0.0,0.00,000,0.00,32.26
