WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall,Date,Time,VaporPressure,DewPoint,WindDirection,RelativeHumidity,AirTemperature,WindSpeed,LandVisibility,Rainfall24Hr,MeanSeaLevelPressure,StationPressure
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,0.00,09-29-2019,16:00:00,29.48,23.8,100,66,31.0,3.7,9.00,0.00,1010.11,997.98
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,0.00,09-29-2019,16:00:00,30.73,24.5,060,68,31.2,7.4,6.00,0.00,1010.03,1009.32
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,0.00,09-29-2019,16:00:00,32.10,25.2,230,68,32.0,11.1,6.00,0.00,1010.51,1008.11
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,0.00,09-29-2019,16:00:00,33.81,26.1,000,75,31.0,0.0,12.00,0.00,1010.06,1009.54
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,0.00,09-29-2019,16:00:00,31.97,25.2,150,74,30.4,1.9,11.00,0.00,1009.80,1004.69
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,0.00,09-29-2019,16:00:00,31.21,24.8,220,59,33.8,7.4,8.00,0.00,1009.17,1008.77
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,0.00,09-29-2019,16:00:00,32.16,25.3,000,64,33.0,0.0,8.00,12.00,1009.74,1007.02
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,0.00,09-29-2019,16:00:00,27.77,22.8,000,73,28.1,0.0,6.00,1.40,1011.45,1010.66
48501,TRAD,ตราด,ตราด,11.76667,102.88333,0.00,09-29-2019,16:00:00,34.49,26.4,330,73,32.0,5.6,10.00,0.00,1009.47,1009.01
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,0.00,09-29-2019,16:00:00,30.58,24.4,080,69,30.7,5.6,7.00,3.10,1010.22,1009.55
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,0.00,09-29-2019,16:00:00,31.35,24.8,070,71,30.8,7.4,7.00,2.40,1008.68,1007.17
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,0.00,09-29-2019,16:00:00,32.13,25.2,300,78,29.5,7.4,10.00,0.60,1009.95,1009.04
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,0.00,09-29-2019,16:00:00,33.50,25.9,080,78,30.3,16.7,10.00,0.00,1010.28,1009.59
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,0.00,09-29-2019,16:00:00,32.10,25.2,040,70,31.3,9.3,10.00,0.30,1010.06,1009.27
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,0.00,09-29-2019,16:00:00,32.34,25.4,090,72,31.0,11.1,10.00,0.40,1009.78,1009.16
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,0.00,09-29-2019,16:00:00,31.93,25.1,030,75,30.1,18.5,10.00,1.70,1009.64,1009.23
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,0.00,09-29-2019,16:00:00,30.41,24.3,350,65,31.6,5.6,7.00,0.80,1011.37,1007.21
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,0.00,09-29-2019,16:00:00,26.07,21.8,020,55,31.8,9.3,10.00,0.60,1009.04,1007.45
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,0.00,09-29-2019,16:00:00,31.50,24.9,000,60,33.8,0.0,10.00,0.00,1008.55,1005.14
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,0.00,09-29-2019,16:00:00,31.19,24.7,100,67,31.7,9.3,12.00,0.00,1009.29,1007.95
