WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,WindSpeed,Date,Time,DewPoint,AirTemperature,VaporPressure,Rainfall,WindDirection,RelativeHumidity,StationPressure,LandVisibility,MeanSeaLevelPressure,Rainfall24Hr
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,0.0,07-27-2019,22:00:00,23.6,24.8,29.16,0.20,000,93,977.59,10.00,1008.68,5.20
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,9.3,07-27-2019,22:00:00,17.2,17.5,19.56,0.00,250,98,844.56,8.00,1006.36,29.70
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,3.7,07-27-2019,22:00:00,22.5,24.6,27.27,0.00,170,88,963.54,12.00,1007.32,6.90
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,0.0,07-27-2019,22:00:00,21.7,24.0,26.01,0.00,000,87,961.87,10.00,1007.66,15.60
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,0.0,07-27-2019,22:00:00,23.5,25.0,29.00,0.00,000,92,971.01,6.00,1008.79,3.60
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,0.0,07-27-2019,22:00:00,21.5,23.0,25.60,0.00,000,91,962.56,8.00,1008.07,16.70
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,3.7,07-27-2019,22:00:00,22.4,24.2,27.09,0.00,280,90,981.66,8.00,1008.59,2.70
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,13.0,07-27-2019,22:00:00,23.1,25.2,28.31,0.00,090,88,985.45,10.00,1007.29,1.80
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,0.0,07-27-2019,22:00:00,24.0,25.5,29.91,0.00,000,92,984.67,8.00,1008.87,0.80
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,0.0,07-27-2019,22:00:00,22.8,24.0,27.76,0.00,000,93,973.82,10.00,1008.62,16.30
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,0.0,07-27-2019,22:00:00,22.8,23.5,27.66,0.00,000,96,982.38,10.00,1010.25,17.40
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,0.0,07-27-2019,22:00:00,23.3,24.0,28.53,0.00,000,96,974.50,10.00,1008.34,11.20
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,0.0,07-27-2019,22:00:00,22.9,23.5,27.92,0.00,000,96,989.83,12.00,1008.54,15.80
48331,NAN,น่าน,น่าน,18.77972,100.77778,0.0,07-27-2019,22:00:00,22.5,24.1,27.17,0.00,000,91,985.52,10.00,1008.55,4.00
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,0.0,07-27-2019,22:00:00,21.3,22.4,25.37,0.00,000,94,978.50,10.00,1008.82,5.80
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,0.0,07-27-2019,22:00:00,23.0,23.7,28.01,0.01,000,96,973.22,4.00,1009.08,12.40
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,0.0,07-27-2019,22:00:00,20.8,24.8,24.61,0.00,000,79,977.56,12.00,1007.44,0.00
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,0.0,07-27-2019,22:00:00,23.6,24.9,29.08,0.00,000,92,1000.72,7.00,1008.08,3.50
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,7.4,07-27-2019,22:00:00,22.8,28.4,27.79,0.00,280,72,986.69,12.00,1006.47,0.00
48353,LOEI,เลย,เลย,17.45000,101.73333,3.7,07-27-2019,22:00:00,19.7,26.3,22.90,0.00,330,67,979.34,15.00,1008.05,0.00
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,11.1,07-27-2019,22:00:00,20.9,27.7,24.72,0.00,270,67,986.46,13.00,1006.56,0.00
