WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,MeanSeaLevelPressure,Date,Time,AirTemperature,Rainfall,LandVisibility,WindDirection,Rainfall24Hr,VaporPressure,StationPressure,RelativeHumidity,DewPoint,WindSpeed
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,1007.20,09-16-2019,22:00:00,26.4,0.00,12.00,100,0.00,28.90,976.32,84,23.5,1.9
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,1006.33,09-16-2019,22:00:00,20.0,0.00,8.00,130,0.00,18.99,845.76,81,16.7,3.7
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,1007.08,09-16-2019,22:00:00,26.5,0.00,12.00,250,0.00,27.51,963.58,79,22.7,5.6
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,1007.22,09-16-2019,22:00:00,25.4,0.00,15.00,000,0.00,27.12,961.66,84,22.4,0.0
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,1007.77,09-16-2019,22:00:00,26.0,0.01,6.00,000,0.01,31.38,970.14,93,24.8,0.0
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,1007.32,09-16-2019,22:00:00,27.2,0.00,12.00,000,0.00,32.05,962.46,89,25.2,0.0
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,1007.49,09-16-2019,22:00:00,27.4,0.00,8.00,000,0.00,31.33,980.87,86,24.8,0.0
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,1007.20,09-16-2019,22:00:00,26.0,0.00,15.00,090,0.00,29.50,985.42,88,23.8,3.7
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,1007.71,09-16-2019,22:00:00,26.0,0.00,8.00,000,0.00,29.50,983.57,88,23.8,0.0
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,1007.59,09-16-2019,22:00:00,26.9,0.00,10.00,000,0.00,26.15,973.16,74,21.8,0.0
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,1007.63,09-16-2019,22:00:00,26.0,0.00,10.00,000,0.00,29.23,980.06,87,23.7,0.0
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,1007.37,09-16-2019,22:00:00,26.8,0.00,10.00,000,0.00,28.04,973.88,80,23.0,0.0
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,1006.94,09-16-2019,22:00:00,26.8,0.00,10.00,270,0.00,29.10,988.45,83,23.6,1.9
