WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,MeanSeaLevelPressure,Date,Time,AirTemperature,Rainfall,LandVisibility,WindDirection,Rainfall24Hr,VaporPressure,StationPressure,RelativeHumidity,DewPoint,WindSpeed
48331,NAN,น่าน,น่าน,18.77972,100.77778,1007.10,09-16-2019,22:00:00,27.5,0.00,10.00,000,0.00,31.25,984.36,85,24.8,0.0
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,1007.49,09-16-2019,22:00:00,25.1,0.00,10.00,000,0.00,28.92,977.47,91,23.5,0.0
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,1007.66,09-16-2019,22:00:00,25.2,0.00,8.00,000,0.00,25.27,972.02,79,21.3,0.0
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,1006.89,09-16-2019,22:00:00,24.2,0.00,7.00,000,0.00,28.62,976.97,95,23.3,0.0
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,1006.84,09-16-2019,22:00:00,28.5,0.00,10.00,000,0.00,30.70,999.58,79,24.5,0.0
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,1006.74,09-16-2019,22:00:00,29.4,0.00,12.00,000,0.00,33.08,987.02,81,25.7,0.0
48353,LOEI,เลย,เลย,17.45000,101.73333,1007.49,09-16-2019,22:00:00,25.6,0.00,10.00,000,0.00,28.77,978.73,88,23.4,0.0
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,1007.19,09-16-2019,22:00:00,28.4,0.00,12.00,000,0.00,30.51,987.13,79,24.4,0.0
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,1007.08,09-16-2019,22:00:00,26.4,0.00,12.00,000,0.00,29.97,985.33,87,24.1,0.0
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,1007.07,09-16-2019,22:00:00,28.0,0.00,12.00,000,0.00,30.01,987.66,79,24.1,0.0
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,1007.72,09-16-2019,22:00:00,28.1,0.01,10.00,000,0.01,30.75,991.04,81,24.5,0.0
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,1007.99,09-16-2019,22:00:00,26.7,0.00,10.00,000,0.00,31.63,990.56,90,25.0,0.0
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,1006.61,09-16-2019,22:00:00,27.7,0.00,10.00,000,0.00,29.44,980.92,79,23.8,0.0
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,1006.47,09-16-2019,22:00:00,29.0,0.00,10.00,000,0.00,36.06,1000.72,90,27.2,0.0
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,1006.69,09-16-2019,22:00:00,28.8,0.00,12.00,000,0.00,34.15,1000.54,86,26.3,0.0
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,1007.49,09-16-2019,22:00:00,27.5,0.00,10.00,000,0.00,30.97,991.07,84,24.6,0.0
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,1005.75,09-16-2019,22:00:00,26.6,0.00,10.00,000,0.00,27.69,983.44,80,22.8,0.0
48376,TAK,ตาก,ตาก,16.87833,99.14333,1007.52,09-16-2019,22:00:00,27.5,0.00,7.00,000,0.00,30.97,993.15,84,24.6,0.0
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,1006.58,09-16-2019,22:00:00,26.0,0.00,7.00,000,0.00,26.88,990.15,80,22.3,0.0
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,1005.62,09-16-2019,22:00:00,28.0,0.00,10.00,000,0.00,30.01,1000.41,79,24.1,0.0
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,1005.60,09-16-2019,22:00:00,27.7,0.00,10.00,000,0.00,29.98,992.46,81,24.1,0.0
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,1006.69,09-16-2019,22:00:00,28.3,0.00,10.00,000,0.00,30.87,997.41,80,24.6,0.0
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,1007.15,09-16-2019,22:00:00,28.2,0.00,10.00,000,0.00,31.79,985.55,83,25.1,0.0
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,1006.13,09-16-2019,22:00:00,28.0,0.00,12.00,000,0.00,31.95,988.71,85,25.1,0.0
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,1006.93,09-16-2019,22:00:00,28.4,0.00,10.00,000,0.00,31.90,991.17,82,25.1,0.0
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,1006.38,09-16-2019,22:00:00,27.2,0.00,8.00,000,0.00,31.22,987.52,87,24.8,0.0
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,1009.66,09-16-2019,22:00:00,23.8,0.00,7.00,000,0.00,26.92,957.99,91,22.3,0.0
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,1006.40,09-16-2019,22:00:00,28.6,0.00,7.00,080,0.00,32.59,1002.47,83,25.5,7.4
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,1009.18,09-16-2019,22:00:00,20.2,0.00,5.00,000,0.00,22.07,913.49,93,19.1,0.0
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,1006.72,09-16-2019,22:00:00,27.5,0.00,10.00,000,0.00,33.21,990.76,90,25.8,0.0
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,1006.87,09-16-2019,22:00:00,28.6,0.00,10.00,170,0.00,31.74,1002.86,81,25.0,3.7
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,1008.25,09-16-2019,22:00:00,27.3,0.00,7.00,000,0.00,31.14,997.57,86,24.7,0.0
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,1007.75,09-16-2019,22:00:00,27.6,0.00,8.00,000,0.00,32.28,1005.83,87,25.3,0.0
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,1007.24,09-16-2019,22:00:00,27.8,0.00,10.00,000,0.00,30.45,986.43,82,24.3,0.0
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,1006.82,09-16-2019,22:00:00,28.0,0.00,10.00,000,0.00,33.66,989.22,89,26.0,0.0
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,1006.54,09-16-2019,22:00:00,28.5,0.00,10.00,000,0.00,32.10,990.47,83,25.2,0.0
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,1006.79,09-16-2019,22:00:00,29.0,0.00,10.00,240,0.00,31.69,992.86,79,25.0,5.6
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,1007.28,09-16-2019,22:00:00,27.3,0.00,8.00,000,0.00,31.97,992.46,88,25.2,0.0
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,1007.26,09-16-2019,22:00:00,28.3,0.00,10.00,240,0.00,35.74,992.65,93,27.0,3.7
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,1006.67,09-16-2019,22:00:00,28.1,0.00,10.00,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",0.60,34.73,1003.66,91,26.6,0.0
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,1007.04,09-16-2019,22:00:00,27.9,0.00,7.00,000,0.00,30.64,999.11,82,24.4,0.0
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,1008.42,09-16-2019,22:00:00,26.0,1.00,6.00,000,14.70,30.84,1007.30,92,24.6,0.0
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,1007.65,09-16-2019,22:00:00,28.0,0.00,8.00,000,16.00,33.37,993.01,88,25.9,0.0
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,1009.10,09-16-2019,22:00:00,20.3,0.00,8.00,170,3.60,23.34,874.17,98,20.0,3.7
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,1007.65,09-16-2019,22:00:00,27.5,0.00,10.00,200,0.00,31.80,1001.77,87,25.1,3.7
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,1007.45,09-16-2019,22:00:00,27.1,0.00,8.00,020,14.80,34.68,1006.64,97,26.5,3.7
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,1008.43,09-16-2019,22:00:00,26.7,0.00,6.00,000,1.20,31.63,997.10,90,25.0,0.0
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,1007.56,09-16-2019,22:00:00,28.5,0.10,10.00,000,0.10,32.39,1006.55,83,25.4,0.0
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,1008.15,09-16-2019,22:00:00,25.6,2.50,7.00,200,88.40,29.82,1006.31,91,24.0,5.6
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,1007.31,09-16-2019,22:00:00,28.7,0.00,5.00,000,0.00,34.24,1006.55,87,26.3,0.0
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,1007.36,09-16-2019,22:00:00,28.0,0.00,10.00,130,24.40,32.52,1006.66,86,25.4,5.6
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,1007.82,09-16-2019,22:00:00,27.9,0.00,7.00,100,0.00,34.03,1007.12,91,26.2,5.6
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,1007.53,09-16-2019,22:00:00,28.2,0.00,10.00,000,0.00,30.12,986.45,79,24.2,0.0
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,1007.45,09-16-2019,22:00:00,27.7,0.00,8.00,000,0.20,31.64,990.77,85,25.0,0.0
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,1007.80,09-16-2019,22:00:00,26.7,0.00,7.00,000,0.00,33.02,991.34,94,25.7,0.0
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,1007.78,09-16-2019,22:00:00,27.3,0.00,10.00,000,0.00,30.31,985.93,84,24.3,0.0
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,1008.16,09-16-2019,22:00:00,24.5,0.00,8.00,000,21.50,29.41,964.52,96,23.8,0.0
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,1007.62,09-16-2019,22:00:00,26.5,0.00,10.00,000,0.00,30.43,987.01,88,24.3,0.0
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,1009.09,09-16-2019,22:00:00,26.0,0.00,9.00,170,0.20,31.65,988.16,94,25.0,7.4
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,1007.04,09-16-2019,22:00:00,29.7,0.00,10.00,150,0.00,33.71,1006.61,81,26.0,7.4
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,1007.77,09-16-2019,22:00:00,26.4,0.00,6.00,000,0.90,32.71,1006.35,95,25.5,0.0
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,1007.62,09-16-2019,22:00:00,26.1,0.00,7.00,000,0.01,32.12,1002.67,95,25.2,0.0
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,1007.52,09-16-2019,22:00:00,27.2,0.00,11.00,000,0.00,29.58,1004.22,82,23.9,0.0
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,1007.20,09-16-2019,22:00:00,28.5,0.00,10.00,000,0.00,33.82,1006.09,87,26.1,0.0
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,1007.25,09-16-2019,22:00:00,27.7,0.00,10.00,000,21.20,33.62,1006.95,91,26.0,0.0
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,1007.10,09-16-2019,22:00:00,26.7,0.00,10.00,000,87.70,33.59,1006.61,96,26.0,0.0
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,1007.40,09-16-2019,22:00:00,28.6,0.00,10.00,140,30.00,33.16,1006.00,85,25.8,5.6
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,1009.33,09-16-2019,22:00:00,26.4,0.00,10.00,000,0.00,32.43,1001.29,94,25.4,0.0
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,1007.29,09-16-2019,22:00:00,28.2,0.00,10.00,000,8.00,33.20,1007.01,87,25.8,0.0
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,1007.05,09-16-2019,22:00:00,28.0,0.00,10.00,000,0.00,31.11,1003.93,82,24.7,0.0
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,1007.50,09-16-2019,22:00:00,27.5,0.00,10.00,000,0.00,30.97,1000.57,84,24.6,0.0
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,1008.21,09-16-2019,22:00:00,27.0,0.20,8.00,000,0.20,32.21,1002.60,90,25.3,0.0
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,1008.11,09-16-2019,22:00:00,27.5,0.00,10.00,000,0.00,29.60,1006.85,81,23.9,0.0
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,1007.24,09-16-2019,22:00:00,28.0,0.00,11.00,300,0.00,30.56,1006.81,81,24.4,9.3
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,1007.74,09-16-2019,22:00:00,25.8,0.00,10.00,000,0.00,27.56,995.42,83,22.7,0.0
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,1007.69,09-16-2019,22:00:00,27.6,0.00,10.00,000,0.00,27.92,1006.97,76,22.9,0.0
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,1007.46,09-16-2019,22:00:00,27.5,0.00,10.00,000,0.01,32.36,1005.03,88,25.4,0.0
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,1008.08,09-16-2019,22:00:00,27.7,0.00,10.00,000,0.30,33.33,1007.56,90,25.9,0.0
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,1007.80,09-16-2019,22:00:00,27.8,0.00,10.00,000,16.90,33.53,1002.66,90,26.0,0.0
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,1008.17,09-16-2019,22:00:00,27.0,0.00,7.00,000,1.40,32.21,1007.76,90,25.3,0.0
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,1008.33,09-16-2019,22:00:00,26.4,3.00,8.00,000,16.20,32.71,1005.55,95,25.5,0.0
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,1006.92,09-16-2019,22:00:00,26.5,0.00,10.00,000,22.80,26.47,1006.14,77,22.0,0.0
48501,TRAD,ตราด,ตราด,11.76667,102.88333,1008.43,09-16-2019,22:00:00,25.5,0.80,6.00,090,114.70,31.52,1007.97,97,24.9,3.7
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,1008.89,09-16-2019,22:00:00,25.5,0.00,7.00,000,1.80,29.91,1008.21,92,24.0,0.0
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,1008.17,09-16-2019,22:00:00,25.5,0.20,7.00,000,2.60,28.59,1006.64,88,23.3,0.0
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,1009.45,09-16-2019,22:00:00,25.5,0.00,10.00,180,80.80,29.91,1008.53,92,24.0,5.6
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,1009.08,09-16-2019,22:00:00,25.7,0.00,10.00,000,2.50,31.08,1008.39,94,24.7,0.0
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,1009.69,09-16-2019,22:00:00,24.7,0.00,7.00,000,4.70,29.25,1008.88,94,23.7,0.0
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,1008.90,09-16-2019,22:00:00,26.0,0.01,10.00,140,2.20,30.84,1008.27,92,24.6,3.7
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,1009.04,09-16-2019,22:00:00,25.0,3.20,10.00,000,4.00,29.52,1008.63,93,23.8,0.0
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,1011.40,09-16-2019,22:00:00,26.2,0.00,5.00,000,3.00,28.01,1007.17,82,23.0,0.0
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,1009.59,09-16-2019,22:00:00,24.4,0.00,10.00,000,11.50,30.02,1007.96,98,24.1,0.0
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,1009.90,09-16-2019,22:00:00,24.5,0.00,10.00,000,18.10,29.41,1006.38,96,23.8,0.0
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,1009.54,09-16-2019,22:00:00,27.2,0.00,7.00,320,0.00,26.93,1008.18,75,22.3,7.4
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,1009.55,09-16-2019,22:00:00,25.3,0.00,10.00,000,44.00,31.14,1008.65,97,24.7,0.0
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,1009.48,09-16-2019,22:00:00,24.6,0.00,10.00,000,17.60,29.59,1005.89,96,23.9,0.0
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,1009.31,09-16-2019,22:00:00,27.0,0.00,10.00,000,1.80,30.02,1008.87,84,24.1,0.0
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,1010.16,09-16-2019,22:00:00,28.5,0.01,9.00,300,15.90,30.15,1009.17,78,24.2,7.4
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,1009.60,09-16-2019,22:00:00,28.1,0.00,10.00,320,2.00,30.48,1008.79,80,24.4,18.5
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,1009.89,09-16-2019,22:00:00,26.0,0.00,10.00,000,1.20,29.23,1008.07,87,23.7,0.0
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,1010.02,09-16-2019,22:00:00,26.6,0.00,10.00,220,0.00,29.27,1009.27,84,23.7,5.6
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,1010.59,09-16-2019,22:00:00,25.5,0.00,10.00,140,0.20,29.91,1006.57,92,24.0,7.4
48570,SATUN,สตูล,สตูล,6.65000,100.08333,1010.40,09-16-2019,22:00:00,24.4,22.70,7.00,000,30.10,28.71,1009.70,94,23.4,0.0
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,1009.89,09-16-2019,22:00:00,26.6,0.00,10.00,000,0.20,30.34,1008.77,87,24.3,0.0
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,1010.75,09-16-2019,22:00:00,25.6,0.00,10.00,000,4.00,30.90,1007.80,94,24.6,0.0
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,1009.40,09-16-2019,22:00:00,26.1,0.00,8.00,000,0.70,30.48,1008.70,90,24.4,0.0
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,1010.51,09-16-2019,22:00:00,25.5,0.00,8.00,000,0.00,28.59,1006.36,88,23.3,0.0
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,1009.43,09-16-2019,22:00:00,28.0,0.00,10.00,000,0.00,26.54,1008.84,70,22.1,0.0
